trial,cnd,stimulated_eye,response,trial_times
1,0.6,-1,1,1.0022039413452148
2,1.5,1,1,1.9021480083465576
3,1.2,-1,1,1.5399103164672852
4,0.0,-1,0,0.4011499881744385
5,0.0,1,1,0.40105199813842773
6,0.9,1,1,1.2306411266326904
7,0.3,-1,1,0.7020101547241211
8,1.5,1,1,1.9020681381225586
9,0.9,-1,1,1.286733865737915
10,0.0,-1,0,0.40202999114990234
11,0.9,-1,1,1.1024367809295654
12,0.0,1,1,0.40198397636413574
13,1.5,-1,1,1.9014787673950195
14,0.6,1,1,1.0022120475769043
15,1.5,-1,1,1.8550660610198975
16,0.6,-1,1,1.0023410320281982
17,0.6,-1,1,1.0020217895507812
18,0.0,-1,1,0.40196776390075684
19,0.9,-1,1,1.3020470142364502
20,0.6,1,1,0.8669650554656982
21,0.9,1,1,1.3020360469818115
22,1.2,1,1,1.6021521091461182
23,1.5,-1,1,1.9021241664886475
24,1.5,1,1,1.902076005935669
25,0.3,-1,1,0.7019503116607666
26,1.5,-1,1,1.9020609855651855
27,1.2,-1,1,1.6020047664642334
28,0.3,-1,1,0.7011818885803223
29,1.5,-1,1,1.7358999252319336
30,1.5,1,1,1.902040958404541
31,0.6,1,1,0.8430492877960205
32,0.0,1,0,0.40130090713500977
33,0.0,-1,0,0.40204906463623047
34,0.9,1,1,1.3011808395385742
35,0.3,-1,1,0.5562288761138916
36,0.9,1,1,1.301325798034668
37,0.6,1,1,0.8511312007904053
38,0.0,-1,0,0.40202879905700684
39,1.2,1,1,1.6020169258117676
40,0.0,-1,0,0.32571983337402344
41,1.2,1,1,1.602051019668579
42,0.6,-1,1,1.0011870861053467
43,0.0,-1,0,0.40132594108581543
44,0.0,1,1,0.3147451877593994
45,0.3,-1,1,0.7021260261535645
46,1.5,1,1,1.9020349979400635
47,1.2,-1,1,1.4500908851623535
48,0.6,1,1,1.002007246017456
49,0.9,1,1,1.2528200149536133
50,1.2,1,1,1.5954241752624512
51,0.0,1,0,0.2900400161743164
52,0.6,1,1,0.9823439121246338
53,1.5,1,1,1.828033208847046
54,1.2,-1,1,1.5071721076965332
55,0.0,1,0,0.40121006965637207
56,0.9,-1,1,1.2943518161773682
57,1.2,-1,1,1.5453910827636719
58,1.2,1,1,1.578296184539795
59,0.3,-1,1,0.7009332180023193
60,0.6,-1,1,0.9709010124206543
61,0.0,1,0,0.4020650386810303
62,0.9,-1,1,1.2019360065460205
63,0.0,-1,0,0.28255486488342285
64,0.0,-1,0,0.31054019927978516
65,1.2,-1,1,1.494480848312378
66,0.0,1,0,0.34704089164733887
67,0.9,1,1,1.3020870685577393
68,0.0,-1,0,0.4015789031982422
69,0.9,1,1,1.1671950817108154
70,0.3,1,1,0.701833963394165
71,0.6,1,1,0.9917488098144531
72,1.2,1,1,1.4893755912780762
73,1.5,-1,1,1.8952269554138184
74,0.3,1,1,0.6035041809082031
75,0.6,1,1,0.9176380634307861
76,1.2,1,1,1.4986531734466553
77,0.0,-1,0,0.4016273021697998
78,0.6,1,1,1.0011467933654785
79,0.3,-1,1,0.6698682308197021
80,0.9,1,1,1.2392420768737793
81,1.5,-1,1,1.8048932552337646
82,0.0,-1,0,0.35279107093811035
83,1.5,1,1,1.813966989517212
84,1.5,-1,1,1.9020740985870361
85,0.3,1,1,0.6190669536590576
86,1.5,1,1,1.8260130882263184
87,1.2,1,1,1.519838809967041
88,1.5,-1,1,1.8636999130249023
89,0.0,-1,0,0.30429792404174805
90,1.2,-1,1,1.536355972290039
91,0.3,1,1,0.6285350322723389
92,1.2,-1,1,1.5256280899047852
93,0.9,1,1,1.252979040145874
94,1.5,1,1,1.8339011669158936
95,0.3,-1,1,0.6342079639434814
96,1.2,1,1,1.520495891571045
97,0.6,-1,1,0.9180102348327637
98,1.5,1,1,1.8211910724639893
99,0.9,1,1,1.1695282459259033
100,0.0,-1,0,0.3201620578765869
101,0.9,-1,1,1.25984787940979
102,0.3,1,0,0.5134899616241455
103,0.3,-1,1,0.6768052577972412
104,1.2,1,1,1.5701401233673096
105,1.5,-1,1,1.896226167678833
106,0.6,-1,1,0.9545979499816895
107,0.9,1,1,1.1917400360107422
108,1.2,-1,1,1.577322006225586
109,0.0,1,0,0.3951609134674072
110,1.5,-1,1,1.901249885559082
111,1.2,-1,1,1.486219882965088
112,0.9,-1,1,1.2253758907318115
113,0.0,1,0,0.2623131275177002
114,0.3,-1,1,0.6942379474639893
115,0.9,-1,1,1.2496821880340576
