trial,cnd,stimulated_eye,response,trial_times
1,1.5,-1,1,1.9022738933563232
2,0.3,1,1,0.7021369934082031
3,0.0,-1,1,0.25897216796875
4,1.5,-1,1,1.902176856994629
5,1.2,-1,1,1.5242679119110107
6,0.6,-1,1,0.912632942199707
7,0.6,1,0,0.9289789199829102
8,0.3,-1,1,0.6613118648529053
9,0.6,1,0,0.9307770729064941
10,1.5,-1,1,1.9021518230438232
11,1.2,1,0,1.5147409439086914
12,0.9,-1,1,1.1693930625915527
13,0.0,1,1,0.35242414474487305
14,1.2,-1,1,1.5639100074768066
15,0.6,1,0,0.9446580410003662
16,0.6,-1,1,0.9206259250640869
17,0.6,-1,1,0.92352294921875
18,1.2,1,0,1.5534420013427734
19,1.5,-1,1,1.8323168754577637
20,0.0,1,1,0.32383060455322266
21,0.0,-1,1,0.37719178199768066
22,0.3,-1,1,0.6847438812255859
23,0.9,-1,1,1.2433311939239502
24,1.2,1,0,1.451228141784668
25,0.3,1,1,0.7020261287689209
26,0.6,-1,1,0.9959979057312012
27,0.0,-1,1,0.38774800300598145
28,0.0,1,0,0.25884103775024414
29,1.5,1,1,1.8815867900848389
30,0.0,-1,1,0.36701393127441406
31,1.5,1,0,1.8801250457763672
32,0.6,1,0,0.9154841899871826
33,0.0,1,1,0.38904881477355957
34,0.3,-1,1,0.63382887840271
35,1.5,1,1,1.8930952548980713
36,1.2,1,0,1.546766996383667
37,1.5,1,0,1.8122329711914062
38,1.2,1,0,1.54610276222229
39,0.9,1,0,1.2164361476898193
40,0.3,1,0,0.670820951461792
41,1.5,1,0,1.8528358936309814
42,0.0,-1,1,0.36807703971862793
43,0.9,-1,0,1.2714238166809082
44,0.0,1,0,0.35614514350891113
45,0.9,-1,0,1.2800278663635254
46,1.5,1,0,1.822962760925293
47,1.5,1,0,1.8069279193878174
48,0.9,1,0,1.2448310852050781
49,1.2,1,0,1.514679193496704
50,0.9,1,0,1.2441480159759521
51,1.2,-1,0,1.5388212203979492
52,1.5,1,1,1.82883882522583
53,0.0,1,1,0.4020521640777588
54,0.6,1,0,1.0022337436676025
55,1.2,1,0,1.6021249294281006
56,0.0,-1,1,0.3068239688873291
57,0.9,1,1,1.2379870414733887
58,1.2,-1,1,1.5355608463287354
59,0.0,-1,1,0.4020349979400635
60,0.0,1,1,0.3500399589538574
61,1.5,1,0,1.8610658645629883
62,0.9,1,0,1.2907230854034424
63,0.0,1,1,0.3851203918457031
64,0.9,-1,1,1.2161071300506592
65,0.9,-1,1,1.2866501808166504
66,0.9,-1,1,1.211073637008667
67,0.6,-1,1,0.9624669551849365
68,0.9,1,0,1.2526369094848633
69,1.2,-1,1,1.5593159198760986
70,0.6,-1,1,0.94563889503479
71,0.3,-1,1,0.6791441440582275
72,1.5,1,0,1.8080670833587646
73,0.3,1,1,0.671734094619751
