trial,cnd,stimulated_eye,response,trial_times
1,1.5,-1,1,1.9022352695465088
2,0.9,-1,1,1.3020901679992676
3,0.3,1,1,0.5775752067565918
4,0.0,1,1,0.3917238712310791
5,0.9,-1,1,1.2274799346923828
6,1.5,-1,0,1.8905129432678223
7,0.6,-1,0,0.9488890171051025
8,0.0,1,0,0.34383392333984375
9,0.6,1,0,1.0014522075653076
10,0.3,1,1,0.6122748851776123
11,0.6,1,0,0.9404633045196533
12,0.6,-1,0,0.925372838973999
13,0.3,-1,0,0.6613748073577881
14,0.3,-1,0,0.6372089385986328
15,1.5,-1,0,1.8399901390075684
16,0.9,1,0,1.3014552593231201
17,0.3,-1,0,0.6928331851959229
18,1.5,-1,0,1.8136329650878906
19,1.5,-1,1,1.8368070125579834
20,0.9,1,0,1.2440121173858643
21,1.5,1,0,1.8042292594909668
22,0.3,1,0,0.6501598358154297
23,0.6,1,0,0.9226012229919434
24,1.5,1,0,1.8742029666900635
25,0.6,1,0,0.9095921516418457
26,0.9,1,0,1.2764618396759033
27,0.9,-1,0,1.2917132377624512
28,0.9,-1,0,1.2290592193603516
29,1.5,1,0,1.8497951030731201
30,0.3,-1,1,0.6798520088195801
31,0.3,1,0,0.6281790733337402
32,0.3,-1,0,0.6356298923492432
33,0.0,-1,1,0.3074910640716553
34,0.0,1,1,0.31859922409057617
35,0.0,-1,1,0.3125779628753662
36,0.0,-1,1,0.30650877952575684
37,0.3,1,1,0.5755867958068848
38,0.6,1,0,1.0020380020141602
39,1.5,-1,1,1.8451893329620361
40,0.9,-1,0,1.2199101448059082
41,0.0,-1,0,0.3176600933074951
42,1.5,-1,0,1.896848201751709
43,0.0,-1,1,0.3190732002258301
44,0.9,1,0,1.2232120037078857
45,0.0,-1,1,0.3961050510406494
46,1.5,1,0,1.8956358432769775
47,0.6,1,0,0.9061932563781738
48,0.0,1,1,0.30489492416381836
49,0.3,1,0,0.6319530010223389
50,0.0,1,1,0.4020209312438965
51,0.6,1,0,0.9132428169250488
52,0.3,1,0,0.6241550445556641
53,1.2,-1,0,1.5795619487762451
54,0.0,1,1,0.3625450134277344
55,0.0,1,1,0.3840782642364502
56,1.5,1,0,1.8292360305786133
57,1.2,1,0,1.521064281463623
58,0.0,1,1,0.34514307975769043
59,0.0,-1,1,0.38247108459472656
60,0.0,-1,1,0.3550257682800293
61,0.9,1,1,1.247373104095459
62,0.9,-1,0,1.2240328788757324
63,0.9,-1,0,1.2853598594665527
64,1.5,-1,0,1.8261401653289795
65,0.9,1,0,1.2023398876190186
66,1.2,-1,0,1.5590598583221436
67,0.0,-1,1,0.37766408920288086
68,0.3,1,0,0.6905090808868408
69,0.0,1,1,0.32863903045654297
70,0.9,-1,0,1.2203779220581055
71,0.6,-1,1,0.9210829734802246
72,1.2,-1,1,1.596348762512207
73,0.0,-1,1,0.27518415451049805
74,0.6,1,0,1.0011980533599854
75,1.5,1,0,1.8289082050323486
76,1.5,-1,0,1.801574945449829
77,0.6,1,0,0.9316151142120361
78,1.2,1,0,1.5667650699615479
79,1.2,1,0,1.5086629390716553
80,0.3,-1,0,0.696038007736206
81,0.3,-1,0,0.6185128688812256
82,0.0,1,0,0.33272671699523926
83,0.6,-1,0,1.0022180080413818
84,0.0,1,0,0.40199971199035645
85,0.0,1,0,0.3702077865600586
86,0.0,1,0,0.4020671844482422
87,1.2,1,1,1.4264719486236572
88,1.5,-1,0,1.8520801067352295
89,1.5,-1,1,1.851707935333252
90,0.0,-1,1,0.3205430507659912
91,0.3,1,0,0.6194159984588623
92,1.2,-1,0,1.5954339504241943
93,0.3,-1,0,0.6955990791320801
94,1.2,-1,0,1.5300190448760986
95,0.0,-1,1,0.40196704864501953
96,1.2,1,0,1.5258052349090576
97,0.9,1,0,1.2700960636138916
98,0.0,1,1,0.3532249927520752
99,1.5,1,1,1.8654870986938477
100,1.5,-1,0,1.8149991035461426
101,0.0,1,1,0.39011096954345703
102,0.9,1,1,1.2673089504241943
103,1.5,1,0,1.893122911453247
104,0.6,-1,0,0.9961838722229004
105,1.2,-1,0,1.5072360038757324
106,1.5,1,0,1.8052659034729004
107,0.3,-1,0,0.6659209728240967
108,1.5,1,0,1.8751511573791504
109,1.2,-1,1,1.4055266380310059
110,0.0,-1,1,0.38488197326660156
111,0.6,1,1,0.9114959239959717
112,1.5,1,0,1.8062117099761963
113,1.2,1,0,1.5528380870819092
114,0.0,-1,1,0.35773587226867676
115,1.2,1,0,1.5518150329589844
116,0.6,-1,1,0.9872171878814697
117,0.9,1,1,1.2771410942077637
118,1.2,-1,0,1.5257742404937744
119,0.0,-1,1,0.3339347839355469
120,1.5,-1,0,1.902230978012085
121,0.9,1,0,1.1052789688110352
122,0.9,1,0,1.296166181564331
123,0.0,-1,1,0.3437960147857666
124,1.2,1,0,1.583259105682373
125,0.9,-1,0,1.302004098892212
126,0.6,-1,1,1.0021560192108154
127,0.0,1,0,0.32865309715270996
128,0.3,-1,0,0.701085090637207
129,0.3,1,0,0.6287899017333984
130,1.2,-1,0,1.5752630233764648
131,1.5,-1,0,1.892590045928955
132,0.6,1,0,0.9599838256835938
133,0.0,1,0,0.32095909118652344
134,0.9,1,0,1.302022933959961
135,1.5,-1,0,1.8238022327423096
136,0.6,-1,0,1.0010337829589844
137,0.9,1,0,1.2631521224975586
