trial,cnd,stimulated_eye,response,trial_times
1,1.5,-1,1,1.9020841121673584
2,0.9,1,1,1.1742379665374756
3,0.0,1,1,0.36110401153564453
4,1.2,1,1,1.5118868350982666
5,0.3,1,1,0.5301182270050049
6,0.3,1,1,0.6121170520782471
7,0.9,1,1,1.2435660362243652
8,1.5,-1,1,1.8598530292510986
9,0.9,1,1,1.207651138305664
10,0.9,1,1,1.2363452911376953
11,1.5,-1,1,1.857551097869873
12,0.0,-1,1,0.3364841938018799
13,0.6,1,1,0.9872188568115234
14,1.2,1,1,1.6016697883605957
15,1.2,1,1,1.5583751201629639
16,0.3,1,1,0.6732821464538574
17,1.5,-1,1,1.858314037322998
18,1.2,-1,1,1.5120179653167725
19,0.9,-1,1,1.2778489589691162
20,0.6,1,1,1.0021789073944092
21,0.6,1,1,0.9039392471313477
22,0.6,-1,1,0.9744510650634766
23,0.0,-1,1,0.3080630302429199
24,0.6,1,1,0.9121999740600586
25,0.0,1,1,0.38457274436950684
26,1.5,-1,1,1.8333251476287842
27,0.9,1,1,1.2892358303070068
28,1.5,1,1,1.8930537700653076
29,0.6,-1,1,0.928765058517456
30,0.0,1,1,0.30388307571411133
31,1.5,1,1,1.8601930141448975
32,0.9,1,1,1.2456469535827637
33,1.5,-1,1,1.8580470085144043
34,0.6,-1,1,0.9461781978607178
35,0.6,1,1,0.9312851428985596
36,0.3,-1,1,0.6305181980133057
37,1.5,-1,1,1.835655927658081
38,0.0,1,1,0.39618682861328125
39,0.0,1,1,0.4019896984100342
40,1.2,-1,1,1.6020901203155518
41,1.5,1,0,1.8922150135040283
42,1.5,1,1,1.8576090335845947
43,0.6,-1,1,0.9291548728942871
44,0.0,1,1,0.34672999382019043
45,0.3,1,0,0.6751959323883057
46,0.9,-1,1,1.1685481071472168
47,1.5,-1,1,1.8149309158325195
48,0.0,-1,0,0.31051182746887207
49,0.9,-1,1,1.3022568225860596
50,0.0,-1,1,0.3240628242492676
51,0.3,-1,1,0.6809437274932861
52,0.9,-1,0,1.2774598598480225
53,0.6,1,1,0.9900617599487305
54,1.5,1,1,1.8877639770507812
55,0.3,1,1,0.6948378086090088
56,0.0,1,1,0.3204641342163086
57,1.2,1,1,1.543976068496704
58,1.5,1,1,1.851811170578003
59,0.6,-1,1,0.9896321296691895
60,0.9,-1,1,1.2471959590911865
61,0.3,1,0,0.6412649154663086
62,0.3,-1,1,0.6726319789886475
63,1.5,-1,1,1.8681941032409668
64,0.9,-1,1,1.2670941352844238
65,1.2,1,1,1.5031709671020508
66,0.9,-1,1,1.2632100582122803
67,1.2,-1,0,1.5321438312530518
68,0.6,-1,1,0.9929201602935791
69,0.0,1,1,0.3801860809326172
70,0.3,-1,0,0.6941208839416504
71,1.2,-1,1,1.5152766704559326
72,0.6,-1,1,0.9590609073638916
73,1.2,1,1,1.5405542850494385
74,1.2,-1,1,1.4602727890014648
75,0.9,-1,1,1.2280340194702148
76,1.5,1,1,1.8269789218902588
77,0.9,1,1,1.1999821662902832
78,0.0,1,1,0.4020087718963623
79,0.3,-1,1,0.6786789894104004
80,1.2,1,1,1.5278542041778564
81,0.3,1,1,0.6611509323120117
82,1.5,1,1,1.8702070713043213
83,0.0,1,0,0.3216068744659424
84,0.6,-1,1,0.9709999561309814
85,0.6,-1,1,0.9805741310119629
86,0.6,1,1,0.9295427799224854
87,0.0,-1,1,0.3391149044036865
88,1.2,-1,1,1.5304503440856934
89,1.5,-1,1,1.813835859298706
90,1.2,-1,1,1.5285181999206543
91,0.3,1,1,0.6392872333526611
92,0.3,-1,1,0.6751260757446289
93,0.3,1,0,0.6826448440551758
94,1.5,1,1,1.8961398601531982
95,0.3,1,1,0.627608060836792
96,0.6,1,1,1.0016961097717285
97,1.5,1,1,1.832015037536621
98,1.5,-1,1,1.8578941822052002
99,0.3,1,1,0.6173398494720459
100,0.9,1,1,1.2545700073242188
101,0.0,-1,1,0.3073740005493164
102,1.2,-1,0,1.596215009689331
103,0.9,1,1,1.246886968612671
104,0.6,1,0,0.9231340885162354
105,0.6,-1,1,0.9758830070495605
106,1.2,1,0,1.5269219875335693
107,0.0,-1,1,0.31594395637512207
108,0.6,1,1,0.937873125076294
109,0.0,1,0,0.37651920318603516
110,0.9,1,1,1.2926161289215088
111,0.9,1,0,1.2020490169525146
112,0.6,1,1,1.002183198928833
113,0.3,1,1,0.6817378997802734
114,1.2,-1,0,1.5456759929656982
115,0.0,-1,0,0.36839771270751953
116,1.2,1,1,1.544342041015625
117,1.5,1,1,1.832453966140747
