trial,cnd,stimulated_eye,response,trial_times
1,1.2,1,0,1.6021039485931396
2,0.6,-1,1,0.9066891670227051
3,1.5,-1,0,1.8526010513305664
4,0.0,-1,1,0.4021289348602295
5,1.2,-1,1,1.5124001502990723
6,1.2,-1,0,1.595771312713623
7,1.2,1,1,1.5210278034210205
8,1.5,-1,1,1.8171472549438477
9,1.2,1,1,1.5327038764953613
10,0.3,-1,1,0.6759378910064697
11,1.2,-1,1,1.5437219142913818
12,0.3,-1,1,0.6221790313720703
13,0.0,-1,1,0.3561830520629883
14,0.3,-1,1,0.6609420776367188
15,0.6,-1,1,0.9559712409973145
16,0.0,1,0,0.36161017417907715
17,1.5,1,1,1.8449289798736572
18,1.5,-1,1,1.8311131000518799
19,0.3,1,0,0.6365690231323242
20,1.5,1,1,1.8396718502044678
21,0.3,1,1,0.6074118614196777
22,0.0,1,1,0.3291749954223633
23,0.3,-1,1,0.6963410377502441
24,1.2,1,0,1.5772223472595215
25,0.0,1,1,0.38434600830078125
26,0.3,1,1,0.664161205291748
27,0.6,1,1,0.9116101264953613
28,0.9,1,1,1.2233920097351074
29,0.6,-1,1,0.9282560348510742
30,0.0,-1,1,0.362318754196167
31,0.6,-1,1,0.960407018661499
32,0.3,-1,1,0.6523280143737793
33,0.9,-1,0,1.2766718864440918
34,0.0,-1,1,0.338900089263916
35,0.0,1,1,0.3450441360473633
36,1.5,-1,0,1.8951900005340576
37,1.2,1,0,1.5856609344482422
38,1.5,1,0,1.8715131282806396
39,0.6,1,1,0.8996450901031494
40,1.2,1,0,1.5801680088043213
41,0.6,-1,1,0.89982008934021
42,0.3,-1,1,0.6320068836212158
43,0.0,-1,1,0.3876478672027588
44,0.0,-1,0,0.402101993560791
45,0.0,1,0,0.3284459114074707
46,0.3,-1,1,0.6958708763122559
47,1.5,1,0,1.8679909706115723
48,0.3,-1,1,0.655332088470459
49,0.9,-1,1,1.2874209880828857
50,0.6,-1,1,0.9378490447998047
51,1.5,1,1,1.8538968563079834
52,0.9,-1,1,1.3021888732910156
53,1.5,-1,1,1.8383140563964844
54,0.6,1,1,1.002070665359497
55,0.3,1,0,0.6328730583190918
56,0.0,1,0,0.32825303077697754
