trial,cnd,stimulated_eye,response,trial_times
1,0.3,-1,0,0.7023413181304932
2,1.2,1,0,1.6013031005859375
3,1.2,-1,1,1.6012341976165771
4,0.9,-1,0,1.2756118774414062
5,0.3,-1,0,0.7010891437530518
6,1.5,1,0,1.9018619060516357
7,0.0,-1,1,0.40119290351867676
8,0.0,1,1,0.20276689529418945
9,0.6,1,1,1.0020489692687988
10,0.0,1,1,0.40169501304626465
11,1.5,1,0,1.9017620086669922
12,0.9,-1,0,1.3020758628845215
13,0.3,-1,1,0.7020308971405029
14,0.9,1,0,1.3020820617675781
15,0.0,1,1,0.40207672119140625
16,0.0,-1,1,0.40137505531311035
17,1.2,1,0,1.6021230220794678
18,1.5,1,0,1.9021270275115967
19,0.6,-1,0,1.0019428730010986
20,1.2,1,0,1.602165937423706
21,0.0,1,0,0.4016427993774414
22,0.6,1,0,0.9868409633636475
23,1.2,1,0,1.5051708221435547
24,0.6,1,0,0.8771378993988037
25,0.6,-1,1,1.0021722316741943
26,0.6,1,0,1.0020420551300049
27,0.6,1,0,1.0021600723266602
28,0.9,-1,1,1.3021361827850342
29,0.0,1,1,0.253770112991333
30,0.9,1,0,1.2786507606506348
31,1.2,1,0,1.601607084274292
32,0.3,1,0,0.7020950317382812
33,1.5,1,0,1.9013440608978271
34,0.3,-1,0,0.7012858390808105
35,0.9,1,0,1.302290916442871
36,1.5,-1,0,1.7941641807556152
37,0.6,1,0,0.8828732967376709
38,0.6,1,0,0.959326982498169
39,0.9,1,1,1.1138439178466797
40,1.2,-1,0,1.602146863937378
41,0.6,1,0,0.9710788726806641
42,0.6,-1,0,0.9289710521697998
43,0.6,1,0,0.9230918884277344
44,0.6,-1,1,0.8212790489196777
45,0.3,-1,1,0.7015388011932373
46,1.2,1,0,1.6021499633789062
47,0.9,-1,1,1.3017432689666748
48,1.5,-1,1,1.901831865310669
49,0.0,-1,1,0.40207791328430176
50,0.3,1,0,0.7020821571350098
51,0.6,1,0,1.0020182132720947
52,1.5,1,0,1.901191234588623
53,0.6,-1,0,0.9041931629180908
54,1.5,1,0,1.8386340141296387
55,0.6,-1,0,0.9522948265075684
56,1.5,1,0,1.9020979404449463
57,1.2,1,0,1.5385830402374268
58,1.5,-1,1,1.786571741104126
59,0.6,-1,0,0.872967004776001
60,0.0,1,0,0.2662160396575928
61,0.9,1,0,1.2613670825958252
62,0.3,1,0,0.5745251178741455
63,1.5,-1,1,1.8442349433898926
64,0.0,-1,1,0.4020359516143799
65,0.3,-1,1,0.5542299747467041
66,1.2,1,0,1.515902042388916
67,0.0,1,0,0.4020040035247803
68,1.2,-1,0,1.563817024230957
69,0.9,1,0,1.3021180629730225
70,0.6,1,1,0.9426167011260986
71,0.0,-1,0,0.4022178649902344
72,1.5,1,0,1.8619132041931152
73,0.6,1,1,0.8881101608276367
74,1.5,1,0,1.7590010166168213
75,0.0,-1,1,0.31256914138793945
76,1.5,1,0,1.8440940380096436
77,1.5,-1,0,1.8030309677124023
78,0.9,1,0,1.3014569282531738
79,0.9,1,0,1.271332025527954
80,1.5,-1,0,1.8948869705200195
81,0.6,-1,0,1.0014610290527344
82,0.0,1,0,0.401763916015625
83,1.5,1,0,1.8471260070800781
84,1.2,1,0,1.5241470336914062
85,1.5,-1,0,1.8603551387786865
86,0.0,1,0,0.40203380584716797
87,0.3,-1,1,0.5501880645751953
88,1.2,1,0,1.4988863468170166
89,1.2,1,1,1.6020443439483643
90,1.2,1,0,1.483025312423706
91,0.3,1,0,0.7021901607513428
92,0.6,1,0,1.0021419525146484
93,0.0,1,0,0.40200090408325195
94,0.6,-1,0,0.9544878005981445
95,1.5,1,0,1.7361071109771729
96,1.2,1,1,1.5735440254211426
97,0.6,-1,0,1.0018658638000488
98,1.2,-1,0,1.6021199226379395
99,0.3,1,1,0.6203670501708984
100,0.3,-1,1,0.5754859447479248
101,0.9,-1,1,1.209151029586792
102,0.3,-1,1,0.5754611492156982
103,0.9,1,0,1.3021879196166992
104,0.0,1,0,0.4020531177520752
105,1.2,1,0,1.6021671295166016
106,1.5,-1,1,1.902156114578247
107,0.3,-1,0,0.6553347110748291
108,0.3,-1,1,0.7021586894989014
109,1.2,-1,0,1.602463960647583
110,1.5,1,1,1.9021849632263184
111,0.0,-1,1,0.40120911598205566
112,0.9,-1,1,1.3013598918914795
113,0.0,-1,1,0.4014768600463867
114,0.3,-1,0,0.7020139694213867
115,1.5,-1,0,1.8310511112213135
116,0.3,-1,1,0.6616601943969727
117,0.9,1,0,1.2632200717926025
118,0.3,-1,1,0.5629711151123047
119,0.3,-1,1,0.7020018100738525
120,1.5,-1,0,1.8780291080474854
121,0.0,-1,0,0.387376070022583
122,0.9,1,0,1.1453511714935303
123,0.0,-1,1,0.24234819412231445
124,0.0,-1,1,0.30139684677124023
125,0.0,1,0,0.38616180419921875
126,0.3,-1,0,0.6766369342803955
127,0.6,-1,0,1.0020711421966553
128,0.3,-1,1,0.6315710544586182
129,0.9,1,0,1.301274061203003
130,1.2,1,0,1.507037878036499
131,0.0,1,1,0.40215277671813965
132,1.5,1,1,1.818068027496338
133,1.2,-1,0,1.6020641326904297
134,0.3,1,0,0.6111338138580322
135,0.3,1,0,0.653095006942749
136,1.2,1,1,1.5528850555419922
137,0.0,-1,1,0.3333930969238281
138,1.5,1,0,1.7651309967041016
139,0.6,1,0,0.9444320201873779
140,0.6,1,0,1.0017461776733398
141,0.3,1,0,0.6420450210571289
142,1.5,1,0,1.8798861503601074
143,0.6,1,0,0.9665119647979736
144,0.0,1,0,0.33270692825317383
145,0.0,1,0,0.32067084312438965
146,1.2,-1,0,1.5608980655670166
147,0.9,-1,0,1.3020589351654053
148,0.3,1,0,0.6440088748931885
149,1.2,1,0,1.5596070289611816
150,0.9,1,0,1.2479159832000732
151,1.2,1,0,1.5960121154785156
152,0.3,-1,1,0.6227972507476807
153,0.9,-1,0,1.2546288967132568
154,1.2,-1,0,1.6021292209625244
155,0.9,-1,1,1.3020708560943604
156,0.9,-1,0,1.2159740924835205
157,1.5,-1,0,1.902163028717041
158,0.3,1,0,0.5591089725494385
159,1.2,-1,0,1.5702979564666748
160,1.2,-1,1,1.4860482215881348
161,1.5,-1,0,1.8612401485443115
162,0.0,1,0,0.34180283546447754
163,0.9,-1,0,1.2360689640045166
164,0.9,1,0,1.237499713897705
165,1.2,-1,0,1.4351773262023926
166,1.2,-1,0,1.4824347496032715
167,0.0,-1,1,0.26677680015563965
168,0.9,-1,0,1.3018798828125
169,1.5,1,0,1.8793258666992188
170,0.0,-1,1,0.40201497077941895
171,0.9,1,0,1.137523889541626
172,1.5,-1,0,1.9022388458251953
