trial,cnd,stimulated_eye,response,trial_times
1,0.6,1,1,1.002373218536377
2,0.3,1,0,0.5349130630493164
3,0.3,1,1,0.7012851238250732
4,0.3,-1,1,0.6269190311431885
5,1.2,1,0,1.550511121749878
6,1.5,-1,1,1.8209030628204346
7,0.3,1,0,0.7020578384399414
8,0.9,1,0,1.271925926208496
9,1.5,1,1,1.83182692527771
10,0.3,1,0,0.6659471988677979
11,0.9,-1,1,1.3022170066833496
12,0.3,-1,1,0.6449050903320312
13,1.2,-1,1,1.5419940948486328
14,0.6,1,0,0.994760274887085
15,0.0,-1,1,0.24284076690673828
16,1.5,1,0,1.8950181007385254
17,0.6,-1,0,1.0020537376403809
18,1.5,1,0,1.8642470836639404
19,0.6,-1,1,0.9276559352874756
20,1.5,1,0,1.8286011219024658
21,1.5,1,0,1.8958699703216553
22,1.5,-1,0,1.8205180168151855
23,0.3,1,0,0.7021791934967041
24,0.3,-1,1,0.6743018627166748
25,0.0,1,0,0.3119947910308838
26,0.3,-1,1,0.7020871639251709
27,0.9,1,0,1.3012363910675049
28,1.2,1,0,1.5121207237243652
29,0.0,1,0,0.3771352767944336
30,0.6,1,0,0.9931471347808838
31,1.2,1,0,1.5665009021759033
32,1.2,1,0,1.6012599468231201
33,1.2,1,1,1.596830129623413
34,1.5,-1,0,1.8278210163116455
35,0.9,1,0,1.2242381572723389
36,0.9,1,0,1.169929027557373
37,0.9,-1,1,1.2679939270019531
38,0.9,1,0,1.252120018005371
39,0.3,-1,1,0.7020857334136963
40,0.9,-1,1,1.2465381622314453
41,0.9,1,0,1.2061011791229248
42,1.2,-1,1,1.5835018157958984
43,0.0,-1,1,0.3351469039916992
44,0.0,-1,1,0.31259870529174805
45,0.6,1,0,0.9321470260620117
46,0.9,-1,1,1.3020539283752441
47,0.9,-1,1,1.2772221565246582
48,0.6,1,0,0.8604221343994141
49,1.5,-1,1,1.8672668933868408
50,0.9,1,0,1.2556731700897217
51,1.2,-1,1,1.5842981338500977
52,0.3,1,0,0.6132099628448486
53,0.3,1,0,0.6132051944732666
54,0.3,-1,1,0.6960949897766113
55,0.0,1,1,0.34488987922668457
56,0.9,1,0,1.2445931434631348
57,1.2,-1,1,1.5120582580566406
58,0.6,1,0,0.8623731136322021
59,1.5,-1,1,1.82676100730896
60,0.6,-1,1,0.972977876663208
61,1.2,-1,1,1.5127089023590088
62,1.2,1,1,1.5370218753814697
63,0.9,1,0,1.2839972972869873
64,0.9,1,0,1.2768628597259521
