trial,cnd,stimulated_eye,response,trial_times
1,1.5,1,0,1.9021120071411133
2,0.9,1,1,1.266829013824463
3,1.5,1,1,1.8929331302642822
4,0.9,-1,0,1.3019599914550781
5,1.5,-1,0,1.8629019260406494
6,0.6,-1,0,1.0011053085327148
7,0.9,-1,0,1.2819430828094482
8,0.6,-1,1,1.001711130142212
9,1.5,1,0,1.8603649139404297
10,1.2,1,1,1.5398428440093994
11,0.0,-1,1,0.35518407821655273
12,0.6,-1,0,1.0021188259124756
13,0.9,1,1,1.2940800189971924
14,0.6,1,1,0.8752310276031494
15,0.6,1,1,1.00205397605896
16,0.3,1,1,0.6633002758026123
17,0.3,-1,0,0.6043808460235596
18,0.0,1,1,0.28611207008361816
19,0.9,-1,0,1.302173137664795
20,0.0,1,1,0.3472592830657959
21,1.5,1,0,1.9018809795379639
22,1.2,-1,0,1.4165840148925781
23,0.9,1,1,1.2339630126953125
24,0.6,1,0,0.976067066192627
25,1.2,-1,0,1.5534110069274902
26,0.0,-1,1,0.32694411277770996
27,1.2,-1,0,1.594939947128296
28,1.5,-1,0,1.8157579898834229
29,1.5,-1,0,1.9012160301208496
30,1.2,-1,0,1.5507609844207764
31,1.2,1,0,1.5847492218017578
32,0.3,1,1,0.6954231262207031
33,0.9,-1,0,1.1579780578613281
34,1.2,1,0,1.536163091659546
35,0.3,1,1,0.6607980728149414
36,1.5,1,0,1.9020931720733643
37,0.6,-1,1,0.904224157333374
38,0.0,-1,1,0.36364006996154785
39,0.0,-1,1,0.34694910049438477
40,0.0,-1,1,0.23520421981811523
41,0.0,-1,0,0.2425401210784912
42,1.5,1,1,1.8707389831542969
43,1.5,-1,0,1.8920879364013672
44,0.9,-1,0,1.2960782051086426
45,0.9,-1,0,1.2873508930206299
46,1.2,1,0,1.6021900177001953
47,1.5,-1,0,1.9017698764801025
48,1.5,1,0,1.8823375701904297
49,1.2,-1,0,1.499068021774292
50,0.6,-1,0,0.9627130031585693
51,0.9,1,1,1.2052059173583984
52,0.3,1,1,0.6201179027557373
53,0.3,1,1,0.5858550071716309
54,0.3,1,1,0.7013130187988281
55,0.0,1,1,0.40182971954345703
56,0.9,-1,0,1.302006721496582
57,0.0,1,1,0.29465699195861816
58,1.2,1,1,1.6015841960906982
59,0.9,1,1,1.2513890266418457
60,1.2,-1,0,1.601668119430542
61,0.3,-1,0,0.6933138370513916
62,1.5,-1,0,1.8361999988555908
63,0.9,-1,0,1.3021550178527832
64,0.3,-1,1,0.7015340328216553
65,1.5,1,1,1.7989652156829834
66,0.3,1,1,0.6401150226593018
67,0.6,-1,0,0.918738842010498
68,0.9,1,1,1.2764759063720703
69,1.2,-1,0,1.6022918224334717
70,0.0,-1,0,0.2295999526977539
71,0.6,1,1,0.9701581001281738
72,0.0,-1,0,0.34615111351013184
73,0.6,-1,0,0.914219856262207
74,1.5,1,0,1.831840991973877
75,0.3,1,1,0.6378240585327148
76,1.5,1,0,1.8565468788146973
77,0.3,1,1,0.7013580799102783
78,0.0,-1,0,0.32301878929138184
79,0.6,-1,0,0.9314899444580078
80,0.6,-1,0,0.979809045791626
81,1.5,-1,0,1.8191280364990234
82,0.6,1,1,0.9820201396942139
83,0.3,-1,1,0.611962080001831
84,1.5,-1,0,1.9016151428222656
85,0.3,-1,1,0.5817620754241943
86,0.0,1,1,0.37561821937561035
87,0.9,1,0,1.265395164489746
88,1.2,-1,0,1.6013178825378418
89,0.0,-1,0,0.3499410152435303
90,0.3,-1,1,0.5675957202911377
91,1.5,1,1,1.9024262428283691
92,0.0,-1,0,0.35214781761169434
93,0.6,1,0,0.9057168960571289
94,0.0,1,1,0.4021449089050293
95,0.0,-1,0,0.40236401557922363
96,0.9,1,1,1.269639015197754
97,1.5,-1,0,1.8453631401062012
98,1.2,-1,0,1.5550317764282227
99,0.9,1,1,1.2556557655334473
100,0.6,1,1,0.9605529308319092
101,0.3,-1,0,0.7011611461639404
102,0.9,-1,0,1.2892186641693115
103,1.2,-1,0,1.5746948719024658
104,1.2,-1,0,1.4982728958129883
105,0.6,-1,0,1.0021820068359375
106,0.3,1,1,0.5430269241333008
107,0.3,1,1,0.543654203414917
108,0.6,-1,0,0.9203791618347168
109,0.3,-1,1,0.6669566631317139
110,1.2,-1,1,1.427379846572876
111,0.6,1,1,1.002155065536499
112,0.9,1,1,1.111544132232666
113,0.0,-1,0,0.40199899673461914
114,0.9,-1,0,1.2537600994110107
115,0.3,1,1,0.6045780181884766
116,0.0,1,1,0.4020118713378906
117,0.6,1,0,1.0011470317840576
118,0.3,-1,1,0.6390328407287598
119,0.9,-1,0,1.2844841480255127
120,1.2,1,1,1.5470778942108154
121,0.9,1,0,1.3020570278167725
122,0.0,1,1,0.38517189025878906
123,1.5,1,0,1.785393238067627
124,0.6,-1,0,1.0020480155944824
125,0.0,1,1,0.37125706672668457
126,0.0,1,1,0.30999183654785156
127,0.3,1,1,0.702125072479248
128,0.3,1,1,0.7017080783843994
129,1.5,1,1,1.9021081924438477
130,0.6,-1,0,1.0024359226226807
131,0.0,-1,1,0.25768089294433594
132,1.2,-1,0,1.6017348766326904
133,1.5,-1,0,1.9020800590515137
134,1.5,1,0,1.8949460983276367
135,0.6,-1,0,0.9132068157196045
136,0.3,1,1,0.7019720077514648
137,0.6,1,1,0.9392600059509277
138,0.3,-1,1,0.693659782409668
139,1.5,-1,0,1.8046298027038574
140,0.9,-1,0,1.226945161819458
141,1.2,1,0,1.4377169609069824
142,0.6,1,1,0.9524128437042236
143,0.3,1,0,0.701287031173706
144,1.2,1,1,1.4421679973602295
