trial,cnd,stimulated_eye,response,trial_times
1,1.2,1,1,1.602236032485962
2,0.3,-1,1,0.6224019527435303
3,0.0,-1,1,0.3627758026123047
4,0.6,-1,1,0.9531147480010986
5,1.2,-1,1,1.4990110397338867
6,1.5,-1,0,1.9014637470245361
7,1.2,1,1,1.530930757522583
8,0.3,-1,1,0.7020721435546875
9,0.0,-1,1,0.40203070640563965
10,0.6,1,1,1.0020380020141602
11,1.2,-1,1,1.5967559814453125
12,0.6,1,0,0.9605393409729004
13,0.6,-1,1,0.9041638374328613
14,0.3,-1,0,0.6450603008270264
15,0.6,-1,1,0.9458050727844238
16,0.0,-1,1,0.401292085647583
17,1.2,-1,1,1.5150511264801025
18,1.5,1,1,1.8771579265594482
19,0.6,-1,1,1.0009949207305908
20,0.6,1,0,0.8108632564544678
21,0.9,-1,1,1.244248867034912
22,0.0,1,1,0.3452799320220947
23,1.2,1,0,1.5362062454223633
24,0.3,-1,0,0.6465249061584473
25,1.2,-1,1,1.5924029350280762
26,0.6,-1,1,0.9333722591400146
27,0.6,1,0,0.9036469459533691
28,1.5,1,0,1.8772001266479492
29,0.3,1,1,0.6838221549987793
30,0.3,-1,1,0.7012653350830078
31,1.2,1,0,1.5571789741516113
32,0.6,1,1,0.9582452774047852
33,0.0,1,1,0.40201687812805176
34,0.9,-1,0,1.193662166595459
35,1.5,1,1,1.8961710929870605
36,0.0,-1,1,0.332089900970459
37,1.5,1,0,1.8118882179260254
38,0.9,1,0,1.2863616943359375
39,0.6,1,1,0.9363839626312256
40,0.3,1,1,0.6769528388977051
41,0.9,-1,1,1.2556469440460205
42,0.9,-1,0,1.244236707687378
43,1.5,1,0,1.8639981746673584
44,1.5,-1,1,1.859882116317749
45,0.9,1,1,1.3021769523620605
46,0.0,-1,1,0.40200090408325195
47,1.2,-1,1,1.5967848300933838
48,0.9,1,1,1.2343981266021729
49,1.2,1,1,1.580397129058838
50,1.2,1,1,1.5849277973175049
51,0.6,-1,1,0.9665489196777344
52,0.6,1,1,0.9438879489898682
53,0.6,1,1,0.9765708446502686
54,1.5,1,1,1.9020569324493408
55,0.0,1,1,0.3666980266571045
56,1.5,-1,0,1.874006986618042
57,0.6,1,0,0.9123470783233643
58,1.5,1,1,1.8959438800811768
59,1.2,-1,0,1.5040769577026367
60,1.5,-1,1,1.792598009109497
61,0.0,1,1,0.3416121006011963
62,0.3,1,1,0.692979097366333
63,1.5,-1,0,1.7697992324829102
64,0.6,1,0,0.9312179088592529
65,0.3,1,1,0.5438220500946045
66,1.5,1,0,1.7835171222686768
67,1.5,-1,0,1.8422799110412598
68,1.5,-1,1,1.823409080505371
69,1.5,1,0,1.8438129425048828
70,1.2,-1,1,1.6021859645843506
71,0.0,1,1,0.3494100570678711
72,0.6,1,0,0.9286227226257324
73,0.3,1,1,0.6292641162872314
74,1.2,1,1,1.507584810256958
75,0.6,1,1,0.9755260944366455
76,1.5,-1,0,1.8605539798736572
77,0.6,1,1,0.9085471630096436
78,0.3,-1,1,0.6209361553192139
79,1.5,1,0,1.8185360431671143
80,0.3,-1,1,0.6962580680847168
81,0.0,-1,1,0.3514571189880371
82,0.9,-1,1,1.2490770816802979
83,1.2,1,0,1.6021161079406738
84,0.9,-1,0,1.2060189247131348
85,1.2,-1,1,1.5703282356262207
86,1.2,1,0,1.5102567672729492
87,0.0,1,1,0.3965950012207031
88,0.3,-1,0,0.6082029342651367
89,0.9,1,1,1.3013379573822021
90,0.0,1,1,0.3047170639038086
91,0.3,-1,0,0.7019929885864258
92,1.5,1,1,1.8612418174743652
93,0.3,1,1,0.6358382701873779
94,1.2,1,1,1.56561279296875
95,1.2,-1,0,1.544198989868164
96,0.0,1,1,0.36945176124572754
97,0.9,-1,0,1.2726972103118896
98,1.2,-1,1,1.5201990604400635
99,0.0,-1,1,0.40206003189086914
100,0.6,-1,1,0.9911739826202393
101,1.5,1,1,1.804893970489502
102,0.3,-1,1,0.702347993850708
103,1.5,-1,1,1.8537631034851074
104,0.0,1,1,0.40198588371276855
105,0.9,1,0,1.1122970581054688
106,1.2,-1,0,1.4997742176055908
107,1.5,-1,0,1.837637186050415
108,1.2,1,0,1.5427308082580566
109,0.6,1,1,1.0020792484283447
110,0.6,-1,0,0.9120497703552246
111,0.9,-1,1,1.2041521072387695
112,0.9,1,0,1.2465171813964844
113,1.2,1,0,1.530404806137085
114,1.2,1,1,1.5735218524932861
115,0.6,1,1,0.9334828853607178
116,1.2,-1,0,1.558542013168335
117,0.9,1,1,1.1193201541900635
118,0.9,1,1,1.3021020889282227
119,1.5,1,0,1.804826021194458
120,0.6,1,0,0.992293119430542
121,0.3,-1,0,0.6961929798126221
122,1.2,-1,1,1.5619399547576904
123,0.6,-1,0,1.0015921592712402
124,1.2,-1,0,1.6012628078460693
125,0.6,1,0,1.0024261474609375
126,0.9,1,1,1.199347972869873
127,0.9,-1,0,1.159160852432251
128,1.5,1,0,1.8455700874328613
129,0.6,-1,1,0.9756679534912109
130,0.3,-1,1,0.660865068435669
131,1.5,1,0,1.8247549533843994
132,0.6,-1,0,0.9252870082855225
133,0.3,1,1,0.6176221370697021
134,1.2,-1,1,1.568234920501709
135,0.0,-1,1,0.40201592445373535
136,1.2,-1,1,1.6012451648712158
137,0.3,1,1,0.5366668701171875
138,0.6,-1,0,1.0013182163238525
139,0.3,-1,0,0.6435110569000244
140,0.3,1,1,0.6598000526428223
141,1.2,1,1,1.5606839656829834
142,0.3,1,1,0.7020080089569092
143,1.5,-1,0,1.7137110233306885
144,0.0,-1,0,0.35668206214904785
145,0.3,1,1,0.6774752140045166
146,0.0,1,1,0.28310298919677734
147,0.6,1,1,0.9148280620574951
148,0.3,1,1,0.6239981651306152
149,0.0,-1,1,0.3656609058380127
150,0.6,-1,1,0.988243818283081
151,1.5,-1,0,1.902184009552002
152,0.0,1,1,0.4019749164581299
153,0.0,1,1,0.40206289291381836
154,0.9,-1,1,1.2293579578399658
155,0.9,-1,1,1.293997049331665
156,0.3,1,1,0.7016098499298096
157,0.3,1,1,0.702023983001709
158,0.3,1,1,0.6753852367401123
159,0.0,-1,0,0.3591289520263672
160,1.5,-1,0,1.8949062824249268
161,0.6,1,1,0.9068090915679932
162,0.9,-1,0,1.2945799827575684
163,0.9,-1,0,1.3020470142364502
164,1.2,-1,0,1.504776954650879
165,0.6,1,0,0.9041950702667236
166,0.0,-1,0,0.31864500045776367
167,0.0,-1,0,0.384631872177124
168,0.0,-1,0,0.3522958755493164
169,1.2,1,1,1.5891950130462646
170,0.0,-1,1,0.3916308879852295
171,0.0,1,1,0.303865909576416
172,0.6,-1,1,1.0020771026611328
173,0.9,1,1,1.3022279739379883
174,0.0,-1,1,0.3316192626953125
175,0.9,-1,0,1.3020720481872559
176,1.5,-1,1,1.8178679943084717
177,0.0,1,1,0.40210390090942383
178,1.5,1,0,1.8473989963531494
179,1.2,1,1,1.592639446258545
180,0.6,-1,1,1.0021419525146484
181,0.0,1,1,0.4020826816558838
182,0.3,-1,1,0.5596930980682373
183,0.9,-1,1,1.3019781112670898
184,1.5,-1,1,1.8536298274993896
