trial,cnd,stimulated_eye,response,trial_times
1,1.5,-1,1,1.9022080898284912
2,1.5,-1,1,1.9021329879760742
3,1.5,1,1,1.9021549224853516
4,0.0,1,1,0.402022123336792
5,1.5,1,1,1.901778221130371
6,0.9,1,0,1.3020639419555664
7,0.3,-1,1,0.5592861175537109
8,0.3,1,1,0.7017219066619873
9,0.3,-1,1,0.7021839618682861
10,0.0,-1,1,0.402008056640625
11,0.9,1,0,1.301647663116455
12,0.0,-1,1,0.2622098922729492
13,0.0,-1,1,0.4015679359436035
14,1.2,1,0,1.6022388935089111
15,1.2,-1,0,1.5390658378601074
16,0.6,-1,1,0.9719123840332031
17,1.2,1,0,1.5125770568847656
18,0.9,-1,1,1.301461935043335
19,1.5,-1,1,1.7577629089355469
20,1.2,-1,0,1.5762927532196045
21,0.9,-1,0,1.2038242816925049
22,0.6,1,0,1.0015180110931396
23,0.6,-1,0,1.0020546913146973
24,0.9,-1,0,1.1193859577178955
25,0.6,1,1,0.9763138294219971
26,1.2,-1,0,1.5363471508026123
27,0.0,1,1,0.40231823921203613
28,0.6,-1,0,1.0013229846954346
29,0.9,1,0,1.3022830486297607
30,0.0,1,1,0.33011412620544434
31,1.2,1,0,1.602349042892456
32,0.3,1,1,0.5254197120666504
33,1.5,1,0,1.9021708965301514
34,0.3,-1,1,0.5224189758300781
35,0.6,1,1,1.0014708042144775
36,0.3,1,1,0.7022488117218018
