trial,cnd,stimulated_eye,response,trial_times
1,1.0,-1,1,1.9021708965301514
2,1.0,-1,1,1.901097059249878
3,2.0,1,0,1.901710033416748
4,2.0,1,0,1.9023048877716064
5,2.0,1,1,1.902062177658081
6,0.5,1,0,1.9020791053771973
7,2.0,1,1,1.90205979347229
8,4.0,1,0,1.9020640850067139
9,1.0,1,0,1.902026891708374
10,0.5,-1,1,1.9013409614562988
11,2.0,1,0,1.9013609886169434
12,0.5,1,0,1.9014430046081543
13,4.0,1,0,1.901705265045166
14,0.5,1,0,1.9020657539367676
15,0.5,-1,0,1.9021239280700684
16,1.0,1,0,1.9022817611694336
17,0.5,-1,1,1.712439775466919
18,0.5,-1,1,1.902317762374878
19,0.5,1,0,1.7919971942901611
20,4.0,-1,0,1.901413917541504
21,2.0,-1,0,1.9020769596099854
22,4.0,1,1,1.9021451473236084
23,1.0,-1,0,1.9020109176635742
24,0.5,1,1,1.9020957946777344
25,4.0,-1,1,1.9021151065826416
26,4.0,-1,1,1.9020349979400635
27,4.0,-1,1,1.902099847793579
28,0.5,1,0,1.9016368389129639
29,0.5,-1,1,1.9020740985870361
30,0.5,-1,1,1.9023098945617676
31,1.0,1,0,1.9020488262176514
32,0.5,-1,1,1.9018139839172363
33,0.5,-1,1,1.9013710021972656
34,2.0,1,0,1.9022560119628906
35,0.5,-1,0,1.9021148681640625
36,4.0,1,1,1.9020252227783203
37,2.0,1,1,1.9021377563476562
38,0.5,1,0,1.7595820426940918
39,1.0,-1,1,1.9011049270629883
40,0.5,-1,0,1.9016218185424805
41,4.0,1,0,1.718785047531128
42,4.0,1,0,1.9013569355010986
43,1.0,1,0,1.9015936851501465
44,1.0,1,0,1.9021081924438477
45,4.0,-1,1,1.7828130722045898
46,4.0,-1,1,1.9013187885284424
47,4.0,-1,1,1.9012606143951416
48,1.0,-1,1,1.90212082862854
49,1.0,1,0,1.9020578861236572
50,4.0,-1,0,1.9015748500823975
51,1.0,-1,0,1.902054786682129
52,1.0,-1,0,1.9013218879699707
53,2.0,1,0,1.8295111656188965
54,2.0,-1,1,1.901738166809082
55,4.0,1,1,1.9020109176635742
56,0.5,-1,1,1.8226900100708008
57,2.0,1,0,1.7837800979614258
58,4.0,1,0,1.901953935623169
59,2.0,-1,1,1.9020819664001465
60,4.0,1,1,1.9021310806274414
61,2.0,-1,1,1.9020450115203857
62,4.0,1,1,1.9013748168945312
63,4.0,-1,1,1.7263169288635254
64,2.0,-1,0,1.9020938873291016
65,1.0,1,0,1.7115299701690674
66,1.0,1,0,1.902101993560791
67,0.5,-1,0,1.902263879776001
68,4.0,1,1,1.9011318683624268
69,4.0,-1,1,1.9020452499389648
70,1.0,1,0,1.8058488368988037
71,2.0,1,0,1.7581632137298584
72,4.0,1,0,1.814990758895874
73,4.0,-1,0,1.9021968841552734
74,0.5,-1,0,1.901878833770752
75,4.0,1,0,1.9012761116027832
76,0.5,1,0,1.901634931564331
77,0.5,1,0,1.8477897644042969
78,1.0,1,0,1.7270357608795166
79,4.0,1,1,1.9013850688934326
80,4.0,1,0,1.9013900756835938
81,1.0,1,0,1.7031519412994385
82,1.0,-1,0,1.7745857238769531
83,1.0,-1,0,1.8045580387115479
84,2.0,1,0,1.9020700454711914
85,0.5,-1,1,1.7053382396697998
86,1.0,-1,0,1.8072357177734375
87,4.0,1,0,1.8615248203277588
88,4.0,1,0,1.7811050415039062
89,0.5,1,0,1.9022438526153564
90,2.0,1,0,1.845142126083374
91,1.0,1,0,1.7478158473968506
92,2.0,-1,0,1.802304983139038
93,1.0,-1,1,1.7856519222259521
94,2.0,1,0,1.9011821746826172
95,4.0,-1,0,1.7136929035186768
96,0.5,1,0,1.8465180397033691
97,0.5,-1,0,1.8908271789550781
98,1.0,-1,0,1.7756507396697998
99,4.0,1,0,1.9020848274230957
100,4.0,1,0,1.765557050704956
101,4.0,-1,1,1.8016109466552734
102,0.5,-1,0,1.8047327995300293
