trial,cnd,stimulated_eye,response,trial_times
1,0.5,-1,0,1.902174949645996
2,1.0,1,0,1.7182559967041016
3,1.0,1,0,1.9021658897399902
4,1.0,1,0,1.902048110961914
5,2.0,-1,1,1.9021949768066406
6,4.0,1,0,1.9020397663116455
7,4.0,-1,1,1.9022250175476074
8,1.0,1,0,1.9019808769226074
9,2.0,1,0,1.9021031856536865
10,4.0,1,1,1.9022009372711182
11,2.0,1,0,1.9022331237792969
12,4.0,-1,1,1.902332067489624
13,1.0,-1,0,1.9020390510559082
14,4.0,1,1,1.9019858837127686
15,1.0,-1,1,1.9016399383544922
16,2.0,1,0,1.727142095565796
17,0.5,1,1,1.9018011093139648
18,4.0,-1,1,1.902162790298462
19,1.0,-1,0,1.9021949768066406
20,2.0,1,0,1.902130126953125
21,0.5,-1,0,1.9020590782165527
22,4.0,1,0,1.901181936264038
23,0.5,-1,0,1.9021797180175781
24,1.0,1,0,1.9022891521453857
25,1.0,1,0,1.9020140171051025
26,1.0,1,0,1.9021110534667969
27,4.0,-1,1,1.9020049571990967
28,4.0,1,0,1.901404857635498
29,1.0,-1,0,1.902129888534546
30,4.0,-1,1,1.901763916015625
31,0.5,-1,0,1.9022326469421387
32,0.5,-1,0,1.90230393409729
33,4.0,1,1,1.902134895324707
34,0.5,1,0,1.9019029140472412
35,0.5,1,0,1.901198148727417
36,1.0,1,0,1.9022300243377686
37,0.5,-1,0,1.9021480083465576
38,1.0,-1,0,1.9019238948822021
39,2.0,1,1,1.901721715927124
40,0.5,-1,0,1.7582530975341797
41,2.0,1,0,1.9019782543182373
42,2.0,-1,1,1.902001142501831
43,1.0,-1,0,1.9021661281585693
44,1.0,1,0,1.9012761116027832
45,0.5,1,0,1.9021947383880615
46,1.0,-1,1,1.9022319316864014
47,0.5,1,0,1.9013941287994385
48,2.0,1,1,1.9021942615509033
49,2.0,1,0,1.9020979404449463
50,2.0,1,0,1.9018549919128418
51,0.5,1,0,1.9017410278320312
52,1.0,1,0,1.9019629955291748
53,2.0,1,0,1.9019298553466797
54,1.0,-1,0,1.9013760089874268
55,1.0,1,0,1.9019861221313477
56,1.0,1,0,1.9023191928863525
57,0.5,1,1,1.9019839763641357
58,1.0,-1,1,1.9016399383544922
59,2.0,1,0,1.9021697044372559
60,1.0,-1,0,1.9012768268585205
61,2.0,-1,1,1.9020321369171143
62,4.0,-1,1,1.9020500183105469
63,0.5,-1,0,1.9020440578460693
64,4.0,1,0,1.9021458625793457
65,1.0,-1,1,1.902066946029663
66,4.0,-1,1,1.9019889831542969
67,1.0,-1,0,1.9020459651947021
68,2.0,1,0,1.9020788669586182
69,2.0,-1,0,1.902151346206665
70,0.5,1,0,1.9019877910614014
