trial,cnd,stimulated_eye,response,trial_times
1,1.0,1,1,1.9018139839172363
2,1.0,1,0,1.9021003246307373
3,1.0,1,0,1.9020910263061523
4,2.0,-1,1,1.8015530109405518
5,1.0,1,0,1.7277882099151611
6,4.0,-1,1,1.9021289348602295
7,1.0,-1,1,1.9022808074951172
8,4.0,-1,1,1.7921168804168701
9,1.0,1,0,1.9022228717803955
10,1.0,1,1,1.8613801002502441
11,1.0,1,0,1.902085781097412
12,2.0,1,0,1.9021999835968018
13,0.5,-1,1,1.9021546840667725
14,2.0,1,1,1.8541622161865234
15,0.5,-1,1,1.9021010398864746
16,4.0,-1,1,1.9021368026733398
17,0.5,1,0,1.902285099029541
18,4.0,-1,1,1.9019887447357178
19,4.0,-1,1,1.90214204788208
20,4.0,-1,1,1.9018337726593018
21,1.0,1,0,1.9022316932678223
22,1.0,1,0,1.7498531341552734
23,0.5,-1,1,1.9017117023468018
24,4.0,-1,1,1.9022037982940674
25,4.0,-1,1,1.902324914932251
26,2.0,1,0,1.901352882385254
27,4.0,1,0,1.8135671615600586
28,2.0,1,0,1.9020967483520508
29,1.0,-1,1,1.71931791305542
30,1.0,-1,1,1.743030071258545
31,4.0,1,1,1.9015400409698486
32,2.0,1,0,1.7739291191101074
33,1.0,-1,1,1.9015920162200928
34,2.0,1,0,1.9021241664886475
35,0.5,-1,1,1.902106761932373
36,1.0,1,0,1.9020910263061523
37,1.0,-1,1,1.9021329879760742
38,2.0,1,0,1.8632640838623047
39,0.5,1,0,1.7348530292510986
40,1.0,1,0,1.9021151065826416
41,0.5,-1,1,1.902116060256958
42,2.0,1,0,1.7509958744049072
43,2.0,-1,1,1.9020638465881348
44,4.0,-1,1,1.9021079540252686
45,2.0,1,0,1.9022648334503174
46,2.0,-1,1,1.9021177291870117
47,0.5,-1,1,1.7851030826568604
48,0.5,1,0,1.9020869731903076
49,2.0,1,0,1.9020941257476807
50,4.0,1,0,1.9020428657531738
51,4.0,1,0,1.825348138809204
52,2.0,-1,1,1.7111999988555908
53,1.0,-1,1,1.9017138481140137
54,2.0,-1,0,1.7064671516418457
55,2.0,1,0,1.9020800590515137
56,1.0,1,0,1.9021179676055908
57,0.5,-1,1,1.9021210670471191
58,0.5,1,0,1.709907054901123
59,0.5,-1,1,1.7350959777832031
60,2.0,-1,1,1.732731819152832
61,2.0,1,0,1.9014270305633545
62,4.0,-1,1,1.8284289836883545
63,0.5,1,0,1.9021239280700684
