trial,cnd,stimulated_eye,response,trial_times
1,4.0,-1,1,1.902374029159546
2,2.0,1,1,1.9020330905914307
3,4.0,-1,1,1.8966760635375977
4,1.0,-1,0,1.8758821487426758
5,2.0,1,1,1.8068721294403076
6,0.5,-1,0,1.70517897605896
7,1.0,1,0,1.8204548358917236
8,4.0,-1,0,1.8329920768737793
9,1.0,-1,1,1.9020507335662842
10,2.0,1,1,1.8293778896331787
11,2.0,-1,1,1.902209997177124
12,4.0,1,1,1.8558778762817383
13,0.5,1,0,1.8393499851226807
14,0.5,1,0,1.9021291732788086
15,1.0,-1,0,1.901982069015503
16,1.0,1,0,1.8963048458099365
17,2.0,-1,0,1.8833882808685303
18,1.0,-1,0,1.7301089763641357
19,1.0,-1,0,1.8923790454864502
20,2.0,-1,1,1.8433427810668945
21,1.0,1,0,1.8715221881866455
22,4.0,1,0,1.823401927947998
23,1.0,1,0,1.853869915008545
24,0.5,-1,0,1.8446128368377686
25,1.0,-1,1,1.8857231140136719
26,1.0,-1,0,1.9020862579345703
27,2.0,1,0,1.8821477890014648
28,4.0,-1,0,1.882289171218872
29,4.0,-1,0,1.8576951026916504
30,0.5,1,0,1.8297216892242432
31,4.0,1,0,1.9020588397979736
32,2.0,1,0,1.9020888805389404
33,0.5,1,0,1.8368897438049316
34,0.5,1,0,1.848254919052124
35,0.5,1,0,1.820742130279541
36,2.0,-1,0,1.8043010234832764
37,1.0,1,1,1.9017629623413086
38,4.0,1,1,1.869041919708252
39,4.0,1,1,1.853982925415039
40,2.0,-1,1,1.8950440883636475
41,1.0,-1,1,1.855329990386963
42,1.0,1,1,1.9020588397979736
43,2.0,-1,0,1.902066946029663
44,4.0,1,1,1.9022157192230225
45,1.0,-1,0,1.8794541358947754
46,2.0,1,0,1.9016129970550537
47,1.0,-1,1,1.80159592628479
48,1.0,-1,0,1.9021780490875244
49,4.0,1,1,1.8363888263702393
50,0.5,-1,0,1.902216911315918
51,1.0,1,0,1.7701489925384521
52,4.0,-1,1,1.8288087844848633
53,0.5,1,0,1.870995044708252
54,4.0,1,1,1.8432519435882568
55,1.0,-1,0,1.8367390632629395
56,0.5,1,0,1.901798963546753
57,0.5,-1,0,1.9015800952911377
58,2.0,1,0,1.8211658000946045
59,0.5,1,0,1.9020261764526367
60,0.5,1,0,1.8661539554595947
61,1.0,-1,0,1.8372819423675537
62,4.0,1,1,1.901425838470459
63,0.5,-1,0,1.8712100982666016
64,4.0,1,1,1.9021480083465576
65,1.0,1,0,1.8516669273376465
66,4.0,1,1,1.8388950824737549
67,2.0,1,1,1.8461229801177979
68,4.0,-1,1,1.807633876800537
69,1.0,-1,0,1.855738878250122
70,4.0,-1,1,1.8453927040100098
71,1.0,-1,1,1.902113914489746
72,0.5,-1,0,1.8967151641845703
73,2.0,1,0,1.8573060035705566
74,1.0,1,1,1.902250051498413
75,0.5,-1,1,1.8626189231872559
76,2.0,-1,1,1.901520013809204
77,0.5,1,1,1.812525987625122
78,4.0,-1,1,1.901677131652832
79,1.0,1,0,1.8320012092590332
80,2.0,1,0,1.8717172145843506
81,2.0,1,0,1.8722381591796875
82,2.0,-1,1,1.8601689338684082
83,2.0,-1,1,1.8230690956115723
84,2.0,-1,1,1.8056507110595703
85,2.0,1,1,1.9020609855651855
86,1.0,1,0,1.8324241638183594
87,4.0,-1,1,1.8559672832489014
88,4.0,-1,1,1.86531400680542
89,0.5,1,0,1.8865890502929688
90,1.0,-1,1,1.8594717979431152
91,0.5,1,0,1.896116018295288
92,2.0,-1,1,1.8125898838043213
93,1.0,1,0,1.8845717906951904
94,0.5,-1,0,1.9020719528198242
95,4.0,1,1,1.868744134902954
96,2.0,1,1,1.86051607131958
97,1.0,-1,0,1.7993659973144531
98,2.0,1,1,1.871302843093872
99,2.0,-1,1,1.8865039348602295
100,0.5,-1,0,1.716689109802246
101,0.5,-1,0,1.8354768753051758
102,0.5,1,0,1.8101458549499512
103,2.0,-1,1,1.8196649551391602
104,4.0,-1,1,1.8958051204681396
105,2.0,1,0,1.9020938873291016
106,2.0,1,1,1.9021551609039307
107,0.5,1,0,1.7582361698150635
108,1.0,1,0,1.8351850509643555
109,4.0,1,1,1.8454248905181885
110,1.0,-1,1,1.799299716949463
111,4.0,-1,0,1.7990641593933105
112,4.0,1,1,1.742784023284912
113,2.0,1,1,1.8794870376586914
114,4.0,-1,1,1.8762781620025635
