trial,cnd,stimulated_eye,response,trial_times
1,4.0,-1,1,1.9023010730743408
2,4.0,1,1,1.8462111949920654
3,0.5,-1,1,1.854161024093628
4,0.5,-1,1,1.8518989086151123
5,2.0,-1,1,1.8606059551239014
6,4.0,1,1,1.8597581386566162
7,4.0,1,1,1.8551239967346191
8,4.0,1,0,1.8868348598480225
9,0.5,-1,1,1.8760361671447754
10,2.0,-1,1,1.820138931274414
11,4.0,-1,1,1.8793509006500244
12,0.5,1,1,1.8532888889312744
13,2.0,-1,1,1.847316026687622
14,1.0,1,0,1.8460910320281982
15,2.0,-1,1,1.8757619857788086
16,1.0,-1,1,1.8790979385375977
17,4.0,-1,1,1.854029893875122
18,1.0,-1,1,1.830090045928955
19,4.0,1,1,1.8287322521209717
20,1.0,-1,1,1.8071820735931396
21,1.0,-1,1,1.8791260719299316
22,0.5,1,1,1.8668551445007324
23,4.0,1,0,1.8714401721954346
24,4.0,1,1,1.8361742496490479
25,1.0,1,0,1.861440896987915
26,2.0,1,0,1.8832180500030518
27,2.0,1,1,1.8599328994750977
28,4.0,-1,1,1.877161979675293
29,1.0,-1,1,1.887826919555664
30,0.5,1,1,1.8881821632385254
31,0.5,1,1,1.8430631160736084
32,1.0,-1,1,1.7113890647888184
33,4.0,-1,1,1.8494398593902588
34,1.0,1,0,1.8656299114227295
35,2.0,1,0,1.8808739185333252
36,2.0,-1,1,1.8772189617156982
37,2.0,-1,1,1.8841278553009033
38,2.0,-1,1,1.8464069366455078
39,2.0,-1,1,1.894214153289795
40,4.0,-1,1,1.873460054397583
41,4.0,-1,1,1.8732259273529053
42,2.0,1,0,1.8131263256072998
43,0.5,-1,1,1.8075740337371826
44,2.0,-1,1,1.8795909881591797
45,2.0,-1,1,1.8556439876556396
46,2.0,1,0,1.8481059074401855
47,0.5,-1,1,1.8677082061767578
48,1.0,1,0,1.8751978874206543
49,1.0,1,0,1.8913168907165527
50,2.0,1,0,1.8002748489379883
51,4.0,1,0,1.8120040893554688
52,0.5,1,0,1.8601799011230469
53,2.0,-1,0,1.8794758319854736
54,0.5,-1,1,1.862304925918579
55,1.0,1,1,1.8464670181274414
56,1.0,-1,1,1.8848998546600342
57,4.0,1,1,1.8397579193115234
58,4.0,-1,1,1.8764960765838623
59,2.0,-1,1,1.8825440406799316
60,4.0,-1,1,1.8763210773468018
61,1.0,-1,1,1.8540828227996826
62,0.5,1,1,1.9021258354187012
63,1.0,-1,1,1.866142988204956
64,1.0,-1,0,1.8654029369354248
65,0.5,1,0,1.8643290996551514
66,4.0,1,0,1.8903839588165283
67,2.0,1,0,1.883924961090088
68,0.5,1,0,1.8936638832092285
69,4.0,1,0,1.8796989917755127
70,4.0,-1,1,1.9018590450286865
71,0.5,1,0,1.827448844909668
72,1.0,1,0,1.858515977859497
73,4.0,1,0,1.882629156112671
74,2.0,1,0,1.8605618476867676
