trial,cnd,stimulated_eye,response,trial_times
1,0.5,1,0,1.9022252559661865
2,2.0,-1,1,1.8849711418151855
3,2.0,1,1,1.8304710388183594
4,4.0,1,0,1.8450231552124023
5,1.0,1,1,1.8937292098999023
6,4.0,-1,1,1.848060131072998
7,1.0,1,1,1.884464979171753
8,2.0,-1,1,1.8136889934539795
9,2.0,1,0,1.8963968753814697
10,4.0,1,0,1.8961899280548096
11,0.5,-1,1,1.8230149745941162
12,4.0,1,1,1.8392360210418701
13,4.0,1,0,1.8163340091705322
14,2.0,1,1,1.808103322982788
15,2.0,-1,1,1.880509853363037
16,1.0,-1,0,1.892251968383789
17,0.5,-1,1,1.8360259532928467
18,0.5,1,0,1.8560841083526611
19,4.0,1,0,1.8073492050170898
20,2.0,-1,1,1.868589162826538
21,1.0,1,0,1.858597755432129
22,1.0,1,0,1.8359181880950928
23,2.0,-1,0,1.8635828495025635
24,2.0,1,0,1.8597350120544434
25,1.0,1,0,1.851884126663208
26,2.0,1,1,1.8453071117401123
27,2.0,-1,1,1.871737003326416
28,4.0,1,0,1.8796608448028564
29,2.0,1,0,1.8889169692993164
30,1.0,1,0,1.8522741794586182
31,1.0,-1,0,1.8126542568206787
32,1.0,-1,0,1.8563499450683594
33,2.0,-1,1,1.8163461685180664
34,2.0,-1,0,1.860579013824463
35,0.5,1,0,1.8830788135528564
36,2.0,-1,1,1.8273911476135254
37,4.0,1,1,1.8954277038574219
38,1.0,-1,0,1.8392093181610107
39,1.0,-1,0,1.837064266204834
40,2.0,1,1,1.8041667938232422
41,0.5,1,0,1.876969814300537
42,0.5,-1,0,1.8696210384368896
43,4.0,1,1,1.8687818050384521
44,0.5,-1,0,1.8749439716339111
45,0.5,-1,0,1.8690848350524902
46,2.0,-1,1,1.8153438568115234
47,4.0,1,0,1.8381001949310303
48,0.5,-1,0,1.8937993049621582
49,4.0,-1,1,1.8770849704742432
50,1.0,-1,0,1.8367478847503662
51,0.5,1,1,1.8277041912078857
