trial,cnd,stimulated_eye,response,trial_times
1,1.0,-1,0,1.9015161991119385
2,1.0,-1,0,1.8126559257507324
3,4.0,-1,1,1.851689100265503
4,0.5,1,0,1.8074297904968262
5,4.0,1,1,1.8365089893341064
6,0.5,1,0,1.8392670154571533
7,2.0,1,0,1.8434410095214844
8,4.0,1,1,1.8176047801971436
9,1.0,-1,0,1.8690071105957031
10,1.0,1,1,1.8689079284667969
11,2.0,-1,0,1.8162119388580322
12,4.0,-1,0,1.8445470333099365
13,4.0,-1,1,1.8242008686065674
14,4.0,-1,0,1.8687858581542969
15,0.5,-1,0,1.8139770030975342
16,2.0,1,1,1.820363998413086
17,4.0,1,1,1.8162798881530762
18,2.0,1,0,1.8668999671936035
19,0.5,1,0,1.8621208667755127
20,2.0,1,0,1.800827980041504
21,4.0,1,1,1.7986698150634766
22,1.0,-1,0,1.8341002464294434
23,1.0,-1,0,1.8147730827331543
24,2.0,-1,1,1.8082389831542969
25,0.5,1,0,1.8895459175109863
26,1.0,-1,0,1.8287632465362549
27,0.5,-1,0,1.8287200927734375
28,4.0,1,0,1.8276128768920898
29,0.5,-1,0,1.8126859664916992
30,0.5,1,0,1.8983559608459473
31,4.0,-1,1,1.8635499477386475
32,2.0,-1,0,1.8165700435638428
33,2.0,1,1,1.8416759967803955
34,4.0,-1,1,1.8571150302886963
35,0.5,1,0,1.8513281345367432
36,4.0,1,0,1.8796439170837402
37,4.0,-1,1,1.8776321411132812
38,0.5,-1,0,1.815540075302124
39,2.0,-1,1,1.813917875289917
40,4.0,-1,1,1.8205492496490479
41,2.0,-1,0,1.8605949878692627
42,4.0,1,1,1.878725290298462
43,4.0,1,1,1.8742830753326416
44,2.0,-1,1,1.893080234527588
45,0.5,-1,0,1.8365168571472168
46,0.5,1,0,1.876213788986206
47,2.0,1,1,1.8880250453948975
48,1.0,1,0,1.8079619407653809
49,4.0,-1,1,1.8573708534240723
50,1.0,-1,0,1.8510127067565918
51,4.0,-1,0,1.8905069828033447
52,0.5,-1,0,1.8003010749816895
53,0.5,-1,0,1.8627021312713623
54,1.0,1,0,1.8605999946594238
55,1.0,1,0,1.8365380764007568
56,4.0,-1,1,1.8721652030944824
57,4.0,1,1,1.9021110534667969
58,4.0,-1,1,1.8827269077301025
59,1.0,-1,0,1.8339998722076416
60,4.0,1,1,1.9010939598083496
61,1.0,-1,0,1.8200440406799316
62,2.0,1,0,1.819354772567749
63,4.0,-1,1,1.8443751335144043
64,0.5,1,0,1.702003002166748
65,4.0,1,1,1.8691179752349854
