trial,cnd,stimulated_eye,response,trial_times
1,0.5,-1,1,1.9024159908294678
2,4.0,1,0,1.8393049240112305
3,0.5,-1,1,1.843698263168335
4,2.0,1,1,1.8128840923309326
5,1.0,-1,1,1.8346278667449951
6,4.0,-1,1,1.8077270984649658
7,4.0,-1,1,1.8198442459106445
8,4.0,-1,1,1.8557467460632324
9,4.0,1,1,1.8506922721862793
10,2.0,1,0,1.8659729957580566
11,0.5,-1,1,1.8051390647888184
12,0.5,-1,0,1.8513340950012207
13,1.0,-1,1,1.840005874633789
14,1.0,-1,1,1.8877768516540527
15,1.0,1,0,1.8758621215820312
16,0.5,-1,0,1.8228468894958496
17,1.0,-1,1,1.8631391525268555
18,1.0,-1,1,1.8602921962738037
19,2.0,1,0,1.8758001327514648
20,0.5,1,1,1.8731908798217773
21,4.0,-1,1,1.868124008178711
22,1.0,1,0,1.8673951625823975
23,4.0,1,0,1.8975069522857666
24,1.0,1,0,1.887712001800537
25,4.0,1,0,1.814753770828247
26,4.0,1,0,1.818809986114502
27,2.0,-1,1,1.8231658935546875
28,2.0,1,1,1.8690860271453857
29,1.0,-1,1,1.8362460136413574
30,0.5,1,0,1.8773658275604248
31,0.5,-1,1,1.9022719860076904
32,4.0,1,1,1.799894094467163
33,1.0,-1,1,1.8198761940002441
34,2.0,1,1,1.8222498893737793
35,1.0,-1,0,1.802018642425537
36,0.5,1,0,1.8642711639404297
37,1.0,-1,0,1.7995150089263916
38,0.5,1,0,1.819793939590454
39,2.0,-1,1,1.8244690895080566
40,1.0,1,0,1.893723964691162
41,1.0,-1,1,1.7996442317962646
42,0.5,1,0,1.844398021697998
43,1.0,1,0,1.8920562267303467
44,4.0,-1,1,1.9022419452667236
45,0.5,1,0,1.868800163269043
46,1.0,-1,1,1.8080530166625977
47,4.0,1,1,1.8925347328186035
48,1.0,1,0,1.8642418384552002
49,2.0,1,0,1.8643519878387451
50,4.0,-1,1,1.8315010070800781
51,0.5,1,0,1.8404967784881592
52,0.5,-1,1,1.9023821353912354
53,0.5,1,0,1.8627581596374512
54,4.0,1,0,1.8783459663391113
55,4.0,-1,1,1.8711519241333008
56,2.0,1,0,1.8721349239349365
57,2.0,-1,1,1.8107268810272217
58,0.5,1,0,1.8633670806884766
59,0.5,1,0,1.898164987564087
60,2.0,1,0,1.8484432697296143
61,2.0,-1,1,1.8927488327026367
62,0.5,1,0,1.8372128009796143
63,2.0,1,0,1.8602230548858643
64,1.0,-1,1,1.8447270393371582
65,2.0,-1,1,1.831592082977295
66,1.0,1,0,1.8465700149536133
67,1.0,1,0,1.816058874130249
68,0.5,1,1,1.9020490646362305
69,2.0,1,1,1.8565869331359863
70,1.0,-1,1,1.832226037979126
71,0.5,1,0,1.8396308422088623
72,2.0,1,0,1.8442778587341309
73,4.0,1,1,1.8367538452148438
74,1.0,-1,0,1.8638789653778076
75,0.5,-1,1,1.8503050804138184
76,4.0,1,0,1.8624579906463623
77,0.5,1,0,1.8594141006469727
78,4.0,1,1,1.8720569610595703
79,4.0,-1,1,1.8951690196990967
80,1.0,-1,1,1.855198860168457
81,4.0,1,1,1.8000531196594238
82,2.0,-1,0,1.865206003189087
83,1.0,-1,1,1.8477559089660645
84,1.0,-1,0,1.8121647834777832
85,1.0,-1,0,1.8852639198303223
86,0.5,-1,0,1.831723928451538
87,4.0,-1,1,1.8319909572601318
88,0.5,-1,0,1.8636901378631592
89,0.5,1,0,1.8768608570098877
90,1.0,-1,1,1.8081028461456299
91,4.0,-1,1,1.8431828022003174
92,2.0,-1,1,1.8370802402496338
93,0.5,-1,1,1.8597970008850098
94,4.0,-1,1,1.902066946029663
95,4.0,-1,1,1.9020969867706299
96,2.0,-1,1,1.8529958724975586
97,4.0,-1,1,1.8558449745178223
98,4.0,1,1,1.9023149013519287
99,0.5,1,0,1.8285250663757324
100,4.0,-1,1,1.807854175567627
101,1.0,1,0,1.90134596824646
102,2.0,-1,1,1.8766601085662842
103,4.0,1,1,1.8192648887634277
104,0.5,1,0,1.8586421012878418
105,4.0,-1,1,1.80836820602417
106,2.0,1,0,1.8770859241485596
107,0.5,-1,1,1.8497140407562256
108,2.0,1,0,1.804460048675537
109,1.0,-1,0,1.8723962306976318
110,2.0,1,0,1.8556489944458008
111,4.0,1,0,1.9018239974975586
112,2.0,1,1,1.8258190155029297
113,4.0,-1,1,1.8813269138336182
114,0.5,1,0,1.8325691223144531
115,4.0,-1,1,1.8818328380584717
116,4.0,1,1,1.8082549571990967
117,2.0,-1,1,1.847179889678955
118,1.0,1,1,1.9022929668426514
119,0.5,1,0,1.886937141418457
120,2.0,-1,1,1.842777967453003
121,2.0,-1,1,1.858464002609253
122,1.0,-1,1,1.8556320667266846
123,1.0,1,1,1.8143179416656494
124,1.0,-1,1,1.870154857635498
125,0.5,1,0,1.8955731391906738
126,1.0,-1,1,1.8218297958374023
127,2.0,1,0,1.8765807151794434
128,1.0,-1,1,1.8356249332427979
129,2.0,1,0,1.8563807010650635
130,2.0,1,0,1.8317492008209229
131,1.0,1,0,1.855837106704712
132,2.0,-1,1,1.8317937850952148
133,4.0,-1,1,1.8439700603485107
134,4.0,-1,1,1.8276827335357666
135,2.0,1,0,1.902134656906128
136,1.0,-1,1,1.853403091430664
137,0.5,-1,1,1.902230978012085
138,0.5,1,0,1.8857557773590088
139,2.0,1,1,1.8528118133544922
140,2.0,1,0,1.8703739643096924
141,2.0,1,0,1.8875370025634766
142,1.0,1,0,1.873871088027954
143,2.0,1,0,1.8170549869537354
144,0.5,1,0,1.868476152420044
145,0.5,-1,1,1.8184781074523926
146,0.5,-1,0,1.8792707920074463
147,2.0,-1,1,1.8718810081481934
148,2.0,-1,1,1.798626184463501
149,0.5,-1,1,1.8057880401611328
150,1.0,-1,1,1.8176541328430176
151,4.0,-1,1,1.8481500148773193
152,1.0,1,0,1.807366132736206
153,4.0,1,1,1.895949125289917
154,0.5,-1,1,1.8929460048675537
155,0.5,-1,1,1.8566961288452148
156,4.0,-1,1,1.8475079536437988
157,2.0,-1,1,1.894909143447876
158,4.0,-1,1,1.8169658184051514
159,4.0,-1,1,1.8440027236938477
160,2.0,1,0,1.835280179977417
