trial,cnd,stimulated_eye,response,trial_times
1,1.0,1,1,1.9021189212799072
2,1.0,-1,1,1.9010791778564453
3,4.0,-1,1,1.7559270858764648
4,0.5,-1,0,1.9020600318908691
5,4.0,1,0,1.9020471572875977
6,1.0,1,1,1.901444911956787
7,1.0,-1,1,1.901695966720581
8,4.0,1,1,1.9021320343017578
9,0.5,1,0,1.894881010055542
10,0.5,1,1,1.9022159576416016
11,4.0,-1,1,1.8208270072937012
12,2.0,-1,1,1.9021151065826416
13,2.0,-1,1,1.7929110527038574
14,2.0,1,1,1.9017939567565918
15,4.0,1,1,1.902204990386963
16,1.0,-1,0,1.9020359516143799
17,0.5,-1,0,1.8796560764312744
18,1.0,-1,1,1.9020359516143799
19,2.0,-1,1,1.8221848011016846
20,1.0,1,0,1.8430650234222412
21,0.5,1,1,1.8419830799102783
22,4.0,1,0,1.8534867763519287
23,4.0,1,0,1.8045439720153809
24,2.0,1,1,1.8758950233459473
25,2.0,-1,1,1.8194210529327393
26,4.0,-1,1,1.8138668537139893
27,0.5,1,0,1.9015140533447266
28,4.0,-1,1,1.8124520778656006
29,4.0,-1,1,1.8189852237701416
30,2.0,-1,1,1.8951997756958008
31,2.0,1,0,1.8761868476867676
32,4.0,1,0,1.8958542346954346
33,2.0,1,1,1.8117592334747314
34,4.0,-1,1,1.8717949390411377
35,0.5,-1,0,1.8543789386749268
36,0.5,1,0,1.8143632411956787
37,4.0,1,0,1.871222972869873
38,2.0,1,1,1.8064961433410645
39,4.0,-1,1,1.8087177276611328
40,4.0,-1,1,1.9020709991455078
41,1.0,1,0,1.8500378131866455
42,4.0,-1,1,1.875520944595337
43,4.0,1,1,1.8027141094207764
44,2.0,1,0,1.8526062965393066
45,1.0,1,0,1.8878791332244873
46,1.0,-1,1,1.8550999164581299
47,2.0,-1,0,1.8139889240264893
48,1.0,1,0,1.867244005203247
49,4.0,1,1,1.8024098873138428
50,2.0,1,0,1.8643898963928223
51,1.0,-1,1,1.8937318325042725
52,1.0,1,0,1.8124969005584717
53,0.5,-1,0,1.8755269050598145
54,4.0,-1,0,1.8063507080078125
55,4.0,-1,0,1.8985679149627686
56,1.0,1,0,1.8967678546905518
57,4.0,-1,1,1.8375279903411865
58,4.0,1,0,1.8316588401794434
59,1.0,-1,0,1.8267409801483154
60,1.0,-1,1,1.8456180095672607
61,2.0,-1,1,1.8479759693145752
62,1.0,-1,0,1.9012398719787598
63,0.5,1,0,1.8224897384643555
64,2.0,-1,1,1.8311688899993896
65,0.5,1,0,1.8644180297851562
66,0.5,1,1,1.8524620532989502
67,2.0,1,1,1.8968298435211182
68,0.5,1,0,1.870445966720581
