trial,cnd,stimulated_eye,response,trial_times
1,0.5,1,0,1.9022300243377686
2,0.5,1,1,1.8909478187561035
3,1.0,-1,0,1.808467149734497
4,4.0,1,0,1.8689441680908203
5,4.0,-1,0,1.8607916831970215
6,0.5,-1,1,1.7574877738952637
7,4.0,1,0,1.8682098388671875
8,2.0,-1,1,1.8318111896514893
9,1.0,-1,1,1.8036837577819824
10,0.5,-1,1,1.8762719631195068
11,0.5,-1,1,1.831385850906372
12,4.0,-1,1,1.8125572204589844
13,0.5,1,1,1.736739158630371
14,4.0,-1,0,1.8034310340881348
15,2.0,1,0,1.7994062900543213
16,2.0,-1,0,1.8865609169006348
17,1.0,1,0,1.8960702419281006
18,2.0,-1,0,1.8123130798339844
19,1.0,1,0,1.8610522747039795
20,4.0,1,0,1.8267910480499268
21,0.5,1,0,1.8794081211090088
22,2.0,1,0,1.8693530559539795
23,1.0,1,0,1.822685956954956
24,0.5,1,0,1.8906886577606201
25,4.0,-1,1,1.8742780685424805
26,1.0,1,1,1.9022698402404785
27,0.5,-1,1,1.7053580284118652
28,0.5,-1,1,1.8967628479003906
29,1.0,1,0,1.884657859802246
30,2.0,1,0,1.815690279006958
31,0.5,1,1,1.8045029640197754
32,1.0,-1,1,1.8120741844177246
33,1.0,1,0,1.8201208114624023
34,4.0,-1,0,1.839831829071045
35,1.0,-1,0,1.9022331237792969
36,0.5,1,0,1.819019079208374
37,2.0,-1,0,1.8893060684204102
38,4.0,-1,0,1.7938780784606934
39,2.0,-1,0,1.747204065322876
40,0.5,1,1,1.8643467426300049
41,4.0,1,0,1.8967580795288086
42,1.0,1,0,1.831139087677002
43,2.0,1,0,1.8654959201812744
44,1.0,-1,1,1.872756004333496
45,1.0,-1,1,1.8928871154785156
46,4.0,1,1,1.901535987854004
47,0.5,1,0,1.8408639430999756
48,1.0,-1,1,1.8390350341796875
49,1.0,1,0,1.8367080688476562
50,0.5,1,1,1.8963797092437744
51,4.0,1,1,1.8608450889587402
52,4.0,-1,0,1.8402230739593506
53,1.0,1,0,1.8723509311676025
54,0.5,1,1,1.893244981765747
55,2.0,-1,1,1.8768689632415771
56,0.5,1,0,1.8896822929382324
57,2.0,1,0,1.8693299293518066
58,2.0,-1,0,1.9020540714263916
59,1.0,-1,0,1.7782998085021973
60,0.5,-1,1,1.881551742553711
61,4.0,-1,0,1.9021742343902588
62,4.0,1,0,1.8851711750030518
63,1.0,1,0,1.8076629638671875
64,0.5,1,0,1.874396800994873
65,2.0,1,0,1.831524133682251
66,4.0,1,1,1.876612663269043
67,2.0,-1,0,1.8515081405639648
68,4.0,1,0,1.8195970058441162
69,4.0,1,0,1.880122184753418
70,1.0,1,0,1.8232290744781494
71,0.5,1,0,1.8762619495391846
72,1.0,1,0,1.8443901538848877
73,2.0,1,0,1.8359148502349854
74,1.0,1,0,1.8840761184692383
75,4.0,1,1,1.8310468196868896
76,1.0,-1,1,1.8037981986999512
77,4.0,1,1,1.8307709693908691
78,2.0,-1,0,1.862928867340088
79,2.0,-1,1,1.8032948970794678
80,1.0,-1,0,1.862555980682373
81,2.0,1,0,1.8473668098449707
82,1.0,1,0,1.8238108158111572
83,0.5,-1,1,1.8611388206481934
84,2.0,1,0,1.8764879703521729
85,4.0,-1,0,1.8028678894042969
86,0.5,-1,1,1.8822381496429443
87,2.0,-1,1,1.8854126930236816
88,1.0,-1,0,1.8803529739379883
89,4.0,-1,0,1.8531198501586914
90,2.0,1,0,1.8161802291870117
91,0.5,1,0,1.8627910614013672
92,4.0,1,1,1.8965167999267578
93,1.0,1,1,1.9020600318908691
94,0.5,1,0,1.8610286712646484
95,4.0,-1,0,1.8928358554840088
96,1.0,1,0,1.8479900360107422
97,1.0,1,0,1.8241610527038574
98,1.0,-1,0,1.8918137550354004
99,1.0,1,0,1.813033103942871
100,0.5,-1,1,1.7741589546203613
101,4.0,1,0,1.884239912033081
102,1.0,1,1,1.8467540740966797
103,0.5,1,1,1.902083158493042
104,1.0,-1,1,1.8590991497039795
105,0.5,-1,1,1.8739001750946045
106,1.0,1,1,1.811851978302002
107,2.0,1,1,1.8254640102386475
108,0.5,-1,1,1.807065725326538
109,2.0,1,1,1.8607869148254395
110,4.0,-1,0,1.806852102279663
111,0.5,-1,1,1.8952510356903076
112,4.0,-1,0,1.8562889099121094
113,1.0,1,0,1.8960707187652588
114,2.0,-1,0,1.8229801654815674
115,0.5,1,0,1.8315699100494385
116,0.5,1,1,1.807318925857544
117,4.0,1,0,1.8276360034942627
118,0.5,-1,0,1.8414950370788574
119,4.0,-1,1,1.8386728763580322
120,2.0,-1,0,1.8024413585662842
121,2.0,-1,0,1.8688080310821533
122,4.0,-1,0,1.8158597946166992
123,2.0,1,0,1.8941659927368164
124,0.5,1,1,1.8937299251556396
125,2.0,-1,0,1.8391590118408203
126,4.0,-1,0,1.8604238033294678
127,0.5,1,1,1.9021501541137695
128,0.5,-1,0,1.879098892211914
129,1.0,1,1,1.8354911804199219
130,2.0,1,0,1.8272860050201416
131,4.0,1,1,1.8889899253845215
132,2.0,-1,0,1.8635470867156982
133,2.0,-1,1,1.8909170627593994
134,4.0,1,0,1.8100950717926025
135,0.5,-1,1,1.8102989196777344
136,4.0,-1,0,1.8505339622497559
137,1.0,-1,0,1.8531827926635742
138,2.0,1,1,1.837299108505249
139,2.0,-1,0,1.8149151802062988
140,4.0,-1,1,1.8845727443695068
141,2.0,-1,0,1.7034659385681152
142,4.0,1,1,1.859494924545288
143,2.0,-1,0,1.8559200763702393
144,1.0,-1,0,1.891690969467163
145,1.0,1,0,1.8223049640655518
146,2.0,1,0,1.9012351036071777
147,4.0,-1,1,1.8020203113555908
148,0.5,1,0,1.883744716644287
149,4.0,1,1,1.8526020050048828
150,0.5,1,1,1.9022300243377686
151,0.5,-1,1,1.8474998474121094
152,4.0,-1,0,1.901637077331543
153,2.0,1,0,1.8532922267913818
154,1.0,1,0,1.8527469635009766
155,2.0,-1,1,1.8349981307983398
156,1.0,1,0,1.8072428703308105
157,2.0,-1,1,1.8719019889831543
158,4.0,-1,1,1.8638920783996582
159,0.5,-1,1,1.8473169803619385
160,2.0,1,0,1.9021382331848145
