trial,cnd,stimulated_eye,response,trial_times
1,4.0,-1,1,1.9022810459136963
2,4.0,1,1,1.9014930725097656
3,2.0,-1,1,1.8151979446411133
4,2.0,1,1,1.8069980144500732
5,4.0,1,1,1.9020040035247803
6,0.5,-1,1,1.8960740566253662
7,1.0,1,1,1.9020178318023682
8,4.0,1,1,1.9021267890930176
9,4.0,-1,1,1.9021098613739014
10,0.5,-1,1,1.9010930061340332
11,2.0,1,1,1.9014272689819336
12,1.0,1,1,1.7572920322418213
13,2.0,-1,1,1.875788927078247
14,0.5,1,1,1.8281660079956055
15,1.0,-1,1,1.8124029636383057
16,4.0,1,1,1.9021477699279785
17,4.0,-1,1,1.8313288688659668
18,4.0,1,1,1.7521519660949707
19,0.5,1,1,1.7534759044647217
20,0.5,-1,1,1.727637767791748
21,4.0,-1,1,1.7828829288482666
22,2.0,1,1,1.777595043182373
23,2.0,1,1,1.8316574096679688
24,1.0,1,1,1.8521270751953125
25,0.5,-1,1,1.7989718914031982
26,1.0,1,1,1.812211036682129
27,2.0,1,1,1.8112702369689941
28,4.0,1,1,1.7490460872650146
29,2.0,1,1,1.9021401405334473
30,4.0,1,1,1.902036190032959
31,4.0,-1,1,1.9020607471466064
32,1.0,1,1,1.7033042907714844
33,2.0,-1,1,1.750443696975708
34,4.0,-1,1,1.9014408588409424
35,0.5,-1,1,1.8631842136383057
36,0.5,1,1,1.7687251567840576
37,4.0,-1,1,1.9011940956115723
38,1.0,-1,1,1.9020209312438965
39,2.0,-1,1,1.7504887580871582
40,1.0,-1,1,1.9020500183105469
41,1.0,1,1,1.902034044265747
42,1.0,1,1,1.9020519256591797
43,0.5,1,1,1.90205979347229
44,2.0,1,1,1.9020941257476807
45,4.0,-1,1,1.8467869758605957
46,0.5,1,1,1.902068853378296
47,1.0,-1,1,1.901352882385254
48,2.0,-1,1,1.9012622833251953
49,1.0,1,1,1.8068170547485352
50,4.0,1,1,1.847606897354126
51,2.0,-1,1,1.9020750522613525
52,1.0,-1,1,1.83613920211792
53,0.5,-1,1,1.9022631645202637
54,0.5,1,1,1.8289759159088135
55,4.0,-1,1,1.8446688652038574
56,2.0,1,1,1.8922481536865234
57,1.0,1,1,1.7462520599365234
58,0.5,1,1,1.7932391166687012
59,0.5,1,1,1.8715760707855225
60,2.0,-1,1,1.8066837787628174
61,4.0,1,1,1.8131258487701416
62,4.0,1,1,1.896270990371704
