trial,cnd,stimulated_eye,response,trial_times
1,1.0,-1,1,1.902095079421997
2,1.0,-1,1,1.835906982421875
3,0.5,-1,1,1.875520944595337
4,1.0,-1,0,1.8134739398956299
5,2.0,-1,1,1.8453288078308105
6,0.5,-1,1,1.8866770267486572
7,0.5,-1,1,1.8710370063781738
8,4.0,-1,1,1.8045079708099365
9,2.0,1,1,1.8743360042572021
10,1.0,1,0,1.8309028148651123
11,1.0,1,1,1.858809232711792
12,0.5,1,0,1.8899531364440918
13,0.5,1,0,1.8843128681182861
14,1.0,-1,1,1.8810389041900635
15,0.5,-1,0,1.8843157291412354
16,4.0,1,1,1.8214871883392334
17,0.5,-1,1,1.852694034576416
18,2.0,-1,1,1.8072068691253662
19,2.0,1,1,1.892491102218628
20,2.0,1,1,1.8147940635681152
21,1.0,-1,1,1.8962209224700928
22,1.0,-1,0,1.8793420791625977
23,1.0,1,0,1.89143705368042
24,1.0,1,1,1.8950557708740234
25,1.0,1,1,1.8769347667694092
26,2.0,1,1,1.8770742416381836
27,2.0,-1,1,1.8868889808654785
28,4.0,-1,1,1.8366849422454834
29,4.0,-1,1,1.8438570499420166
30,2.0,1,1,1.8080902099609375
31,0.5,-1,1,1.8125848770141602
32,4.0,1,1,1.8401730060577393
33,2.0,1,1,1.8584082126617432
34,1.0,1,0,1.8839330673217773
35,2.0,-1,1,1.8403239250183105
36,2.0,1,1,1.876840353012085
37,4.0,-1,0,1.8629319667816162
38,2.0,-1,1,1.8067777156829834
39,4.0,1,1,1.8086862564086914
40,4.0,1,1,1.8164010047912598
41,4.0,1,1,1.83132004737854
42,4.0,-1,1,1.8571720123291016
43,0.5,1,1,1.8063461780548096
44,1.0,1,1,1.8080058097839355
45,4.0,-1,1,1.8935332298278809
46,0.5,-1,0,1.8466508388519287
47,0.5,1,0,1.8871228694915771
48,0.5,-1,1,1.803196907043457
49,2.0,-1,0,1.86114501953125
50,1.0,1,1,1.8720619678497314
51,0.5,-1,1,1.8315231800079346
52,1.0,1,0,1.8710980415344238
53,4.0,1,1,1.8837370872497559
