trial,cnd,stimulated_eye,response,trial_times
1,0.5,1,0,1.902174949645996
2,2.0,-1,1,1.8372697830200195
3,4.0,-1,1,1.8420839309692383
4,2.0,1,0,1.8817598819732666
5,4.0,-1,1,1.8922498226165771
6,1.0,-1,1,1.8961632251739502
7,2.0,-1,0,1.816211223602295
8,1.0,1,0,1.8397610187530518
9,0.5,1,0,1.843672752380371
10,4.0,1,0,1.8081490993499756
11,2.0,1,0,1.880030870437622
12,2.0,1,1,1.8594729900360107
13,1.0,-1,0,1.844313144683838
14,0.5,1,0,1.8514738082885742
15,0.5,1,0,1.8474979400634766
16,4.0,-1,1,1.8371100425720215
17,0.5,-1,1,1.8614001274108887
18,0.5,1,0,1.8156578540802002
19,2.0,-1,1,1.8431859016418457
20,1.0,1,1,1.838120937347412
21,2.0,1,0,1.8431692123413086
22,4.0,1,0,1.8214380741119385
23,0.5,1,0,1.8440649509429932
24,2.0,-1,1,1.8634250164031982
25,1.0,1,0,1.8722753524780273
26,2.0,-1,0,1.868380069732666
27,4.0,-1,1,1.8602240085601807
28,4.0,1,1,1.844329833984375
29,2.0,-1,1,1.8717942237854004
30,1.0,1,0,1.8373570442199707
31,1.0,1,0,1.8553030490875244
32,0.5,-1,0,1.7769761085510254
33,1.0,-1,0,1.8532280921936035
34,1.0,1,1,1.901747226715088
35,1.0,1,0,1.7998631000518799
36,1.0,1,0,1.895982265472412
37,4.0,-1,1,1.8517837524414062
38,4.0,-1,0,1.8407506942749023
39,1.0,1,0,1.8514068126678467
40,2.0,-1,1,1.8081400394439697
41,2.0,-1,1,1.7995421886444092
42,2.0,-1,0,1.8720672130584717
43,2.0,-1,1,1.8846023082733154
44,0.5,-1,1,1.8436601161956787
45,4.0,1,0,1.8545331954956055
46,1.0,-1,0,1.8764927387237549
47,2.0,1,0,1.8375458717346191
48,2.0,-1,1,1.8561418056488037
49,0.5,1,0,1.8677289485931396
50,0.5,1,0,1.8776309490203857
51,1.0,1,1,1.8074350357055664
52,2.0,-1,0,1.8605120182037354
53,1.0,-1,1,1.8610420227050781
54,1.0,-1,1,1.8391649723052979
55,2.0,1,0,1.8450300693511963
56,0.5,-1,1,1.8933510780334473
57,4.0,-1,1,1.8146491050720215
58,0.5,1,0,1.860107183456421
59,1.0,-1,0,1.8763720989227295
60,2.0,-1,1,1.843177080154419
61,0.5,-1,1,1.8556709289550781
62,4.0,1,0,1.845067024230957
63,2.0,-1,1,1.8282008171081543
64,1.0,-1,0,1.8399238586425781
65,4.0,1,0,1.7386088371276855
66,0.5,-1,1,1.8000798225402832
67,0.5,-1,0,1.8911638259887695
68,1.0,1,0,1.8685808181762695
69,2.0,1,0,1.8034741878509521
70,1.0,1,0,1.879991054534912
71,2.0,-1,1,1.8367400169372559
72,2.0,1,0,1.8440139293670654
73,1.0,1,0,1.8832688331604004
74,4.0,-1,1,1.844933271408081
75,4.0,-1,0,1.840008020401001
76,4.0,1,0,1.8081488609313965
77,1.0,-1,0,1.8281760215759277
78,4.0,1,1,1.82597017288208
79,0.5,-1,1,1.8639411926269531
80,1.0,1,1,1.8682849407196045
81,4.0,1,0,1.8206188678741455
82,4.0,-1,1,1.8237419128417969
83,2.0,1,0,1.8842530250549316
84,2.0,1,0,1.8637821674346924
85,4.0,1,0,1.8620080947875977
86,4.0,1,0,1.8209867477416992
87,2.0,-1,1,1.893078088760376
88,2.0,-1,0,1.801466941833496
89,0.5,-1,1,1.8525350093841553
90,4.0,1,1,1.8394570350646973
91,0.5,-1,0,1.8281149864196777
92,1.0,1,1,1.812497854232788
93,1.0,-1,0,1.7997040748596191
94,0.5,1,0,1.8032009601593018
95,0.5,1,0,1.8959696292877197
96,1.0,1,0,1.8522400856018066
97,4.0,1,0,1.8600058555603027
98,1.0,1,0,1.800445795059204
99,2.0,1,0,1.8908610343933105
100,4.0,-1,1,1.8112130165100098
101,4.0,-1,0,1.901820182800293
102,4.0,-1,1,1.8849549293518066
103,0.5,-1,0,1.8958001136779785
104,4.0,-1,1,1.854938268661499
105,1.0,-1,0,1.896716833114624
106,4.0,1,0,1.8284521102905273
107,0.5,-1,0,1.8283917903900146
108,1.0,1,0,1.8052968978881836
109,0.5,-1,0,1.890207052230835
110,1.0,1,1,1.8840429782867432
111,4.0,-1,1,1.8274331092834473
112,1.0,-1,0,1.860591173171997
113,0.5,1,0,1.8771030902862549
114,0.5,-1,0,1.828359842300415
115,2.0,1,0,1.828639030456543
116,2.0,-1,1,1.8492748737335205
117,0.5,-1,1,1.8240094184875488
118,2.0,-1,0,1.893061876296997
119,0.5,1,1,1.8124210834503174
120,0.5,1,0,1.8811700344085693
121,2.0,1,0,1.8237099647521973
122,0.5,1,0,1.8712611198425293
123,1.0,1,0,1.8857600688934326
124,1.0,1,0,1.8535370826721191
125,0.5,-1,1,1.8362221717834473
126,0.5,-1,0,1.8315680027008057
127,4.0,-1,0,1.835737943649292
128,0.5,1,1,1.839832067489624
129,0.5,1,1,1.8206019401550293
130,4.0,1,0,1.8606071472167969
131,2.0,1,0,1.8955159187316895
