trial,cnd,eccentricity,test_eye,response,trial_times
1,1,2,-1,1,1.9023869037628174
2,2,1,1,1,1.729205846786499
3,1,1,-1,0,1.8822567462921143
4,2,2,1,0,1.8709919452667236
5,1,1,-1,1,1.888913869857788
6,1,2,1,0,1.8258299827575684
7,1,1,1,0,1.8150007724761963
8,1,1,1,1,1.9021236896514893
9,2,2,-1,1,1.8541591167449951
10,1,2,1,0,1.8123528957366943
11,1,1,-1,0,1.8799052238464355
12,1,2,-1,0,1.8729832172393799
13,1,1,-1,1,1.7604470252990723
14,1,1,-1,1,1.8048100471496582
15,1,2,1,0,1.816605806350708
16,1,2,1,0,1.8429739475250244
17,2,2,-1,0,1.8505489826202393
18,1,2,-1,0,1.8338499069213867
19,2,2,1,1,1.8333642482757568
20,1,2,-1,0,1.815567970275879
21,2,2,1,1,1.90201997756958
22,2,1,1,1,1.8360908031463623
23,1,2,1,0,1.875391960144043
24,1,2,1,1,1.8970417976379395
25,2,1,-1,1,1.8513479232788086
26,1,1,1,1,1.8655717372894287
27,1,1,1,0,1.8757331371307373
28,2,1,1,1,1.810760259628296
29,1,2,-1,1,1.849635124206543
30,1,2,-1,0,1.8739991188049316
31,2,1,1,1,1.8205630779266357
32,1,2,1,0,1.8061654567718506
33,1,2,-1,0,1.891118049621582
34,2,1,-1,1,1.8438379764556885
35,2,2,1,1,1.8353800773620605
36,1,2,-1,0,1.8512508869171143
37,2,2,1,1,1.902174949645996
38,1,2,-1,0,1.8568360805511475
39,1,1,1,0,1.8365638256072998
40,1,2,-1,1,1.843440055847168
41,1,1,1,1,1.8889679908752441
42,1,2,-1,1,1.830414056777954
43,1,1,1,0,1.805521011352539
44,2,1,1,1,1.802799940109253
45,1,2,1,0,1.902087926864624
46,2,1,-1,1,1.8425137996673584
47,1,2,-1,0,1.9016399383544922
48,1,2,-1,1,1.8364667892456055
49,1,2,1,0,1.8432600498199463
50,2,1,1,1,1.9020500183105469
51,1,1,-1,1,1.8137729167938232
52,2,2,-1,1,1.8018851280212402
53,2,2,1,1,1.8565750122070312
54,2,2,1,0,1.804434061050415
55,1,2,-1,0,1.8729820251464844
56,2,2,1,0,1.8124661445617676
57,2,2,-1,1,1.804459571838379
58,2,2,-1,0,1.8364231586456299
59,1,1,1,1,1.820361852645874
60,2,2,-1,1,1.8142328262329102
61,2,2,-1,0,1.8042223453521729
62,1,1,1,1,1.8599650859832764
63,2,1,-1,1,1.8231709003448486
64,2,2,1,0,1.808095932006836
65,2,2,1,0,1.803694725036621
66,1,1,1,0,1.8287482261657715
67,1,1,1,0,1.8228297233581543
68,2,1,-1,1,1.8203041553497314
69,2,1,-1,1,1.8958358764648438
70,1,2,-1,0,1.8895118236541748
71,1,1,-1,1,1.8111331462860107
72,2,1,1,0,1.8114709854125977
73,1,1,-1,1,1.8052191734313965
74,2,1,1,0,1.8965742588043213
75,1,1,-1,0,1.896658182144165
76,2,2,1,0,1.846376895904541
77,1,2,1,0,1.8644561767578125
78,2,1,1,1,1.8363549709320068
79,2,2,1,0,1.8118007183074951
80,2,1,1,0,1.8072199821472168
81,1,1,-1,1,1.8427462577819824
82,1,1,-1,1,1.8968000411987305
83,2,2,-1,1,1.836521863937378
84,1,2,1,0,1.8927061557769775
85,1,1,-1,0,1.8150267601013184
86,1,2,1,1,1.843125820159912
87,2,1,1,0,1.8546130657196045
88,2,1,-1,1,1.8213598728179932
89,2,1,-1,1,1.9015989303588867
90,2,1,-1,1,1.8360371589660645
91,1,1,1,0,1.8688912391662598
92,1,1,1,0,1.848510980606079
93,1,1,-1,1,1.8683900833129883
94,2,1,-1,1,1.8166091442108154
95,2,2,-1,1,1.8131420612335205
96,2,2,1,0,1.8963370323181152
97,1,2,-1,1,1.8876218795776367
98,2,1,-1,1,1.8221049308776855
99,1,2,1,0,1.8836500644683838
100,2,2,-1,1,1.8149359226226807
101,1,2,1,0,1.8129229545593262
102,1,2,1,0,1.8831841945648193
103,1,2,-1,1,1.8380558490753174
104,2,1,-1,1,1.8641307353973389
105,2,2,-1,0,1.8578078746795654
106,2,1,-1,1,1.8226451873779297
107,2,1,-1,1,1.8659100532531738
108,1,1,1,0,1.8040900230407715
109,1,1,1,0,1.8955490589141846
110,1,1,1,0,1.8888330459594727
111,2,1,1,0,1.8943920135498047
112,2,1,1,0,1.8371012210845947
113,2,2,1,1,1.8145670890808105
114,1,1,-1,0,1.9021260738372803
115,2,1,1,0,1.8158740997314453
116,2,2,-1,0,1.8864068984985352
117,1,2,1,0,1.8864741325378418
118,1,1,-1,1,1.8907241821289062
119,1,1,-1,0,1.8823421001434326
120,2,2,1,0,1.8365161418914795
121,2,2,-1,1,1.8277828693389893
122,2,1,1,0,1.8715319633483887
123,2,2,-1,0,1.891585111618042
124,2,1,1,0,1.884091854095459
125,2,2,-1,0,1.83976411819458
126,1,1,1,0,1.8447198867797852
