trial,cnd,eccentricity,test_eye,response,trial_times
1,1,1,-1,0,1.9013340473175049
2,2,2,1,0,1.9020318984985352
3,1,1,-1,0,1.902294635772705
4,1,1,1,0,1.9021382331848145
5,2,1,-1,1,1.901216983795166
6,1,2,-1,0,1.9020640850067139
7,2,2,1,0,1.9021522998809814
8,1,1,1,1,1.9020788669586182
9,2,2,-1,0,1.9017210006713867
10,2,2,1,0,1.9022269248962402
11,1,2,1,0,1.9020898342132568
12,2,2,1,0,1.9020678997039795
13,2,1,1,1,1.9020726680755615
14,1,1,-1,1,1.703226089477539
15,1,2,-1,0,1.9017860889434814
16,2,1,1,1,1.901205062866211
17,1,2,-1,0,1.9020650386810303
18,1,2,-1,1,1.901879072189331
19,2,2,-1,1,1.9021928310394287
20,2,2,1,0,1.9021070003509521
21,1,1,-1,0,1.902048110961914
22,1,1,1,0,1.7582628726959229
23,1,1,-1,0,1.9021611213684082
24,2,2,-1,0,1.803389310836792
25,1,1,1,0,1.8137121200561523
26,2,1,-1,1,1.9023051261901855
27,1,1,1,0,1.9020230770111084
28,2,2,-1,0,1.7109386920928955
29,2,2,1,0,1.7604870796203613
30,2,1,-1,1,1.8215270042419434
31,2,2,1,1,1.9013030529022217
32,2,1,1,1,1.7304308414459229
33,2,1,-1,1,1.8478469848632812
34,2,1,-1,1,1.7497930526733398
35,1,2,-1,0,1.902122974395752
36,2,2,1,0,1.9012999534606934
37,2,1,-1,1,1.756481647491455
38,2,2,-1,1,1.7397708892822266
39,1,2,-1,1,1.8003828525543213
40,1,2,1,0,1.8946397304534912
41,1,2,1,0,1.8468520641326904
42,1,1,1,0,1.8388948440551758
43,1,2,-1,1,1.9011509418487549
44,2,1,-1,1,1.9019851684570312
45,2,1,-1,1,1.8465309143066406
46,1,2,-1,1,1.9021148681640625
47,2,2,1,0,1.9015181064605713
48,2,2,-1,0,1.7427411079406738
49,2,1,1,1,1.9020678997039795
50,2,1,-1,1,1.902116060256958
51,1,2,1,1,1.9021198749542236
52,1,1,1,0,1.743056058883667
53,2,2,1,0,1.9015417098999023
54,2,2,-1,1,1.8547348976135254
55,2,1,1,1,1.801576852798462
56,1,1,-1,0,1.734079122543335
57,1,2,-1,1,1.8290529251098633
58,1,1,1,0,1.7262377738952637
59,2,2,-1,1,1.9012877941131592
60,1,2,1,0,1.9020509719848633
61,1,2,1,0,1.7177379131317139
62,1,2,-1,0,1.7671821117401123
63,1,1,1,1,1.7285242080688477
64,1,1,-1,1,1.8612861633300781
65,2,2,1,0,1.8144867420196533
66,1,2,1,0,1.7302100658416748
67,2,1,1,1,1.9021339416503906
68,1,1,-1,0,1.901177167892456
69,1,1,-1,0,1.8784310817718506
70,2,2,-1,0,1.8230819702148438
71,1,1,-1,1,1.8387830257415771
72,2,1,1,1,1.7622168064117432
73,2,1,-1,1,1.7375521659851074
74,1,2,-1,0,1.901136875152588
75,1,2,1,1,1.726255178451538
76,2,1,1,1,1.8622462749481201
77,2,2,-1,1,1.9012773036956787
78,2,2,-1,1,1.7305569648742676
79,1,1,-1,0,1.7826590538024902
80,1,1,-1,0,1.7818589210510254
81,2,2,1,0,1.7170360088348389
82,1,2,-1,0,1.7704896926879883
83,2,1,1,0,1.9020330905914307
84,2,1,-1,1,1.7758007049560547
85,1,1,1,0,1.9014511108398438
86,1,1,1,0,1.7111899852752686
87,2,1,-1,1,1.7444078922271729
88,2,1,-1,0,1.8145081996917725
89,1,1,1,0,1.9021079540252686
90,1,2,1,0,1.9020662307739258
91,2,2,-1,0,1.7279160022735596
92,2,1,1,0,1.8701190948486328
93,1,1,-1,0,1.846283197402954
94,2,2,1,0,1.7348318099975586
95,1,1,-1,0,1.750694990158081
96,2,1,1,0,1.8285140991210938
97,1,2,1,0,1.8416249752044678
98,1,1,1,0,1.9020698070526123
99,2,2,-1,1,1.761230230331421
100,1,2,1,0,1.7736611366271973
101,2,2,-1,1,1.8154480457305908
102,1,2,1,0,1.835170030593872
103,1,1,-1,1,1.824742317199707
104,2,1,-1,1,1.801711082458496
105,2,2,1,0,1.8293890953063965
106,2,2,-1,0,1.7817778587341309
107,2,2,-1,0,1.8759260177612305
108,1,1,-1,1,1.856656789779663
109,2,1,-1,1,1.7849090099334717
110,2,1,-1,1,1.9020211696624756
111,1,2,1,1,1.8592431545257568
112,1,2,-1,0,1.8939588069915771
113,1,1,1,0,1.8230290412902832
114,2,1,1,0,1.8106157779693604
115,2,2,-1,1,1.8314402103424072
116,1,1,1,0,1.8314881324768066
117,2,1,1,1,1.8010659217834473
118,1,2,1,0,1.8281798362731934
119,2,2,1,0,1.862901210784912
