trial,cnd,eccentricity,test_eye,response,trial_times
1,2,1,1,0,1.9020302295684814
2,1,1,-1,0,1.9020099639892578
3,2,2,1,0,1.901623249053955
4,1,1,-1,0,1.90199875831604
5,1,2,1,0,1.902095079421997
6,2,2,1,1,1.9017598628997803
7,2,1,-1,1,1.9013478755950928
8,2,1,-1,1,1.9018690586090088
9,1,1,-1,0,1.9020729064941406
10,2,1,-1,1,1.9016051292419434
11,1,1,1,0,1.9021739959716797
12,1,2,1,0,1.9020819664001465
13,2,1,-1,1,1.9022259712219238
14,1,1,-1,1,1.9020543098449707
15,2,2,1,0,1.902202844619751
16,2,1,1,1,1.9018549919128418
17,1,2,1,0,1.901979923248291
18,2,1,-1,1,1.9021451473236084
19,2,2,1,0,1.9020397663116455
20,2,2,-1,1,1.9020740985870361
21,1,2,-1,1,1.9015002250671387
22,1,1,-1,0,1.902033805847168
23,1,2,-1,0,1.9022729396820068
24,2,2,-1,1,1.902094841003418
25,2,1,1,1,1.9020390510559082
26,1,2,-1,1,1.9020190238952637
27,2,1,1,1,1.901911973953247
28,1,2,-1,1,1.9013779163360596
29,2,1,-1,1,1.901993989944458
30,1,2,-1,0,1.9020419120788574
31,1,2,-1,0,1.9019958972930908
32,2,2,-1,1,1.9022331237792969
33,2,2,1,1,1.9016752243041992
34,2,2,1,1,1.9019770622253418
35,1,1,1,0,1.902113914489746
36,1,2,1,1,1.9021499156951904
37,2,2,1,1,1.9021611213684082
38,1,2,1,0,1.902095079421997
39,1,2,1,0,1.9021680355072021
40,2,2,-1,1,1.9010560512542725
41,2,1,1,1,1.902113914489746
42,1,1,1,0,1.9016978740692139
43,2,1,-1,1,1.902101993560791
44,1,1,-1,0,1.9020657539367676
45,2,1,-1,1,1.9013268947601318
46,2,2,-1,1,1.9020106792449951
47,1,1,1,0,1.9020419120788574
48,2,1,-1,1,1.9020500183105469
49,2,1,1,0,1.9011991024017334
50,1,2,1,0,1.9020397663116455
51,1,2,1,0,1.9020259380340576
52,2,1,1,1,1.9010999202728271
53,2,1,1,1,1.9020249843597412
54,1,1,-1,1,1.902212142944336
55,2,2,1,1,1.9021129608154297
56,2,1,-1,1,1.9021618366241455
57,2,1,1,1,1.90150785446167
58,2,2,-1,1,1.9016051292419434
59,2,1,-1,1,1.9017820358276367
60,2,2,1,1,1.9020757675170898
61,2,1,-1,1,1.9013218879699707
62,1,1,1,0,1.9021379947662354
63,1,1,-1,1,1.901993989944458
64,1,1,1,0,1.9013679027557373
65,1,1,-1,1,1.9020271301269531
66,1,2,1,1,1.902115821838379
67,1,1,1,0,1.9022488594055176
68,2,1,1,0,1.9020910263061523
69,1,2,1,0,1.9019978046417236
70,1,1,-1,1,1.9014027118682861
71,1,1,1,0,1.9020678997039795
72,2,2,1,1,1.9021079540252686
73,1,1,1,0,1.9020862579345703
74,2,1,1,0,1.9021639823913574
75,1,2,-1,1,1.9020519256591797
76,1,2,-1,1,1.9020447731018066
77,1,1,1,0,1.9013581275939941
78,2,1,1,1,1.9014708995819092
79,2,1,1,0,1.901723861694336
80,2,2,1,0,1.902069091796875
81,2,1,-1,1,1.9020061492919922
82,2,1,-1,1,1.9020771980285645
83,1,2,1,0,1.9021220207214355
84,2,2,1,0,1.9011290073394775
85,1,2,1,0,1.902036428451538
86,1,2,1,0,1.9021530151367188
87,1,1,-1,0,1.9012539386749268
88,2,1,1,1,1.9020390510559082
89,2,1,1,1,1.9020848274230957
90,1,2,-1,0,1.9021377563476562
91,1,2,-1,1,1.9021930694580078
92,1,2,-1,0,1.9022750854492188
93,2,2,-1,1,1.9019849300384521
94,2,2,1,0,1.9022138118743896
95,2,1,-1,1,1.9010539054870605
96,1,2,1,0,1.9021930694580078
97,1,1,1,0,1.9020421504974365
