trial,cnd,eccentricity,test_eye,response,trial_times
1,2,1,-1,1,1.9021189212799072
2,2,2,-1,1,1.9020161628723145
3,2,1,1,1,1.902169942855835
4,2,1,1,1,1.9020450115203857
5,1,2,-1,1,1.9020540714263916
6,2,1,-1,1,1.9021179676055908
7,2,1,-1,1,1.9020740985870361
8,1,1,-1,1,1.9020090103149414
9,2,1,1,1,1.9020850658416748
10,2,1,-1,1,1.9020881652832031
11,1,2,1,1,1.9015979766845703
12,1,2,-1,1,1.9015617370605469
13,1,1,1,0,1.901643991470337
14,1,1,1,0,1.9021739959716797
15,1,1,-1,1,1.9014861583709717
16,1,1,1,0,1.9018278121948242
17,1,2,1,0,1.9020450115203857
18,2,2,1,1,1.901637315750122
19,1,1,1,0,1.9021029472351074
20,2,2,-1,0,1.9011378288269043
21,2,2,1,1,1.9018099308013916
22,1,2,-1,1,1.9020578861236572
23,1,1,1,1,1.9020600318908691
24,2,2,1,1,1.9023702144622803
25,1,2,-1,1,1.9013359546661377
26,1,2,-1,1,1.9022769927978516
27,1,1,-1,1,1.710698127746582
28,1,1,1,0,1.9021000862121582
29,2,2,-1,1,1.9020657539367676
30,2,1,-1,1,1.9021809101104736
31,2,1,-1,1,1.8252432346343994
32,2,1,1,1,1.9021999835968018
33,1,1,-1,1,1.9020967483520508
34,1,1,1,0,1.9010035991668701
35,1,1,1,0,1.7428550720214844
36,1,2,1,0,1.7664361000061035
37,2,1,1,1,1.902029037475586
38,1,1,1,0,1.9016101360321045
39,1,1,-1,1,1.9022471904754639
40,2,1,1,1,1.9021129608154297
41,2,2,-1,1,1.9023339748382568
42,1,1,1,1,1.9020769596099854
43,1,2,1,0,1.9022319316864014
44,2,2,1,1,1.9021501541137695
45,2,2,-1,1,1.9021098613739014
46,2,1,1,1,1.9020359516143799
47,1,2,1,0,1.7115058898925781
48,2,2,1,1,1.902108907699585
49,2,1,-1,1,1.7116491794586182
50,2,1,-1,1,1.9017188549041748
51,1,1,1,0,1.9021060466766357
52,1,2,-1,1,1.7670841217041016
53,1,2,-1,1,1.9021978378295898
54,1,1,-1,1,1.902076244354248
55,1,1,-1,1,1.902054786682129
56,1,2,1,0,1.90169095993042
57,2,2,-1,1,1.901684045791626
58,1,1,1,0,1.9011750221252441
59,2,2,1,1,1.902055025100708
