trial,cnd,eccentricity,test_eye,response,trial_times
1,2,1,-1,0,1.9017770290374756
2,2,1,1,1,1.9021599292755127
3,2,2,1,0,1.8470909595489502
4,1,1,1,1,1.8910858631134033
5,2,1,1,1,1.902134895324707
6,1,2,1,0,1.9020330905914307
7,1,1,1,0,1.8208129405975342
8,2,2,-1,1,1.8797721862792969
9,2,1,1,1,1.9021461009979248
10,2,1,-1,1,1.9020521640777588
11,1,2,1,0,1.9020202159881592
12,1,2,1,0,1.9012820720672607
13,1,1,1,0,1.9019629955291748
14,1,1,-1,0,1.7256970405578613
15,1,1,1,1,1.9014530181884766
16,1,2,1,0,1.901989221572876
17,2,2,-1,1,1.8036658763885498
18,2,1,-1,1,1.902040958404541
19,2,1,-1,1,1.9020192623138428
20,1,2,1,0,1.9019839763641357
21,1,1,1,0,1.8551490306854248
22,1,2,-1,0,1.9019792079925537
23,1,1,1,0,1.9009881019592285
24,2,2,1,1,1.901991844177246
25,2,1,-1,1,1.9017188549041748
26,1,2,-1,0,1.9022610187530518
27,2,2,1,1,1.9020237922668457
28,1,1,-1,0,1.9020118713378906
29,2,1,-1,1,1.891523838043213
30,2,2,1,1,1.8965399265289307
31,1,2,-1,0,1.902029037475586
32,1,1,1,0,1.702895164489746
33,2,2,-1,1,1.9015123844146729
34,1,2,1,0,1.9014301300048828
35,2,1,1,1,1.7897088527679443
36,1,1,1,0,1.8489558696746826
37,1,1,1,0,1.7778141498565674
38,1,1,1,1,1.9011139869689941
39,1,1,-1,0,1.7301669120788574
40,1,1,-1,0,1.7671740055084229
41,1,1,1,0,1.7785999774932861
42,2,1,1,1,1.7293651103973389
43,2,1,1,1,1.8191437721252441
44,2,2,1,0,1.7581121921539307
45,1,2,-1,0,1.865616798400879
46,1,2,1,0,1.8051211833953857
47,1,2,-1,0,1.841630220413208
48,1,1,1,0,1.8212318420410156
49,2,1,-1,1,1.9019620418548584
50,2,1,-1,1,1.8947010040283203
51,2,1,1,1,1.7117292881011963
52,2,2,1,1,1.811979055404663
53,1,2,1,0,1.8011901378631592
54,2,1,1,1,1.8199198246002197
55,2,1,-1,1,1.896895170211792
56,2,2,-1,1,1.8239259719848633
57,1,1,1,0,1.8708832263946533
58,2,1,-1,1,1.8100359439849854
59,2,2,-1,1,1.8796849250793457
60,1,2,-1,1,1.8960239887237549
61,2,2,1,1,1.8664209842681885
62,1,2,1,0,1.8824951648712158
63,2,1,1,1,1.7850391864776611
64,1,2,-1,1,1.8467557430267334
