trial,cnd,eccentricity,test_eye,response,trial_times
1,1,2,1,0,1.9023542404174805
2,1,1,-1,1,1.8310739994049072
3,1,2,1,0,1.8233790397644043
4,1,1,1,0,1.8154821395874023
5,2,2,-1,1,1.846778154373169
6,1,1,-1,0,1.884178876876831
7,2,2,1,0,1.8551900386810303
8,1,1,-1,1,1.893531322479248
9,2,1,1,1,1.8626377582550049
10,1,1,1,0,1.8115110397338867
11,1,2,1,0,1.8187358379364014
12,1,2,-1,0,1.8486053943634033
13,1,2,-1,0,1.8692870140075684
14,2,1,1,1,1.8110029697418213
15,1,1,-1,0,1.8697919845581055
16,1,2,-1,0,1.804358959197998
17,1,1,1,0,1.8814237117767334
18,2,2,-1,1,1.894366979598999
19,2,1,-1,1,1.804811954498291
20,2,2,1,0,1.846066951751709
21,1,2,1,0,1.8892691135406494
22,1,1,-1,1,1.8923330307006836
23,1,2,1,0,1.8755619525909424
24,1,1,-1,1,1.8237218856811523
25,1,1,1,1,1.8668999671936035
26,2,1,-1,1,1.8132209777832031
27,1,2,1,0,1.7757670879364014
28,1,1,-1,1,1.9012391567230225
29,2,1,-1,1,1.8153769969940186
30,2,1,1,1,1.8314990997314453
31,2,1,1,1,1.8069911003112793
32,2,2,1,0,1.8704919815063477
33,1,2,1,0,1.876328945159912
34,1,1,-1,0,1.8415281772613525
35,2,2,-1,1,1.8534698486328125
36,2,1,-1,1,1.8579440116882324
37,2,2,-1,0,1.8552908897399902
38,1,1,1,1,1.8532359600067139
39,1,1,1,0,1.8368661403656006
40,1,1,1,0,1.8528411388397217
41,1,1,1,0,1.8038201332092285
42,1,2,-1,0,1.8167002201080322
43,2,2,-1,0,1.8319928646087646
44,1,1,-1,1,1.8466641902923584
45,2,2,1,0,1.8261339664459229
46,2,1,-1,1,1.8041667938232422
47,2,1,-1,1,1.8225460052490234
48,1,2,1,0,1.8394792079925537
49,1,2,-1,0,1.858825922012329
50,2,1,-1,1,1.8521149158477783
51,1,2,-1,0,1.8266470432281494
52,1,2,-1,0,1.8792381286621094
53,2,2,1,1,1.8203678131103516
54,1,2,-1,0,1.8897209167480469
55,2,1,1,1,1.8450651168823242
56,1,2,-1,1,1.8197259902954102
57,1,1,1,1,1.8036329746246338
58,2,2,1,0,1.8531439304351807
59,1,2,-1,0,1.8590941429138184
60,1,2,1,0,1.8544180393218994
61,2,1,-1,0,1.8706409931182861
62,2,1,-1,1,1.852085828781128
63,2,2,-1,1,1.8190810680389404
64,2,2,1,0,1.8712639808654785
65,2,1,1,0,1.886824131011963
66,2,2,1,0,1.9020378589630127
67,1,1,-1,0,1.8362667560577393
68,2,2,1,0,1.8983149528503418
69,1,2,1,0,1.8285930156707764
70,1,2,-1,1,1.8519260883331299
71,2,1,-1,1,1.8949511051177979
72,2,2,1,0,1.9020938873291016
73,1,2,-1,0,1.8778178691864014
74,1,1,-1,1,1.8360848426818848
75,1,2,-1,0,1.8214259147644043
76,1,1,-1,0,1.8563337326049805
77,2,1,1,1,1.8079838752746582
78,1,2,1,0,1.8282828330993652
79,2,2,1,0,1.8752329349517822
80,1,2,-1,0,1.8327381610870361
81,2,2,-1,1,1.798874855041504
82,2,1,-1,1,1.9020421504974365
83,1,1,-1,0,1.8202223777770996
84,1,2,-1,0,1.8247497081756592
85,2,1,1,1,1.8959178924560547
86,2,2,1,0,1.8270299434661865
87,2,2,-1,0,1.8699991703033447
88,1,2,1,0,1.884657859802246
89,2,1,1,1,1.8197722434997559
90,2,1,-1,1,1.811858892440796
91,2,1,1,0,1.8107588291168213
92,1,2,1,0,1.8142387866973877
93,2,2,1,0,1.8929681777954102
94,1,1,1,0,1.8522381782531738
95,1,2,1,0,1.8171100616455078
96,1,2,1,0,1.8904829025268555
97,1,2,1,0,1.888556718826294
98,2,1,1,1,1.842452049255371
99,1,1,1,1,1.8335309028625488
100,2,1,-1,1,1.8224539756774902
101,2,2,-1,1,1.8609111309051514
102,1,2,-1,0,1.8266551494598389
103,2,1,-1,1,1.8133659362792969
104,2,2,-1,1,1.841728925704956
105,2,1,1,1,1.7357711791992188
106,2,2,1,0,1.8378758430480957
107,1,2,1,0,1.8384597301483154
108,2,1,1,1,1.801912784576416
