trial,cnd,eccentricity,test_eye,response,trial_times
1,1,2,1,0,1.9023051261901855
2,2,1,1,1,1.9018428325653076
3,1,2,-1,1,1.8451032638549805
4,1,1,-1,1,1.9017369747161865
5,2,2,1,0,1.902207851409912
6,1,2,-1,0,1.8768949508666992
7,1,1,-1,1,1.9023969173431396
8,2,1,1,1,1.9021739959716797
9,2,1,-1,1,1.8605499267578125
10,1,2,-1,1,1.8488759994506836
11,1,1,1,0,1.9021270275115967
12,2,1,1,1,1.9016900062561035
13,1,2,1,0,1.9021039009094238
14,2,1,1,1,1.9023292064666748
15,2,1,-1,1,1.9023487567901611
16,1,1,-1,1,1.8824281692504883
17,1,1,1,0,1.8240888118743896
18,2,1,1,1,1.8366169929504395
19,2,1,-1,1,1.873898983001709
20,1,2,1,0,1.8492538928985596
21,1,2,-1,1,1.9013431072235107
22,2,2,1,1,1.8829140663146973
23,2,1,1,1,1.9022572040557861
24,2,1,-1,1,1.7336509227752686
25,1,1,-1,1,1.7560019493103027
26,2,1,1,1,1.9016239643096924
27,1,1,1,0,1.9021809101104736
28,2,2,-1,1,1.9020917415618896
29,1,2,1,0,1.9020698070526123
30,2,2,1,0,1.901489019393921
31,2,2,1,0,1.7595562934875488
32,2,2,1,0,1.7592127323150635
33,1,2,1,0,1.9022891521453857
34,2,2,-1,1,1.9020872116088867
35,1,2,1,0,1.8791179656982422
36,2,1,1,1,1.902003288269043
37,2,2,1,1,1.8040308952331543
38,2,2,-1,1,1.9012508392333984
39,1,2,-1,1,1.8168768882751465
40,1,2,1,0,1.8652839660644531
41,1,2,1,0,1.8870491981506348
42,2,2,1,0,1.8175690174102783
43,2,2,-1,1,1.8182320594787598
44,2,1,-1,1,1.8437881469726562
45,2,2,-1,1,1.829637050628662
46,1,2,-1,1,1.822479009628296
47,2,2,-1,1,1.8160829544067383
48,1,2,1,0,1.8252999782562256
49,2,1,-1,1,1.8129782676696777
50,2,2,-1,1,1.8385100364685059
51,2,1,-1,1,1.8701529502868652
52,2,2,-1,1,1.8323400020599365
53,2,1,-1,1,1.8226733207702637
54,2,1,-1,1,1.8852379322052002
55,2,1,1,0,1.83632493019104
56,1,2,-1,1,1.844053030014038
57,2,2,-1,1,1.8510677814483643
58,2,1,-1,1,1.8460149765014648
59,2,2,1,0,1.8216290473937988
60,1,1,-1,1,1.8932149410247803
61,1,1,1,0,1.8136258125305176
62,1,1,-1,1,1.8429298400878906
63,2,2,-1,1,1.839858055114746
64,1,1,1,0,1.806593656539917
65,1,1,-1,1,1.8708629608154297
66,2,2,1,0,1.8703711032867432
67,1,2,1,0,1.851806879043579
68,2,2,1,0,1.8224000930786133
69,2,2,-1,1,1.8702259063720703
70,2,1,1,1,1.8441200256347656
71,2,1,1,1,1.8132081031799316
72,1,1,1,0,1.8311538696289062
73,1,1,-1,1,1.8766720294952393
74,2,2,1,0,1.7981321811676025
75,1,2,1,0,1.8932700157165527
76,2,1,1,1,1.8753232955932617
77,2,1,1,1,1.8691051006317139
78,1,1,1,0,1.8251018524169922
79,1,2,1,0,1.824280023574829
80,2,1,-1,1,1.8612570762634277
81,1,2,-1,1,1.8693501949310303
82,2,2,1,0,1.8144948482513428
83,1,1,1,0,1.8754878044128418
84,2,1,1,1,1.8437678813934326
85,2,1,1,1,1.8834266662597656
86,1,1,-1,1,1.819230079650879
87,2,1,-1,1,1.8810710906982422
88,2,1,-1,1,1.8331751823425293
89,2,1,-1,1,1.8433830738067627
90,1,2,-1,1,1.8683619499206543
91,2,1,1,1,1.8549222946166992
92,1,2,-1,1,1.8389637470245361
93,1,2,-1,1,1.8499932289123535
94,2,2,-1,1,1.84505295753479
95,2,1,-1,1,1.872143268585205
96,2,1,-1,1,1.8255641460418701
97,1,1,-1,1,1.7619750499725342
98,1,1,-1,1,1.8246710300445557
99,1,1,-1,1,1.8553307056427002
100,1,2,-1,1,1.8349182605743408
101,1,2,1,0,1.8384919166564941
102,1,1,1,1,1.8689451217651367
103,1,1,1,0,1.8586738109588623
104,1,1,-1,1,1.8705236911773682
105,1,1,1,0,1.8378651142120361
106,2,2,1,0,1.8453571796417236
107,1,2,1,0,1.798468828201294
108,1,1,-1,1,1.8557469844818115
109,1,2,-1,1,1.8283791542053223
110,1,2,1,0,1.8957748413085938
111,1,1,1,0,1.7987992763519287
112,1,2,1,1,1.868791103363037
113,1,1,-1,1,1.7778351306915283
114,1,1,-1,1,1.7984979152679443
115,2,2,1,0,1.8604748249053955
116,2,2,-1,1,1.829742193222046
117,1,2,-1,1,1.8570239543914795
118,1,1,1,0,1.8569610118865967
119,2,2,1,1,1.8718788623809814
120,1,1,-1,1,1.887059211730957
121,2,1,1,0,1.9018642902374268
122,2,2,-1,1,1.8455731868743896
123,1,2,-1,1,1.8912489414215088
124,2,2,-1,1,1.810788869857788
125,1,2,1,0,1.814918041229248
126,2,1,-1,1,1.8690598011016846
127,2,1,1,1,1.8615641593933105
128,1,1,1,0,1.8746271133422852
129,2,1,-1,1,1.8053019046783447
130,1,2,-1,1,1.8915212154388428
131,2,1,1,0,1.8502979278564453
132,1,1,-1,1,1.8744068145751953
133,1,1,1,0,1.8585700988769531
134,1,2,1,0,1.8777430057525635
135,1,2,-1,1,1.829847812652588
136,2,2,-1,1,1.8655738830566406
137,1,1,1,0,1.8485279083251953
138,1,1,-1,1,1.8187201023101807
139,1,1,1,0,1.826216220855713
140,1,2,-1,1,1.8422462940216064
141,2,2,-1,1,1.8973419666290283
142,2,2,1,0,1.844024896621704
143,2,2,1,1,1.8241407871246338
144,2,2,-1,1,1.866260051727295
145,2,2,1,0,1.8564348220825195
146,1,2,-1,1,1.7305798530578613
147,2,1,-1,1,1.8416199684143066
148,1,1,-1,1,1.874067783355713
149,2,1,1,1,1.895880937576294
150,1,2,1,0,1.89664888381958
151,1,1,1,0,1.808807134628296
152,2,2,1,0,1.850883960723877
153,2,2,-1,1,1.8577547073364258
154,2,2,-1,1,1.8148937225341797
155,1,2,-1,0,1.8063769340515137
156,1,1,1,0,1.8524558544158936
157,2,2,1,0,1.7683310508728027
158,2,1,-1,1,1.8068950176239014
159,1,2,1,0,1.8393118381500244
160,1,1,1,0,1.8424460887908936
