trial,cnd,eccentricity,test_eye,response,trial_times
1,1,1,-1,1,1.9019720554351807
2,2,1,-1,1,1.9022910594940186
3,1,1,-1,1,1.9021010398864746
4,1,2,-1,1,1.902169942855835
5,1,1,1,1,1.9013917446136475
6,2,1,1,1,1.9021759033203125
7,1,2,-1,1,1.9021742343902588
8,1,2,1,0,1.9020659923553467
9,1,1,-1,1,1.9012219905853271
10,2,1,-1,1,1.9023079872131348
11,1,2,1,0,1.901191234588623
12,2,2,-1,1,1.9020421504974365
13,1,2,-1,0,1.901601791381836
14,2,1,1,1,1.902099847793579
15,2,1,-1,1,1.901202917098999
16,2,2,-1,1,1.9020521640777588
17,1,1,-1,1,1.902055025100708
18,1,1,-1,1,1.9018750190734863
19,1,1,-1,1,1.9021220207214355
20,2,1,-1,1,1.9021282196044922
21,2,2,-1,1,1.8144762516021729
22,2,2,1,1,1.8501551151275635
23,2,2,-1,1,1.9020988941192627
24,1,1,-1,1,1.9011969566345215
25,2,2,-1,1,1.902130126953125
26,2,2,-1,1,1.814561128616333
27,1,1,-1,1,1.9017212390899658
28,1,2,-1,0,1.9012038707733154
29,2,2,1,1,1.9012260437011719
30,2,2,1,1,1.887727975845337
31,2,2,1,1,1.9021849632263184
32,2,1,-1,1,1.901838779449463
33,2,2,1,1,1.9020321369171143
34,1,1,-1,1,1.9020099639892578
35,2,1,1,1,1.902043342590332
36,2,2,-1,1,1.9021289348602295
37,1,1,1,1,1.9011881351470947
38,2,1,1,1,1.9021310806274414
39,1,1,1,1,1.90226411819458
40,1,2,1,0,1.902047872543335
41,1,2,-1,0,1.9020206928253174
42,2,1,1,1,1.902109146118164
43,2,1,-1,1,1.8898708820343018
44,1,1,1,1,1.901689052581787
45,2,1,1,1,1.9021601676940918
46,1,1,1,0,1.8002979755401611
47,1,2,1,1,1.9014039039611816
48,1,2,1,0,1.902068853378296
49,2,1,-1,1,1.9015288352966309
50,1,1,1,0,1.9015612602233887
51,2,2,-1,1,1.902015209197998
52,2,1,1,1,1.902038812637329
53,1,1,1,0,1.902055025100708
54,1,2,1,0,1.9021379947662354
55,1,1,1,0,1.901892900466919
56,2,1,1,1,1.9021868705749512
57,2,1,1,1,1.7542617321014404
58,1,1,-1,0,1.9021737575531006
59,2,1,1,1,1.8644840717315674
60,1,1,1,0,1.9021272659301758
61,1,2,1,0,1.9020509719848633
62,1,1,1,0,1.9013140201568604
63,2,2,-1,1,1.9011249542236328
64,1,1,-1,0,1.9022808074951172
65,2,2,-1,1,1.90122389793396
66,1,1,1,1,1.9021952152252197
67,1,2,-1,0,1.9022741317749023
68,1,2,-1,0,1.901733160018921
69,2,2,1,1,1.902130126953125
70,1,1,1,0,1.9015088081359863
71,1,2,1,0,1.9021120071411133
72,2,2,-1,1,1.7921667098999023
73,2,1,-1,1,1.8332569599151611
74,1,2,-1,0,1.9017770290374756
75,2,2,1,1,1.9020192623138428
76,1,1,1,0,1.902358055114746
77,2,1,1,1,1.9021239280700684
78,1,2,1,0,1.9020390510559082
79,1,1,-1,1,1.9020867347717285
80,2,2,-1,1,1.9021480083465576
81,1,1,1,0,1.9021108150482178
82,1,2,1,0,1.9019148349761963
83,2,2,-1,1,1.9015109539031982
84,2,2,-1,1,1.9020209312438965
85,1,1,1,0,1.8283591270446777
86,2,2,-1,1,1.728440761566162
87,2,1,-1,1,1.9015600681304932
88,2,2,-1,1,1.9020740985870361
89,2,1,1,1,1.9020202159881592
90,2,2,1,1,1.902174949645996
91,2,1,-1,1,1.9020631313323975
92,1,1,1,0,1.9016971588134766
93,2,1,1,1,1.9022579193115234
94,2,2,1,1,1.7943739891052246
95,1,1,1,0,1.8241939544677734
96,2,2,-1,1,1.8566701412200928
97,1,2,-1,0,1.8875291347503662
98,1,2,-1,0,1.9021351337432861
99,2,1,-1,1,1.8328208923339844
100,2,1,1,1,1.8560020923614502
101,2,2,1,1,1.8055567741394043
102,2,1,-1,1,1.8012850284576416
103,2,2,1,1,1.8325490951538086
104,1,2,-1,0,1.8529012203216553
105,1,2,-1,0,1.8147859573364258
106,2,1,-1,1,1.7943477630615234
107,1,2,1,0,1.9021220207214355
108,1,2,1,0,1.7040271759033203
109,1,2,1,0,1.8553340435028076
110,1,1,-1,1,1.8890669345855713
111,2,2,1,0,1.8132872581481934
112,2,1,1,1,1.7515270709991455
113,1,1,1,0,1.8195998668670654
114,2,2,1,1,1.821225881576538
115,1,1,-1,0,1.8203558921813965
116,2,1,-1,1,1.7521100044250488
117,1,2,1,0,1.8370299339294434
118,1,2,-1,1,1.8589839935302734
119,1,2,-1,0,1.708543062210083
120,2,2,-1,1,1.8596031665802002
121,2,1,1,1,1.902162790298462
122,1,2,1,0,1.8637449741363525
123,1,2,-1,0,1.8358941078186035
124,1,2,-1,0,1.80149507522583
125,2,2,1,0,1.785310983657837
126,2,1,1,1,1.8426971435546875
127,1,1,-1,0,1.9020428657531738
128,1,2,1,0,1.9011731147766113
129,2,1,1,1,1.9022188186645508
130,2,1,-1,1,1.8718416690826416
131,1,1,-1,0,1.8341901302337646
132,1,1,1,0,1.8733677864074707
133,1,1,-1,1,1.879281759262085
134,2,1,-1,1,1.8968391418457031
135,2,1,-1,1,1.804703950881958
136,1,2,1,0,1.814465045928955
137,1,2,-1,0,1.8703529834747314
138,2,2,1,1,1.8930809497833252
139,1,2,1,0,1.8049578666687012
140,1,1,-1,1,1.816011905670166
141,1,1,-1,1,1.8806312084197998
142,1,2,-1,0,1.9020700454711914
143,1,2,1,0,1.826833963394165
144,2,1,-1,1,1.8260762691497803
145,1,1,1,1,1.8345301151275635
146,2,2,1,1,1.809980869293213
147,2,1,-1,1,1.829880952835083
148,2,2,1,1,1.8366022109985352
149,2,1,1,1,1.9013478755950928
150,2,1,-1,1,1.8288180828094482
151,2,2,1,1,-13.692198038101196
152,1,1,-1,1,1.7578840255737305
153,1,2,-1,0,1.9022090435028076
154,2,2,1,1,1.9022510051727295
155,2,2,-1,1,1.8050081729888916
156,2,2,1,1,1.803617000579834
157,2,2,-1,1,1.8252341747283936
158,2,1,1,1,1.7667009830474854
159,1,2,-1,0,1.8561952114105225
160,1,2,1,0,1.9020061492919922
