trial,cnd,eccentricity,test_eye,response,trial_times
1,2,1,1,1,1.9016990661621094
2,1,1,-1,0,1.8637287616729736
3,1,2,-1,1,1.8105738162994385
4,2,1,1,1,1.8111960887908936
5,1,2,1,0,1.9012961387634277
6,2,1,1,1,1.9020512104034424
7,1,2,-1,0,1.9013478755950928
8,1,1,1,0,1.902245283126831
9,1,1,1,0,1.8113648891448975
10,2,1,-1,1,1.902231216430664
11,2,1,-1,1,1.9020838737487793
12,2,1,-1,1,1.901623010635376
13,1,2,-1,1,1.7914319038391113
14,1,1,1,0,1.9021778106689453
15,2,1,-1,1,1.9020569324493408
16,1,1,1,0,1.8070290088653564
17,1,2,1,0,1.8312299251556396
18,2,1,1,1,1.8361220359802246
19,2,2,1,1,1.8302550315856934
20,1,1,-1,1,1.902122974395752
21,2,2,-1,1,1.9016649723052979
22,1,2,-1,0,1.901277780532837
23,2,1,1,1,1.902019739151001
24,2,1,1,1,1.8239951133728027
25,2,2,1,0,1.7596218585968018
26,2,2,1,0,1.821998119354248
27,1,2,-1,1,1.7758479118347168
28,1,2,-1,0,1.8697621822357178
29,2,2,1,0,1.902108907699585
30,1,2,-1,1,1.9020969867706299
31,2,2,-1,1,1.9021859169006348
32,2,1,1,1,1.8970820903778076
33,2,1,-1,1,1.8413949012756348
34,2,2,-1,1,1.8227758407592773
35,1,2,-1,1,1.8429489135742188
36,1,1,-1,0,1.8081040382385254
37,2,1,-1,1,1.9016304016113281
38,2,2,-1,0,1.8213677406311035
39,1,1,-1,1,1.7696070671081543
40,1,1,-1,1,1.9020988941192627
41,1,2,1,0,1.8046741485595703
42,1,1,-1,1,1.7906389236450195
43,1,2,1,1,1.78249192237854
44,1,2,1,0,1.9020731449127197
45,2,2,-1,0,1.7409868240356445
46,1,1,-1,0,1.8915350437164307
47,1,2,1,0,1.83835768699646
48,1,1,1,0,1.9021670818328857
49,1,2,1,0,1.8866932392120361
50,2,1,1,1,1.901186227798462
51,1,1,-1,1,1.9021308422088623
52,1,2,-1,1,1.8600177764892578
53,2,2,1,0,1.8118817806243896
54,1,1,1,0,1.8196280002593994
55,1,1,-1,0,1.9020860195159912
56,2,2,-1,1,1.892699956893921
57,1,1,1,0,1.8116469383239746
58,2,1,1,1,1.8019509315490723
59,1,2,-1,1,1.901317834854126
60,1,2,1,0,1.9012541770935059
61,2,1,-1,1,1.9020648002624512
62,2,2,1,0,1.8194818496704102
63,2,2,-1,0,1.806861162185669
64,2,2,-1,1,1.9022040367126465
65,2,2,-1,0,1.8614439964294434
66,1,2,-1,1,1.726902961730957
67,2,2,1,0,1.8278028964996338
68,2,2,1,0,1.8270840644836426
69,2,2,1,0,1.8466298580169678
70,1,1,-1,0,1.8517251014709473
71,2,2,-1,0,1.801748275756836
72,2,2,-1,1,1.8011271953582764
73,1,2,-1,0,1.8802540302276611
74,2,2,1,0,1.8097569942474365
75,1,1,-1,1,1.804474115371704
76,1,2,-1,0,1.8470642566680908
77,2,1,-1,1,1.8361530303955078
78,1,2,-1,1,1.710193157196045
79,2,1,-1,1,1.8194780349731445
80,2,1,-1,1,1.901947021484375
81,1,2,1,1,1.8290092945098877
82,2,2,-1,1,1.9020938873291016
83,2,1,1,1,1.7059080600738525
84,2,2,-1,1,1.7780821323394775
85,1,2,-1,0,1.8157258033752441
86,2,1,1,1,1.902087926864624
87,1,2,1,0,1.9017448425292969
88,2,2,1,0,1.8398239612579346
89,1,2,1,0,1.8667681217193604
90,2,1,1,1,1.805251121520996
91,1,1,-1,0,1.8041720390319824
92,2,2,1,0,1.8491950035095215
93,1,1,-1,1,1.8177659511566162
94,2,2,-1,0,1.90169095993042
95,2,1,1,0,1.8672337532043457
96,2,1,1,1,1.8913512229919434
97,2,1,-1,1,1.7617700099945068
98,2,1,1,1,1.8920559883117676
99,2,1,-1,1,1.9011719226837158
100,1,2,1,0,1.875972032546997
101,2,2,-1,1,1.7631571292877197
102,1,2,-1,0,1.8680419921875
103,1,2,1,0,1.8689517974853516
104,1,2,-1,1,1.8045580387115479
105,1,1,-1,0,1.8824050426483154
106,2,1,-1,1,1.8075110912322998
107,1,2,1,0,1.8371012210845947
108,1,1,1,0,1.8227641582489014
109,2,1,1,1,1.8235950469970703
110,2,2,1,1,1.867983102798462
111,1,1,1,0,1.837904930114746
112,2,2,-1,1,1.8213329315185547
113,2,2,-1,1,1.8655152320861816
114,1,1,-1,0,1.8204219341278076
115,2,2,-1,1,1.790045976638794
116,1,1,-1,0,1.8360488414764404
117,1,2,-1,1,1.8244500160217285
118,1,1,1,0,1.8264117240905762
119,1,1,1,0,1.8850839138031006
120,1,1,1,0,1.8312792778015137
121,2,2,1,0,1.8066480159759521
122,1,2,1,0,1.7536289691925049
123,2,2,1,0,1.8839478492736816
124,2,1,1,1,1.8289930820465088
125,1,2,-1,0,1.8068969249725342
126,1,2,1,0,1.804286003112793
127,2,2,1,0,1.7704260349273682
128,1,1,1,0,1.8309249877929688
