trial,cnd,eccentricity,test_eye,response,trial_times
1,1,1,-1,1,1.901977300643921
2,2,1,-1,1,1.9016368389129639
3,2,1,1,1,1.9019811153411865
4,2,2,1,1,1.9016458988189697
5,2,1,-1,1,1.901235818862915
6,1,2,1,1,1.9019479751586914
7,1,2,1,1,1.9022619724273682
8,2,2,1,1,1.8511359691619873
9,1,1,1,1,1.9021151065826416
10,2,2,1,1,1.9020698070526123
11,1,1,1,1,1.9020638465881348
12,2,2,-1,1,1.9013638496398926
13,1,2,1,1,1.90220308303833
14,2,2,-1,1,1.9015679359436035
15,2,1,1,1,1.9020752906799316
16,2,1,-1,1,1.9020569324493408
17,1,2,1,1,1.9014661312103271
18,2,1,-1,1,1.9021668434143066
19,2,1,-1,1,1.9021778106689453
20,1,2,1,1,1.9018120765686035
21,2,2,-1,1,1.7188820838928223
22,2,2,-1,1,1.9020519256591797
23,1,1,1,1,1.9013590812683105
24,2,1,1,1,1.9021570682525635
25,1,1,-1,1,1.9012961387634277
26,2,2,1,1,1.9021070003509521
27,1,1,1,1,1.9021580219268799
28,1,1,1,1,1.9021320343017578
29,2,2,-1,1,1.9022650718688965
30,1,1,-1,1,1.9021470546722412
31,1,1,-1,1,1.902036190032959
32,1,2,-1,1,1.9020657539367676
33,1,2,-1,1,1.9022071361541748
34,1,2,1,1,1.863415002822876
35,2,1,1,1,1.9011831283569336
36,2,1,-1,1,1.9022018909454346
37,1,1,1,1,1.9022750854492188
38,2,2,1,1,1.9017119407653809
39,2,1,1,1,1.9018309116363525
40,1,1,1,1,1.902184009552002
41,2,1,1,1,1.9021110534667969
42,1,2,1,1,1.9021399021148682
43,1,2,-1,1,1.901216983795166
44,2,2,-1,1,1.7182228565216064
45,2,1,-1,1,1.9013679027557373
46,2,1,1,1,1.869089126586914
47,2,1,1,1,1.9012277126312256
48,2,2,1,1,1.821460247039795
49,1,1,1,1,1.7653660774230957
50,2,1,1,1,1.901582956314087
51,1,1,-1,1,1.9010932445526123
52,2,2,1,1,1.9022622108459473
53,1,1,-1,1,1.7618358135223389
54,1,1,-1,1,1.9021251201629639
55,2,1,1,1,1.9017877578735352
56,1,2,-1,1,1.9019238948822021
57,1,2,1,1,1.9020581245422363
58,1,1,-1,1,1.9021577835083008
59,1,1,1,1,1.9014301300048828
60,2,2,-1,1,1.7338192462921143
61,1,2,-1,1,1.7354991436004639
62,2,2,-1,1,1.9011468887329102
63,2,1,1,1,1.819835901260376
64,2,1,-1,1,1.901695966720581
65,2,1,1,1,1.7259330749511719
66,1,2,-1,1,1.8196229934692383
67,1,1,1,1,1.9020929336547852
68,2,2,1,1,1.901576280593872
69,2,2,-1,1,1.9021220207214355
70,2,1,-1,1,1.9021177291870117
71,1,1,-1,1,1.902169942855835
72,1,2,-1,1,1.7747390270233154
73,1,2,-1,1,1.7912273406982422
74,2,1,-1,1,1.783031940460205
75,2,1,1,1,1.9012207984924316
76,2,2,-1,1,1.9022181034088135
77,1,2,-1,1,1.902108907699585
78,1,2,-1,1,1.9020969867706299
79,2,2,-1,1,1.902123212814331
80,1,1,1,1,1.753453016281128
81,2,1,-1,1,1.89267897605896
82,1,2,1,1,1.7215418815612793
83,1,1,-1,1,1.8450710773468018
84,1,1,1,1,1.9023497104644775
85,1,2,1,1,1.9014577865600586
86,2,2,-1,1,1.7171010971069336
87,2,2,-1,1,1.9013960361480713
88,1,2,-1,1,1.901200771331787
89,1,1,1,1,1.9016077518463135
90,2,2,-1,1,1.9021320343017578
91,2,2,1,1,1.8442120552062988
92,2,2,-1,1,1.9014201164245605
93,2,1,1,1,1.9013638496398926
94,2,1,-1,1,1.9016590118408203
95,2,2,1,1,1.902134895324707
96,1,2,1,1,1.9020769596099854
97,1,1,-1,1,1.90162992477417
98,2,2,-1,1,1.783299207687378
99,2,1,-1,1,1.9024081230163574
100,2,2,1,1,1.9020726680755615
101,2,2,1,1,1.902095079421997
102,1,1,-1,1,1.9020559787750244
103,1,1,-1,1,1.9020469188690186
104,2,2,1,1,1.9021198749542236
105,2,2,1,1,1.9012370109558105
106,1,1,1,1,1.902087926864624
107,2,1,1,1,1.9016337394714355
108,1,1,-1,1,1.9021546840667725
109,1,1,-1,1,1.9019861221313477
110,2,1,-1,1,1.901648998260498
111,2,1,-1,1,1.7120070457458496
112,1,1,-1,1,1.9022209644317627
