trial,cnd,eccentricity,test_eye,response,trial_times
1,2,2,-1,1,1.9020121097564697
2,1,1,-1,0,1.9015789031982422
3,2,2,1,1,1.9019801616668701
4,1,1,-1,1,1.9020538330078125
5,1,1,1,1,1.7103681564331055
6,2,1,1,1,1.7808761596679688
7,1,2,1,0,1.9015791416168213
8,1,1,1,1,1.9021940231323242
9,1,2,1,0,1.7828469276428223
10,2,1,-1,1,1.9021868705749512
11,1,2,1,0,1.901360034942627
12,1,1,-1,1,1.714155912399292
13,2,1,1,1,1.9021310806274414
14,1,2,-1,1,1.765665054321289
15,2,1,1,1,1.8520011901855469
16,1,2,-1,1,1.8289060592651367
17,2,2,-1,1,1.902108907699585
18,1,1,-1,1,1.9020228385925293
19,1,1,-1,1,1.855666160583496
20,1,1,1,1,1.901353120803833
21,2,2,-1,1,1.902066946029663
22,1,1,-1,1,1.9016692638397217
23,2,2,-1,1,1.9021332263946533
24,1,1,1,1,1.9018628597259521
25,1,1,1,1,1.9022841453552246
26,1,1,1,1,1.9012701511383057
27,1,1,1,1,1.7901370525360107
28,2,1,-1,1,1.902019739151001
29,2,1,1,1,1.8667032718658447
30,2,2,1,0,1.902141809463501
31,1,2,1,0,1.7374541759490967
32,1,1,-1,1,1.8020291328430176
33,1,2,-1,1,1.7871532440185547
34,1,2,-1,0,1.7649080753326416
35,1,1,1,1,1.9013478755950928
36,1,2,1,1,1.9017808437347412
37,1,1,1,1,1.702104091644287
38,1,1,1,1,1.9011080265045166
39,1,2,-1,1,1.8477139472961426
40,1,2,-1,1,1.9018700122833252
41,1,2,-1,1,1.901447057723999
42,2,2,-1,1,1.8683199882507324
43,2,2,1,0,1.866405963897705
44,1,1,1,1,1.8406388759613037
45,1,1,1,1,1.8619379997253418
46,2,1,1,1,1.8741579055786133
47,2,2,1,0,1.8773181438446045
48,2,1,-1,1,1.7512140274047852
49,1,2,-1,1,1.8304939270019531
50,2,2,-1,0,1.7296459674835205
51,1,1,-1,1,1.845613956451416
52,2,1,1,1,1.8493821620941162
53,1,2,-1,1,1.836094856262207
54,2,1,-1,1,1.8147060871124268
55,1,2,1,1,1.9016270637512207
56,2,1,-1,1,1.8968040943145752
57,1,1,-1,0,1.8366570472717285
58,2,1,1,1,1.8310987949371338
59,1,1,-1,0,1.89058518409729
60,2,1,1,1,1.8350019454956055
61,1,1,1,1,1.8212051391601562
62,1,2,1,0,1.793111801147461
63,2,1,1,1,1.8455839157104492
64,1,2,1,0,1.7801661491394043
65,1,1,-1,1,1.8944449424743652
66,1,1,-1,1,1.765368938446045
67,2,2,1,0,1.767009973526001
68,2,1,1,1,1.8625690937042236
69,1,2,1,0,1.8206448554992676
70,2,1,-1,1,1.785046100616455
71,1,2,1,0,1.9013607501983643
72,1,1,1,1,1.748600959777832
73,2,1,-1,1,1.9016706943511963
74,1,2,1,0,1.9021928310394287
75,2,2,-1,1,1.8839433193206787
76,2,2,1,0,1.8721458911895752
77,2,2,-1,1,1.8352270126342773
78,1,2,-1,0,1.821307897567749
79,1,2,1,0,1.8967328071594238
80,1,2,1,0,1.8798441886901855
81,2,2,-1,1,1.7593133449554443
82,2,1,-1,1,1.857985019683838
83,2,2,-1,1,1.8700058460235596
84,1,1,1,1,1.8225681781768799
85,2,1,1,1,1.8214049339294434
86,2,1,1,1,1.8368468284606934
87,1,2,1,0,1.8794219493865967
88,1,1,1,0,1.8791589736938477
89,2,2,1,1,1.8768839836120605
90,2,2,-1,1,1.8303611278533936
91,2,1,1,1,1.8587310314178467
92,1,2,-1,1,1.8959980010986328
93,2,2,1,1,1.8379621505737305
94,1,1,1,1,1.863227128982544
95,1,2,-1,0,1.8679730892181396
96,2,1,-1,1,1.827580213546753
97,2,2,-1,1,1.895853042602539
98,1,2,-1,1,1.85174560546875
99,1,2,1,0,1.8541901111602783
100,1,2,1,0,1.8502197265625
101,1,2,-1,0,1.8616862297058105
102,2,1,-1,1,1.8432929515838623
103,2,2,-1,1,1.8364551067352295
104,2,2,-1,1,1.8630549907684326
105,1,1,-1,1,1.8599059581756592
106,1,1,-1,1,1.846405267715454
107,2,2,-1,1,1.8370509147644043
108,2,1,1,1,1.8407797813415527
109,1,1,-1,1,1.864016056060791
110,1,2,1,0,1.8552489280700684
111,2,1,-1,1,1.8456659317016602
112,1,2,1,0,1.8488540649414062
113,1,2,-1,0,1.8604507446289062
114,2,1,-1,1,1.8716940879821777
115,2,1,-1,1,1.8814959526062012
116,2,1,-1,0,1.872772216796875
117,2,2,1,0,1.8521358966827393
118,2,1,1,1,1.8572869300842285
119,2,1,-1,1,1.85642409324646
120,1,2,1,0,1.8677868843078613
121,2,2,-1,1,1.8837320804595947
122,2,2,1,0,1.8641407489776611
123,2,2,1,1,1.845862865447998
124,1,2,-1,0,1.8839147090911865
125,2,2,1,0,1.8535411357879639
126,2,2,1,0,1.8439311981201172
127,2,2,1,1,1.858849048614502
128,2,2,1,0,1.8965530395507812
129,2,1,-1,1,1.871060848236084
130,2,1,1,1,1.8866181373596191
131,1,2,-1,0,1.8695399761199951
132,1,1,1,1,1.7653379440307617
133,1,1,1,1,1.9021201133728027
134,2,2,1,0,1.8466250896453857
135,2,1,1,1,1.8543260097503662
136,1,1,1,1,1.8206989765167236
