trial,cnd,eccentricity,test_eye,response,trial_times
1,1,1,1,0,1.9021790027618408
2,1,1,1,1,1.8156681060791016
3,2,1,1,1,1.8287220001220703
4,1,2,1,1,1.8316559791564941
5,1,1,1,0,1.8605198860168457
6,2,1,1,1,1.9014668464660645
7,1,2,1,0,1.8042731285095215
8,1,1,1,1,1.8304131031036377
9,2,2,-1,1,1.8282930850982666
10,1,1,-1,0,1.8127918243408203
11,2,2,-1,1,1.9020590782165527
12,1,2,-1,0,1.8122828006744385
13,1,1,-1,1,1.8288500308990479
14,1,1,-1,0,1.8039510250091553
15,2,1,-1,1,1.878760814666748
16,2,2,-1,1,1.8423538208007812
17,2,1,1,1,1.901319980621338
18,1,2,-1,0,1.9019570350646973
19,2,1,-1,1,1.9012322425842285
20,1,2,1,0,1.8305270671844482
21,2,2,1,0,1.9017410278320312
22,2,1,1,1,1.883216142654419
23,2,1,-1,1,1.7672460079193115
24,2,1,-1,1,1.8202600479125977
25,1,2,-1,0,1.8761332035064697
26,1,2,-1,0,1.902177095413208
27,1,2,1,0,1.863447904586792
28,2,2,-1,1,1.8631181716918945
29,2,1,1,1,1.737563133239746
30,2,1,-1,1,1.8509161472320557
31,1,2,-1,1,1.852895975112915
32,2,2,1,0,1.825408935546875
33,2,2,1,1,1.8557841777801514
34,1,1,1,1,1.8195860385894775
35,2,1,-1,1,1.901602029800415
36,1,2,-1,0,1.8705830574035645
37,1,2,-1,0,1.820497989654541
38,2,2,1,1,1.8666338920593262
39,1,1,-1,0,1.8424391746520996
40,1,2,1,0,1.826413869857788
41,2,2,-1,1,1.9021599292755127
42,2,1,1,1,1.8849818706512451
43,1,1,-1,1,1.820044755935669
44,2,2,-1,0,1.9020609855651855
45,1,1,1,1,1.818634033203125
46,1,2,-1,0,1.8596570491790771
47,2,1,-1,1,1.828171968460083
48,2,2,1,0,1.8740248680114746
49,1,2,-1,1,1.7512691020965576
50,2,2,1,0,1.9012260437011719
51,1,2,-1,0,1.876682996749878
52,1,1,1,1,1.8059618473052979
53,2,1,-1,1,1.8260459899902344
54,2,1,1,1,1.8512499332427979
55,2,2,-1,1,1.8597261905670166
56,1,2,1,0,1.9013628959655762
57,2,1,1,1,1.9021100997924805
58,1,2,-1,0,1.858581304550171
59,2,1,-1,1,1.9021189212799072
60,2,2,1,0,1.9021100997924805
61,1,2,-1,1,1.9022810459136963
62,1,1,-1,0,1.901789903640747
63,1,2,1,0,1.889491081237793
64,2,2,1,0,1.8116238117218018
65,2,2,-1,1,1.8074638843536377
66,2,2,1,0,1.8895349502563477
67,2,1,1,1,1.8855841159820557
68,1,1,1,0,1.9019713401794434
69,2,2,-1,1,1.8869822025299072
70,1,1,-1,1,1.7166879177093506
71,1,1,-1,0,1.72707200050354
72,1,2,1,0,1.8774867057800293
73,1,2,1,0,1.8418712615966797
74,1,1,-1,1,1.8662652969360352
75,2,2,-1,1,1.8122169971466064
76,2,1,-1,1,1.9020907878875732
77,2,2,-1,1,1.7653131484985352
78,2,1,-1,1,1.8828279972076416
79,2,2,1,0,1.902191162109375
80,2,2,-1,1,1.8673880100250244
81,1,2,1,1,1.9021010398864746
82,2,2,1,0,1.8144900798797607
83,1,2,1,0,1.9018187522888184
84,1,2,1,1,1.9019582271575928
85,2,2,-1,1,1.725721836090088
86,2,1,1,1,1.9020490646362305
87,1,1,-1,0,1.8075127601623535
88,2,1,1,1,1.9020707607269287
89,2,2,1,1,1.7668988704681396
90,2,1,1,1,1.883997917175293
91,2,1,-1,1,1.9021172523498535
92,2,2,-1,1,1.8305368423461914
93,2,2,1,0,1.857679843902588
94,2,1,-1,1,1.8154261112213135
95,2,2,-1,1,1.8040008544921875
96,1,2,1,0,1.8125910758972168
97,2,1,-1,1,1.8765459060668945
98,2,1,1,1,1.834718942642212
99,2,1,1,1,1.8035719394683838
100,1,2,-1,0,1.8974149227142334
101,1,1,1,0,1.8957247734069824
102,1,2,1,1,1.8680241107940674
103,2,2,1,0,1.8376269340515137
104,1,1,-1,0,1.8183159828186035
105,1,2,1,0,1.9022080898284912
106,1,1,-1,0,1.8883881568908691
107,1,2,1,1,1.9022231101989746
108,2,2,-1,1,1.8505690097808838
109,2,2,1,0,1.8518481254577637
110,1,1,-1,0,1.8585500717163086
111,2,1,1,1,1.8506512641906738
112,1,2,1,0,1.8022429943084717
113,1,2,-1,0,1.8430640697479248
114,2,1,-1,1,1.8348491191864014
115,2,1,-1,1,1.9012949466705322
116,2,2,1,0,1.8249101638793945
117,1,1,-1,1,1.7776429653167725
118,1,1,1,1,1.842376947402954
119,2,1,-1,1,1.7591311931610107
120,1,1,-1,0,1.7040741443634033
121,2,2,-1,0,1.85581374168396
122,1,1,-1,0,1.8300957679748535
123,1,2,1,0,1.9020748138427734
124,2,2,1,1,1.9021530151367188
125,1,1,1,0,1.7205450534820557
126,2,2,-1,1,1.8060569763183594
127,2,2,-1,1,1.7567071914672852
128,2,1,-1,1,1.8225750923156738
129,1,1,-1,0,1.9015212059020996
130,2,1,-1,1,1.9012517929077148
131,1,1,1,0,1.902082920074463
132,1,2,-1,1,1.813256025314331
133,1,1,1,0,1.8951902389526367
134,1,2,-1,1,1.9015369415283203
135,2,2,-1,1,1.7542390823364258
136,1,1,-1,0,1.8433620929718018
137,2,2,1,0,1.8863718509674072
138,2,1,-1,1,1.898331880569458
139,2,1,1,1,1.9017219543457031
140,1,1,-1,0,1.9021778106689453
141,1,1,1,0,1.831265926361084
142,1,1,1,0,1.9014308452606201
143,1,1,-1,0,1.901806116104126
144,1,1,1,0,1.8552780151367188
145,2,2,1,0,1.9021399021148682
146,2,1,1,1,1.7678017616271973
147,1,2,-1,1,1.7850558757781982
148,2,2,1,1,1.8963730335235596
149,1,1,1,1,1.8337857723236084
150,1,2,1,0,1.870025873184204
151,1,2,-1,0,1.9022431373596191
152,1,1,1,0,1.839582920074463
153,1,2,1,0,1.8477959632873535
154,1,1,1,1,1.845602035522461
