trial,cnd,eccentricity,test_eye,response,trial_times
1,2,2,1,1,1.9022619724273682
2,2,2,1,1,1.9022810459136963
3,2,1,-1,1,1.902318000793457
4,1,2,-1,1,1.9022750854492188
5,2,1,1,1,1.8437707424163818
6,2,2,-1,1,1.7268359661102295
7,1,2,-1,0,1.901144027709961
8,1,2,1,0,1.9020631313323975
9,1,2,-1,1,1.9018380641937256
10,2,2,1,1,1.9014251232147217
11,2,1,-1,1,1.901864767074585
12,2,2,-1,1,1.9022328853607178
13,2,2,1,1,1.9023151397705078
14,2,2,-1,1,1.9021379947662354
15,2,1,1,1,1.9021098613739014
16,1,1,-1,1,1.901979923248291
17,2,2,1,1,1.9021687507629395
18,2,1,1,1,1.9020709991455078
19,1,1,1,0,1.9021360874176025
20,1,1,1,1,1.9020628929138184
21,1,1,-1,1,1.7539048194885254
22,2,1,1,1,1.9022777080535889
23,2,2,-1,1,1.7438900470733643
24,2,2,-1,1,1.9016599655151367
25,2,2,1,1,1.9021928310394287
26,2,2,1,1,1.9014170169830322
27,2,2,1,1,1.9022870063781738
28,1,1,-1,1,1.902250051498413
29,2,1,1,1,1.9023141860961914
30,1,1,-1,1,1.8717188835144043
31,2,1,1,1,1.8631081581115723
32,1,2,-1,0,1.730234146118164
33,1,2,1,0,1.8527488708496094
34,1,2,-1,0,1.7992582321166992
35,1,2,1,0,1.75101900100708
36,2,2,1,1,1.8067939281463623
37,2,1,1,1,1.9021341800689697
38,2,1,-1,1,1.7425873279571533
39,2,1,1,1,1.775907278060913
40,1,1,1,0,1.9015939235687256
41,1,1,1,1,1.9022009372711182
42,1,1,-1,1,1.7664189338684082
43,1,1,-1,1,1.8463430404663086
44,2,1,-1,1,1.857936143875122
45,1,2,-1,1,1.7439050674438477
46,1,2,1,1,1.9019181728363037
47,1,1,-1,1,1.7917840480804443
48,2,1,1,1,1.875927209854126
49,2,1,1,1,1.709913730621338
50,2,2,-1,1,1.893941879272461
51,2,1,-1,1,1.8552591800689697
52,2,1,-1,1,1.901569128036499
53,2,2,-1,1,1.7581288814544678
54,1,1,-1,1,1.901374101638794
55,2,1,-1,1,1.720106840133667
56,2,2,1,1,1.9022891521453857
57,1,1,-1,1,1.901244878768921
58,2,1,1,1,1.7428019046783447
59,2,2,1,1,1.7438669204711914
60,1,1,-1,1,1.8065869808197021
61,1,1,1,0,1.8603041172027588
62,2,2,-1,1,1.9022090435028076
63,2,1,1,1,1.8385858535766602
64,1,2,-1,1,1.836305856704712
65,1,2,1,0,1.8333561420440674
66,2,2,1,1,1.8225741386413574
67,1,2,1,0,1.9022352695465088
68,2,1,-1,1,1.8458082675933838
69,1,2,1,1,1.8120198249816895
70,2,1,-1,1,1.7378790378570557
71,1,2,1,0,1.8075149059295654
72,1,1,-1,1,1.9021830558776855
73,2,2,-1,1,1.798295259475708
74,1,2,-1,0,1.902324914932251
75,2,2,-1,1,1.9022419452667236
76,1,2,1,0,1.9015169143676758
77,1,2,1,0,1.8051881790161133
78,2,2,-1,1,1.8740530014038086
79,2,1,1,1,1.8550519943237305
80,2,1,-1,1,1.9021430015563965
81,1,2,-1,0,1.8140039443969727
82,1,1,-1,0,1.8893001079559326
83,2,2,-1,1,1.8236918449401855
84,1,2,1,0,1.7598671913146973
85,1,1,1,0,1.839975118637085
86,2,2,1,1,1.7437970638275146
87,1,2,1,0,1.9016540050506592
88,1,1,1,0,1.8117260932922363
89,2,1,-1,1,1.7695958614349365
90,1,2,1,1,1.9021461009979248
91,1,2,-1,0,1.8093109130859375
92,1,1,1,0,1.7750790119171143
93,2,2,1,1,1.8252348899841309
94,1,2,-1,0,1.7350521087646484
95,1,1,1,0,1.9021320343017578
96,1,2,1,0,1.810617208480835
97,2,1,1,1,1.8339388370513916
98,1,1,1,0,1.7040929794311523
99,2,1,-1,0,1.895451307296753
100,1,1,1,0,1.9021728038787842
101,2,2,-1,1,1.800504207611084
102,1,1,1,0,1.8847010135650635
103,2,1,-1,1,1.8525359630584717
104,1,1,-1,0,1.9021029472351074
105,2,2,1,1,1.7270750999450684
106,2,1,1,1,1.8503470420837402
107,1,2,-1,0,1.7272820472717285
108,2,1,1,1,1.7227060794830322
109,1,2,-1,1,1.8872308731079102
110,1,1,-1,0,1.8159170150756836
111,1,2,-1,0,1.801745891571045
112,1,2,-1,0,1.8380179405212402
113,2,2,-1,1,1.8711330890655518
114,1,1,1,0,1.7424640655517578
115,1,2,-1,1,1.902346134185791
116,1,1,-1,1,1.8767669200897217
117,1,2,1,0,1.7499980926513672
118,1,1,1,0,1.9022018909454346
119,2,1,-1,1,1.9016821384429932
120,1,1,1,0,1.9021501541137695
121,2,1,1,1,1.7282791137695312
122,2,1,1,1,1.7106671333312988
123,2,2,1,1,1.9021508693695068
124,1,1,-1,0,1.9013707637786865
125,1,2,1,0,1.9021201133728027
126,1,2,1,0,1.8788857460021973
127,1,2,1,0,1.8275718688964844
128,2,2,-1,1,1.9022741317749023
129,2,1,-1,1,1.8190648555755615
130,1,2,-1,1,1.7265186309814453
131,1,2,-1,0,1.8131577968597412
132,2,2,1,1,1.831300973892212
133,2,2,-1,1,1.81284499168396
134,2,1,-1,1,1.8499579429626465
135,2,2,1,0,1.8063499927520752
136,1,1,1,0,1.7032461166381836
137,2,1,-1,1,1.813539981842041
138,1,2,1,0,1.7673673629760742
139,2,2,-1,1,1.7501609325408936
140,2,2,1,1,1.9022538661956787
141,1,1,1,0,1.8570291996002197
142,1,1,-1,1,1.862861156463623
143,1,1,1,1,1.8369832038879395
144,1,1,-1,0,1.9019880294799805
145,1,1,1,0,1.8039109706878662
146,1,1,-1,0,1.874211072921753
147,1,2,-1,0,1.841087818145752
148,1,1,-1,0,1.8066160678863525
149,1,2,1,0,1.9022469520568848
150,2,1,-1,1,1.9021990299224854
151,1,2,-1,0,1.8714690208435059
152,2,2,1,1,1.862293004989624
153,1,1,1,0,1.8828978538513184
154,2,1,-1,1,1.7176501750946045
155,2,2,-1,1,1.822213888168335
156,2,2,-1,1,1.9020872116088867
157,2,2,-1,1,1.728564977645874
158,2,1,1,1,1.8194701671600342
159,2,1,1,1,1.8063831329345703
160,2,1,-1,1,1.7760858535766602
