trial,cnd,eccentricity,test_eye,response,trial_times
1,2,1,-1,1,1.9020850658416748
2,2,2,-1,1,1.9021008014678955
3,1,1,-1,1,1.9020137786865234
4,1,1,1,0,1.9022791385650635
5,1,2,1,0,1.9021470546722412
6,1,1,1,0,1.9020469188690186
7,1,1,-1,1,1.9011921882629395
8,2,2,1,0,1.902174949645996
9,2,2,-1,0,1.9020450115203857
10,2,2,-1,1,1.9022409915924072
11,2,2,-1,0,1.7664821147918701
12,1,2,1,0,1.9020860195159912
13,2,1,-1,1,1.7113728523254395
14,1,2,1,0,1.9020428657531738
15,1,1,-1,0,1.7593212127685547
16,1,2,-1,1,1.9020121097564697
17,1,2,1,0,1.902038812637329
18,1,1,1,1,1.9013493061065674
19,2,1,1,1,1.9020271301269531
20,1,1,1,0,1.8384461402893066
21,1,2,1,0,1.901921033859253
22,1,2,-1,1,1.9017939567565918
23,1,1,-1,1,1.9022343158721924
24,2,1,1,0,1.9020230770111084
25,1,2,-1,0,1.9016711711883545
26,1,2,1,0,1.9019360542297363
27,1,2,1,0,1.901991844177246
28,2,1,-1,1,1.9014370441436768
29,2,2,-1,1,1.7968947887420654
30,2,1,-1,1,1.9020330905914307
31,1,2,1,0,1.9021570682525635
32,1,2,-1,0,1.9020578861236572
33,2,1,-1,1,1.7113721370697021
34,2,1,1,1,1.8383522033691406
35,1,2,1,0,1.7688231468200684
36,1,1,-1,1,1.7980189323425293
37,2,1,1,0,1.8781898021697998
38,2,1,1,1,1.8543131351470947
39,1,2,-1,1,1.886476755142212
40,2,1,-1,1,1.7865710258483887
41,1,1,-1,0,1.8868300914764404
42,2,2,-1,1,1.7745208740234375
43,1,2,1,0,1.8459749221801758
44,1,1,1,0,1.8851430416107178
45,1,2,1,0,1.8768279552459717
46,2,2,1,0,1.901181936264038
47,1,1,1,0,1.7126588821411133
48,1,2,-1,0,1.9022321701049805
49,2,1,1,0,1.723895788192749
50,2,2,1,0,1.7852997779846191
51,2,2,1,0,1.9020538330078125
52,2,2,-1,0,1.838123083114624
53,1,1,1,1,1.799206256866455
54,2,1,1,0,1.9019849300384521
55,1,1,-1,0,1.9021737575531006
56,1,2,-1,1,1.9020538330078125
57,2,1,-1,1,1.7513117790222168
58,2,1,1,0,1.8543119430541992
59,1,2,-1,0,1.901993989944458
60,1,2,1,0,1.8312041759490967
61,1,2,-1,1,1.7818551063537598
62,2,1,-1,1,1.774003028869629
63,1,2,-1,0,1.8394279479980469
64,1,2,-1,1,1.7936179637908936
65,2,2,1,0,1.8873720169067383
66,2,2,-1,1,1.8695309162139893
67,1,1,1,1,1.8203110694885254
68,1,2,-1,0,1.9021687507629395
69,1,2,1,0,1.902069091796875
70,1,2,-1,0,1.8554041385650635
71,2,1,-1,1,1.8269577026367188
72,1,1,-1,0,1.9020371437072754
73,2,1,1,0,1.9015522003173828
74,2,2,1,0,1.9020280838012695
75,2,2,1,0,1.782876968383789
76,2,2,1,0,1.8150169849395752
77,2,1,1,1,1.8519320487976074
78,2,1,-1,1,1.9019548892974854
79,2,2,-1,1,1.8255181312561035
80,2,1,-1,1,1.8113899230957031
81,1,2,-1,0,1.7805850505828857
82,2,2,1,0,1.8270139694213867
83,2,1,1,0,1.8554670810699463
84,2,2,-1,0,1.8799731731414795
85,1,1,-1,1,1.8791859149932861
86,2,1,-1,1,1.8277180194854736
87,1,1,-1,1,1.86234712600708
88,1,1,1,0,1.8258399963378906
89,1,1,1,0,1.8096301555633545
90,2,2,-1,1,1.902029037475586
91,2,2,1,0,1.8286211490631104
92,1,2,1,0,1.9021172523498535
93,2,2,1,0,1.7827239036560059
94,2,1,1,1,1.9021120071411133
95,1,2,-1,0,1.9019739627838135
96,2,2,-1,0,1.9020130634307861
97,2,1,-1,1,1.8461408615112305
98,2,1,1,0,1.9020249843597412
99,2,1,1,1,1.7053711414337158
100,2,1,1,1,1.853287935256958
101,2,2,-1,1,1.8799870014190674
102,2,1,1,1,1.8279218673706055
103,1,1,1,0,1.854093074798584
104,2,1,-1,1,1.9020333290100098
105,1,2,-1,0,1.785926103591919
106,1,2,-1,0,1.8221399784088135
107,1,1,1,0,1.8798191547393799
108,2,1,-1,1,1.9013738632202148
109,1,2,1,1,1.8307950496673584
110,1,1,1,1,1.8304476737976074
111,2,1,-1,1,1.8788249492645264
112,1,1,-1,0,1.9022588729858398
113,2,2,-1,1,1.845411777496338
114,2,2,1,1,1.8873357772827148
115,2,2,-1,1,1.8629202842712402
116,1,1,-1,0,1.827101230621338
117,1,1,-1,1,1.7784368991851807
118,1,1,1,0,1.8685827255249023
119,1,1,1,0,1.820209264755249
120,2,1,-1,0,1.815108060836792
121,1,1,-1,1,1.8105669021606445
122,2,1,1,0,1.8710150718688965
123,2,2,-1,1,1.844425916671753
124,2,1,-1,0,1.839191198348999
125,1,2,1,0,1.9018378257751465
126,2,2,-1,0,1.8424921035766602
127,1,1,-1,0,1.798219919204712
128,1,2,-1,0,1.7535083293914795
129,2,2,1,0,1.8713717460632324
130,1,1,1,0,1.7684979438781738
131,2,1,1,0,1.8536860942840576
132,2,2,-1,0,1.9020109176635742
133,1,1,1,0,1.74521803855896
134,2,2,1,0,1.9019949436187744
135,1,1,1,0,1.742920160293579
136,1,2,1,0,1.8480050563812256
137,1,2,-1,0,1.8309969902038574
138,2,2,-1,0,1.7586541175842285
139,1,2,1,0,1.9020380973815918
140,1,1,-1,0,1.9019856452941895
141,1,1,1,0,1.7762508392333984
142,2,2,1,0,1.9018833637237549
143,2,2,1,0,1.7260370254516602
144,1,1,-1,0,1.7215406894683838
145,1,2,1,0,1.8588807582855225
146,2,1,-1,1,1.8563530445098877
147,1,1,1,0,1.8784589767456055
148,2,1,-1,0,1.8390851020812988
149,1,1,-1,0,1.853713035583496
150,2,1,1,1,1.704801082611084
151,1,2,-1,0,1.8040809631347656
152,1,1,-1,0,1.811396837234497
153,2,2,-1,0,1.7731661796569824
154,2,2,1,0,1.8878540992736816
155,2,2,1,0,1.8876731395721436
156,1,1,-1,0,1.895646095275879
157,2,2,1,0,1.8167519569396973
158,2,1,1,0,1.7575817108154297
159,1,2,1,0,1.7431931495666504
160,2,2,1,0,1.7397098541259766
