trial,cnd,eccentricity,test_eye,response,trial_times
1,1,1,1,0,1.9021849632263184
2,1,1,1,0,1.9015369415283203
3,2,1,1,0,1.9020202159881592
4,2,1,1,0,1.9020228385925293
5,2,2,-1,1,1.9020929336547852
6,2,2,1,0,1.9014561176300049
7,2,1,1,0,1.902230978012085
8,2,1,1,0,1.902040958404541
9,2,2,-1,1,1.9012401103973389
10,1,1,-1,1,1.9019529819488525
11,1,1,1,0,1.9015858173370361
12,1,1,-1,1,1.901906967163086
13,1,1,1,1,1.9019989967346191
14,1,1,1,0,1.9016849994659424
15,1,2,-1,0,1.9019677639007568
16,1,1,-1,1,1.9018290042877197
17,1,2,-1,0,1.9019970893859863
18,2,1,-1,1,1.9020600318908691
19,1,1,-1,0,1.9012491703033447
20,1,1,1,0,1.901196002960205
21,1,2,-1,0,1.9019639492034912
22,2,2,-1,1,1.9020941257476807
23,1,2,1,0,1.9020359516143799
24,2,2,1,0,1.9012596607208252
25,2,2,-1,1,1.9022142887115479
26,1,1,1,0,1.901069164276123
27,1,1,-1,1,1.9020280838012695
28,2,1,-1,0,1.9020349979400635
29,1,2,1,0,1.9020168781280518
30,2,1,-1,1,1.9017179012298584
31,2,1,-1,1,1.902010202407837
32,1,1,-1,0,1.9020030498504639
33,1,1,-1,1,1.9021999835968018
34,1,1,-1,0,1.9020140171051025
35,2,2,-1,1,1.901993989944458
36,2,2,-1,1,1.902216911315918
37,1,2,1,1,1.9020562171936035
38,2,2,1,0,1.9011449813842773
39,1,2,-1,0,1.9020421504974365
40,2,1,-1,1,1.9019923210144043
41,1,1,1,0,1.901292085647583
42,2,2,1,0,1.9019739627838135
43,1,2,-1,0,1.9019749164581299
44,2,1,1,0,1.9022159576416016
45,2,1,-1,1,1.9014570713043213
46,1,2,1,0,1.9019958972930908
47,2,1,-1,1,1.9019031524658203
48,2,2,1,0,1.9010589122772217
49,2,2,-1,1,1.901987075805664
50,2,2,-1,1,1.9017016887664795
51,2,1,1,0,1.9010519981384277
52,2,2,1,0,1.9012019634246826
53,2,1,1,0,1.902066946029663
54,2,2,-1,1,1.9022510051727295
55,1,2,1,0,1.9019839763641357
56,1,2,1,0,1.9020397663116455
57,1,1,1,0,1.9020638465881348
58,1,2,-1,0,1.9022090435028076
59,2,1,-1,1,1.9011001586914062
60,1,1,-1,1,1.9021360874176025
61,2,1,-1,1,1.9020161628723145
62,1,1,1,0,1.9020049571990967
63,1,1,-1,0,1.9013721942901611
64,1,1,1,0,1.9019899368286133
65,1,1,-1,0,1.9018290042877197
66,1,2,-1,0,1.9021859169006348
67,2,2,-1,1,1.9020371437072754
68,1,2,-1,1,1.9017159938812256
69,1,1,-1,1,1.902007818222046
70,1,1,1,0,1.9020202159881592
71,1,1,1,0,1.9016828536987305
72,1,2,1,0,1.9020581245422363
73,1,2,-1,1,1.9019920825958252
74,2,2,1,0,1.9021270275115967
75,1,2,1,0,1.9014337062835693
76,1,2,1,0,1.9022011756896973
77,1,2,-1,0,1.9020130634307861
78,1,2,1,0,1.9017322063446045
79,1,1,-1,0,1.902008056640625
80,1,1,1,0,1.9020752906799316
81,1,1,-1,1,1.9020330905914307
82,2,1,-1,1,1.902082920074463
83,1,1,-1,1,1.9020020961761475
84,2,1,-1,0,1.901993989944458
85,2,1,-1,0,1.9019770622253418
86,1,2,1,0,1.9020416736602783
87,2,2,1,0,1.9022562503814697
88,2,2,1,0,1.9010281562805176
89,2,1,-1,1,1.9020299911499023
90,2,1,1,1,1.901982069015503
91,1,2,1,0,1.901383876800537
92,2,1,1,0,1.9012410640716553
93,1,2,-1,0,1.902108907699585
94,2,1,-1,1,1.9016177654266357
95,2,2,-1,0,1.9020099639892578
96,2,2,-1,0,1.9020347595214844
97,2,2,-1,0,1.9020662307739258
98,1,2,1,0,1.9023449420928955
99,2,2,1,0,1.901242971420288
100,1,2,-1,0,1.9019200801849365
101,2,2,1,0,1.9017972946166992
102,1,1,1,0,1.9020249843597412
103,2,1,-1,1,1.901439905166626
104,2,1,1,1,1.9019699096679688
105,1,1,-1,0,1.902029275894165
106,2,2,-1,1,1.9020020961761475
107,1,2,1,0,1.9020209312438965
108,2,2,1,0,1.9017281532287598
109,1,2,1,0,1.9019272327423096
110,2,1,1,1,1.9011809825897217
111,1,2,-1,0,1.9019770622253418
112,1,2,-1,1,1.9015958309173584
113,1,1,-1,0,1.902054786682129
114,1,2,1,0,1.9014642238616943
115,1,1,1,0,1.9021000862121582
116,1,2,1,0,1.9022479057312012
117,2,1,1,0,1.9019920825958252
118,2,2,1,0,1.9020280838012695
119,2,1,-1,1,1.90205717086792
120,2,2,1,0,1.9020531177520752
121,1,2,-1,0,1.9020826816558838
122,2,2,1,0,1.901141881942749
123,2,1,1,1,1.9020850658416748
124,1,1,-1,1,1.90201997756958
125,1,1,-1,1,1.902090311050415
126,1,2,1,0,1.9019970893859863
127,2,1,1,0,1.902001142501831
128,2,2,-1,1,1.9010210037231445
129,2,2,-1,1,1.9020380973815918
130,2,1,1,0,1.9015741348266602
131,1,2,-1,0,1.902076244354248
132,2,1,-1,0,1.9020907878875732
133,1,2,-1,1,1.9014232158660889
134,1,2,-1,0,1.9014158248901367
135,1,2,-1,0,1.9020040035247803
136,2,2,1,0,1.9022612571716309
137,2,2,-1,1,1.9011459350585938
138,2,2,1,0,1.902010202407837
139,2,1,-1,1,1.9018559455871582
140,2,2,-1,1,1.9020259380340576
141,1,2,1,0,1.9020400047302246
142,2,1,-1,1,1.9020779132843018
143,2,2,-1,1,1.901289939880371
144,1,2,1,0,1.9020359516143799
145,2,1,1,0,1.9020202159881592
146,1,2,-1,0,1.9020447731018066
147,1,1,1,1,1.902026891708374
148,2,1,1,0,1.902050256729126
