trial,cnd,eccentricity,test_eye,response,trial_times
1,1,1,-1,1,1.9023199081420898
2,2,1,1,0,1.9021260738372803
3,1,1,-1,1,1.9022977352142334
4,2,2,-1,1,1.901534080505371
5,1,1,-1,1,1.9021508693695068
6,2,1,-1,1,1.9011881351470947
7,1,2,-1,1,1.7828857898712158
8,1,2,-1,1,1.9021611213684082
9,2,2,-1,1,1.727200984954834
10,2,1,1,0,1.9021670818328857
11,2,2,1,0,1.9021837711334229
12,1,1,-1,1,1.9011759757995605
13,1,1,1,1,1.9021482467651367
14,2,1,-1,1,1.9021291732788086
15,2,2,-1,1,1.7123661041259766
16,1,2,-1,1,1.7503209114074707
17,1,1,-1,1,1.902334213256836
18,1,2,-1,1,1.9020507335662842
19,2,2,1,0,1.8625431060791016
20,1,1,-1,1,1.9023571014404297
21,1,2,1,0,1.9021129608154297
22,2,1,1,1,1.9021601676940918
23,2,1,-1,1,1.901496171951294
24,1,2,1,1,1.902097225189209
25,2,2,-1,1,1.7037818431854248
26,2,2,-1,1,1.7590651512145996
27,1,1,1,0,1.9020569324493408
28,1,1,1,0,1.9023008346557617
29,1,2,1,0,1.9017107486724854
30,2,1,1,0,1.9020562171936035
31,1,2,-1,0,1.9021036624908447
32,1,1,-1,1,1.9020962715148926
33,1,1,1,0,1.9015607833862305
34,2,2,-1,1,1.9022741317749023
35,1,2,1,0,1.7579238414764404
36,1,1,1,0,1.9022772312164307
37,2,1,1,0,1.902137041091919
38,2,2,-1,1,1.902108907699585
39,1,1,1,0,1.742825984954834
40,1,1,-1,1,1.901566982269287
41,2,2,1,0,1.7675580978393555
42,1,1,1,1,1.708832025527954
43,2,1,1,1,1.9015238285064697
44,1,2,1,0,1.90212082862854
45,2,2,-1,1,1.717674970626831
46,2,1,1,1,1.9021098613739014
47,1,2,-1,1,1.901258945465088
48,1,2,1,0,1.902066946029663
49,1,1,-1,1,1.9021291732788086
50,1,1,1,1,1.7038688659667969
51,1,1,1,0,1.9016468524932861
52,2,2,1,0,1.9013450145721436
53,2,2,1,0,1.7744572162628174
54,1,1,1,0,1.902001142501831
55,2,1,-1,1,1.9011571407318115
56,1,2,1,0,1.7550430297851562
57,1,1,1,0,1.7215969562530518
58,1,2,-1,1,1.7352509498596191
59,1,2,-1,1,1.7508249282836914
60,2,1,1,0,1.731471061706543
61,2,2,1,0,1.902271032333374
62,1,2,-1,1,1.9010779857635498
63,1,2,1,0,1.9020819664001465
64,2,2,-1,1,1.9021079540252686
65,1,2,1,0,1.9013848304748535
66,2,2,-1,0,1.902224063873291
67,1,2,-1,1,1.9017622470855713
68,2,2,-1,0,1.9021742343902588
69,1,1,-1,1,1.9016292095184326
70,1,2,-1,1,1.9021241664886475
71,1,1,1,1,1.9020650386810303
72,1,1,-1,1,1.9021596908569336
73,2,1,1,1,1.9020721912384033
74,2,2,-1,1,1.7758431434631348
75,2,2,1,1,1.9020860195159912
76,2,2,1,1,1.9021680355072021
77,1,1,-1,1,1.9023182392120361
78,2,2,-1,1,1.9020731449127197
79,2,2,-1,1,1.902353048324585
80,1,1,1,0,1.9017868041992188
81,1,1,1,1,1.9020769596099854
82,1,1,1,1,1.9019908905029297
83,2,1,-1,1,1.9014010429382324
84,1,2,1,0,1.7321891784667969
85,1,1,-1,0,1.9020411968231201
86,2,1,-1,1,1.9022951126098633
87,2,1,-1,1,1.902475118637085
88,1,2,-1,1,1.7746522426605225
89,2,1,-1,1,1.9021961688995361
90,1,2,1,0,1.7915902137756348
91,2,2,1,0,1.7930660247802734
92,1,2,-1,1,1.787419080734253
93,1,2,1,0,1.8392512798309326
94,1,2,1,0,1.8408572673797607
95,1,1,1,0,1.9020977020263672
96,2,1,-1,1,1.8491837978363037
97,2,1,-1,1,1.9021599292755127
98,2,2,-1,0,1.7727417945861816
99,1,2,1,0,1.750946044921875
100,2,2,1,0,1.7182111740112305
101,2,1,-1,1,1.7338478565216064
102,1,1,1,0,1.7158348560333252
103,1,1,-1,1,1.754202127456665
104,1,1,-1,1,1.7680819034576416
105,1,1,1,0,1.7662200927734375
106,2,2,1,1,1.902289867401123
107,2,2,1,0,1.831226110458374
108,1,2,-1,1,1.7896699905395508
109,1,1,-1,1,1.7917850017547607
110,1,2,-1,1,1.7518117427825928
111,2,2,1,1,1.749464750289917
112,1,1,-1,1,1.705322027206421
113,1,2,1,0,1.7671358585357666
114,1,1,-1,1,1.9020988941192627
115,1,2,1,0,1.7040128707885742
116,2,1,-1,1,1.9015450477600098
117,1,1,-1,1,1.7275099754333496
118,2,1,-1,1,1.9021720886230469
119,2,2,1,1,1.9017620086669922
120,2,1,-1,1,1.9015681743621826
121,2,2,1,1,1.8954639434814453
122,2,2,1,1,1.9018628597259521
123,2,1,1,1,1.9013068675994873
124,2,2,-1,1,1.8477282524108887
125,2,1,1,0,1.9020662307739258
126,1,1,-1,1,1.9021339416503906
127,1,2,1,0,1.9020838737487793
128,2,1,-1,1,1.7563929557800293
129,2,1,1,1,1.9013457298278809
130,1,2,-1,1,1.7112829685211182
131,2,2,1,1,1.902250051498413
132,1,1,1,0,1.9014971256256104
133,1,2,-1,1,1.8813199996948242
134,1,1,1,0,1.902226209640503
135,2,2,1,0,1.7106549739837646
136,2,1,1,0,1.7824361324310303
137,2,1,1,0,1.7348971366882324
138,2,2,-1,0,1.9021010398864746
139,1,2,-1,0,1.9013819694519043
140,2,1,1,0,1.9021618366241455
141,2,2,1,0,1.7808690071105957
142,2,2,-1,0,1.9022042751312256
143,2,1,-1,1,1.9020707607269287
144,2,1,-1,1,1.9019739627838135
145,2,1,-1,1,1.9012107849121094
146,2,1,1,0,1.72713303565979
147,2,1,1,1,1.9021401405334473
148,2,2,-1,1,1.755110740661621
149,2,1,-1,1,1.9021589756011963
150,1,2,1,0,1.902151107788086
151,2,1,1,0,1.902109146118164
152,1,2,1,0,1.9013409614562988
153,2,2,-1,1,1.7830231189727783
154,1,2,1,0,1.902371883392334
155,2,2,1,0,1.901437759399414
156,1,2,-1,0,1.9023559093475342
157,2,1,1,0,1.9021260738372803
158,1,2,-1,0,1.9021520614624023
159,2,1,-1,1,1.9020819664001465
160,2,1,1,0,1.9021379947662354
