trial,cnd,eccentricity,test_eye,response,trial_times
1,1,1,1,0,1.9020402431488037
2,1,2,1,0,1.9020118713378906
3,1,2,1,0,1.762415885925293
4,2,2,-1,0,1.8034391403198242
5,1,1,-1,1,1.8822591304779053
6,2,1,1,1,1.8972299098968506
7,2,1,1,1,1.8966822624206543
8,2,2,1,0,1.8232269287109375
9,1,1,-1,1,1.8015520572662354
10,1,1,1,0,1.8963797092437744
11,1,1,1,0,1.8701419830322266
12,1,2,-1,0,1.8524537086486816
13,2,1,-1,0,1.8731789588928223
14,2,2,1,0,1.8232200145721436
15,1,2,-1,1,1.8971571922302246
16,1,2,-1,0,1.8222782611846924
17,1,2,-1,0,1.885241985321045
18,2,2,1,0,1.785526990890503
19,2,1,1,1,1.8429670333862305
20,1,1,1,1,1.854133129119873
21,2,1,-1,0,1.8735458850860596
22,1,2,-1,0,1.8965580463409424
23,2,1,1,0,1.8926730155944824
24,1,2,1,0,1.8968138694763184
25,2,1,1,1,1.8666439056396484
26,1,1,-1,0,1.8833959102630615
27,2,1,1,1,1.8195571899414062
28,2,1,-1,1,1.8716540336608887
29,1,2,-1,0,1.8815124034881592
30,2,2,1,0,1.8205969333648682
31,2,1,1,1,1.8630599975585938
32,2,1,-1,1,1.8660109043121338
33,2,1,-1,0,1.891512155532837
34,1,2,1,0,1.828052043914795
35,2,1,1,1,1.8289399147033691
36,1,1,-1,0,1.875870943069458
37,1,2,-1,0,1.8037621974945068
38,1,1,-1,0,1.8910861015319824
39,2,1,1,1,1.8612358570098877
40,2,1,1,1,1.812553882598877
41,2,2,-1,0,1.845323085784912
42,2,2,1,0,1.8285329341888428
43,1,1,-1,0,1.7536201477050781
44,2,1,-1,1,1.8314597606658936
45,1,2,1,0,1.8045990467071533
46,1,1,-1,0,1.8512861728668213
47,2,2,-1,1,1.8212969303131104
48,2,2,-1,0,1.8209919929504395
49,1,2,-1,0,1.8423051834106445
50,1,1,-1,1,1.8210229873657227
51,1,1,1,1,1.7057220935821533
52,2,1,1,0,1.8921680450439453
53,2,2,-1,0,1.8133800029754639
54,1,1,-1,1,1.8120620250701904
55,2,2,-1,0,1.8272619247436523
56,1,1,1,1,1.8134069442749023
57,2,2,-1,0,1.8052809238433838
58,2,2,1,0,1.842905044555664
59,2,1,1,0,1.8208613395690918
60,2,2,-1,0,1.8914189338684082
61,1,1,-1,1,1.8237481117248535
62,1,2,1,0,1.8303320407867432
63,2,2,1,1,1.8127789497375488
64,2,2,1,0,1.8506500720977783
65,2,1,-1,1,1.8680651187896729
66,2,1,-1,1,1.7134249210357666
67,1,2,1,0,1.9020578861236572
68,1,2,-1,0,1.8676831722259521
69,1,1,1,1,1.8503851890563965
70,1,1,1,0,1.821485996246338
71,2,2,-1,0,1.8407988548278809
72,2,2,-1,0,1.8813190460205078
73,2,1,1,0,1.8737881183624268
74,2,1,1,1,1.8049309253692627
75,2,2,1,0,1.8396120071411133
76,1,1,-1,0,1.8585660457611084
77,2,2,1,0,1.8758141994476318
78,2,2,-1,1,1.9012691974639893
79,1,2,1,0,1.8623731136322021
80,2,1,-1,0,1.8489370346069336
81,1,1,1,0,1.7763457298278809
82,1,1,-1,0,1.901153802871704
83,1,1,1,1,1.8255012035369873
84,2,2,1,0,1.8041279315948486
85,1,2,-1,0,1.805055856704712
86,2,2,1,0,1.7218408584594727
87,2,1,1,1,1.9020600318908691
88,2,2,1,1,1.8948791027069092
89,1,1,-1,0,1.8908419609069824
90,1,1,-1,1,1.8161120414733887
91,2,2,-1,0,1.8211371898651123
92,1,2,1,0,1.831131935119629
93,2,2,-1,0,1.834092140197754
94,1,1,-1,1,1.8863439559936523
95,1,1,-1,1,1.8748059272766113
96,2,2,-1,0,1.8119289875030518
97,1,2,-1,1,1.835576057434082
98,1,1,-1,1,1.8925859928131104
99,1,1,1,1,1.8206758499145508
100,2,1,-1,1,1.8769748210906982
101,1,1,1,1,1.875337839126587
102,1,2,-1,0,1.778033971786499
103,1,2,1,1,1.9019689559936523
104,2,1,-1,1,1.8384501934051514
105,1,1,1,1,1.8216440677642822
106,1,2,1,0,1.8279640674591064
107,1,2,-1,0,1.7777516841888428
108,2,1,-1,1,1.8263118267059326
109,1,2,-1,0,1.8225359916687012
110,1,1,-1,1,1.9019908905029297
111,1,2,1,0,1.8758869171142578
112,2,2,-1,1,1.7591240406036377
113,2,2,1,1,1.8789279460906982
114,2,1,-1,1,1.8825600147247314
115,2,1,1,1,1.8342819213867188
116,2,2,1,0,1.9021968841552734
117,1,1,1,0,1.8597369194030762
118,1,2,1,0,1.8749170303344727
119,1,2,1,0,1.8507182598114014
120,1,1,1,1,1.9021000862121582
121,2,2,1,0,1.8575310707092285
122,1,1,1,1,1.8625500202178955
123,2,1,-1,1,1.89581298828125
124,2,1,1,1,1.87493896484375
125,2,1,1,1,1.8436880111694336
126,2,1,-1,1,1.9020648002624512
127,2,1,-1,0,1.8044219017028809
128,2,2,-1,1,1.812391996383667
129,1,1,-1,0,1.8125650882720947
130,2,2,1,0,1.8489711284637451
131,2,1,-1,0,1.8955180644989014
132,1,2,1,0,1.8596961498260498
133,2,2,1,0,1.8437821865081787
134,1,2,-1,0,1.7991209030151367
135,2,2,1,0,1.8572490215301514
136,2,1,-1,1,1.820678949356079
137,2,1,1,0,1.7523860931396484
138,1,2,-1,1,1.8246290683746338
139,1,1,1,1,1.861928939819336
140,1,1,1,1,1.8959050178527832
141,2,2,-1,0,1.8089489936828613
142,2,1,-1,1,1.7826621532440186
143,1,2,1,0,1.8035888671875
144,2,1,-1,0,1.902038812637329
145,1,2,-1,0,1.8790340423583984
146,1,1,-1,1,1.8522210121154785
147,2,2,-1,0,1.8698818683624268
148,1,2,1,0,1.902043104171753
149,2,1,1,1,1.8718290328979492
150,1,2,-1,0,1.8951640129089355
151,2,2,-1,0,1.8155138492584229
152,1,2,-1,0,1.7124719619750977
153,1,1,1,1,1.863130807876587
154,2,2,1,0,1.901508092880249
155,2,2,-1,0,1.7855310440063477
156,1,2,1,0,1.7344639301300049
157,1,2,1,0,1.9014520645141602
158,1,2,1,1,1.9020891189575195
159,1,1,1,1,1.7436490058898926
160,1,2,-1,0,1.7275760173797607
