trial,cnd,eccentricity,test_eye,response,trial_times
1,2,1,-1,0,1.9020979404449463
2,1,2,-1,0,1.8895549774169922
3,1,2,1,0,1.8967690467834473
4,2,2,-1,1,1.8955247402191162
5,2,2,1,1,1.819870948791504
6,1,1,-1,1,1.820019245147705
7,2,1,-1,1,1.9020709991455078
8,1,1,-1,0,1.8129591941833496
9,2,2,1,0,1.8594136238098145
10,2,2,-1,0,1.8151421546936035
11,1,2,-1,0,1.80625319480896
12,2,2,1,0,1.7573440074920654
13,2,2,1,0,1.893117904663086
14,2,2,1,0,1.8161921501159668
15,1,2,1,0,1.82993483543396
16,1,1,1,1,1.8425307273864746
17,2,1,-1,0,1.8390288352966309
18,2,2,-1,1,1.8984529972076416
19,2,1,1,1,1.8634300231933594
20,1,1,1,0,1.8892240524291992
21,1,2,-1,0,1.816460132598877
22,1,1,1,0,1.8198869228363037
23,1,1,-1,0,1.8699150085449219
24,2,2,-1,0,1.8928377628326416
25,2,1,-1,0,1.813236951828003
26,1,1,-1,0,1.8625061511993408
27,2,2,-1,0,1.8588013648986816
28,1,2,-1,0,1.8053529262542725
29,1,1,1,0,1.8308219909667969
30,2,1,-1,1,1.800140142440796
31,2,1,1,0,1.8399107456207275
32,2,2,-1,0,1.8192498683929443
33,2,1,1,0,1.8505687713623047
34,1,1,-1,0,1.8680939674377441
35,1,1,-1,0,1.8114218711853027
36,2,1,1,0,1.8092401027679443
37,1,2,1,0,1.8849740028381348
38,2,1,1,1,1.8372819423675537
39,2,1,1,0,1.8122849464416504
40,1,1,-1,0,1.887969732284546
41,1,2,1,0,1.902278184890747
42,1,1,1,0,1.8966009616851807
43,1,1,1,0,1.9018652439117432
44,2,2,-1,1,1.8304541110992432
45,2,1,1,1,1.8291380405426025
46,2,2,1,0,1.8688766956329346
47,2,2,-1,1,1.8122282028198242
48,2,1,1,0,1.8730509281158447
49,1,2,1,0,1.869950771331787
50,2,2,1,1,1.8557870388031006
51,2,1,1,0,1.8303720951080322
52,1,2,1,0,1.7985877990722656
53,1,2,1,0,1.824847936630249
54,1,1,-1,1,1.8709540367126465
55,2,2,-1,1,1.8218209743499756
56,1,2,1,0,1.862123966217041
57,1,2,1,0,1.8300771713256836
58,2,1,-1,0,1.9019908905029297
59,2,1,-1,1,1.8842260837554932
60,1,1,-1,0,1.8515679836273193
61,1,1,1,0,1.8588058948516846
62,2,1,1,0,1.9019949436187744
63,1,1,-1,0,1.8598599433898926
64,1,1,-1,1,1.8789513111114502
65,1,2,1,0,1.8390300273895264
66,1,2,1,0,1.809300184249878
67,1,2,-1,0,1.8582899570465088
68,2,2,1,0,1.8236629962921143
69,2,1,1,1,1.8013319969177246
70,2,2,1,1,1.859940767288208
71,2,2,-1,1,1.837165117263794
72,2,2,1,1,1.8142578601837158
73,2,1,1,1,1.8648560047149658
74,1,1,-1,1,1.8340060710906982
75,1,2,-1,0,1.8181209564208984
76,1,1,1,0,1.8443520069122314
77,2,1,-1,1,1.8496129512786865
78,2,2,1,1,1.8648231029510498
79,1,1,-1,0,1.849294662475586
80,2,1,-1,1,1.824986219406128
81,1,2,1,0,1.8587901592254639
82,1,2,1,0,1.8265211582183838
83,2,2,-1,1,1.8146467208862305
84,1,2,-1,0,1.8234999179840088
85,1,1,-1,1,1.9022200107574463
86,2,2,1,0,1.8892920017242432
87,2,2,-1,1,1.8710150718688965
88,2,2,-1,0,1.855417251586914
89,1,1,-1,0,1.8123016357421875
90,2,1,1,1,1.8929519653320312
91,1,1,1,1,1.8354260921478271
92,2,1,-1,1,1.8486380577087402
93,2,1,1,1,1.8325331211090088
94,2,2,-1,1,1.806739091873169
95,1,1,1,0,1.85080885887146
96,2,2,1,0,1.8093743324279785
97,2,2,1,0,1.895853042602539
98,1,2,-1,0,1.8356561660766602
99,2,1,-1,1,1.8350410461425781
100,2,1,-1,0,1.8178529739379883
101,2,2,-1,0,1.838068962097168
102,1,2,-1,0,1.8289871215820312
103,1,2,-1,0,1.8965539932250977
104,1,2,-1,0,1.818356990814209
105,2,1,1,1,1.8335237503051758
106,2,2,1,0,1.8401329517364502
107,2,2,1,0,1.8832509517669678
108,2,2,-1,1,1.820824146270752
109,2,1,-1,1,1.8122532367706299
110,1,1,-1,0,1.8010528087615967
111,1,2,-1,0,1.8404788970947266
112,2,2,1,0,1.855767011642456
113,1,1,1,0,1.902036190032959
114,1,2,-1,0,1.901460886001587
115,1,1,1,0,1.810340166091919
116,2,1,-1,1,1.8415470123291016
117,2,1,1,1,1.8414859771728516
118,2,2,-1,0,1.8168160915374756
119,2,1,-1,1,1.8236689567565918
120,1,2,1,0,1.8370020389556885
121,2,1,-1,1,1.8603341579437256
122,2,2,-1,1,1.8440220355987549
123,1,2,1,0,1.896867036819458
124,2,1,1,1,1.8304669857025146
125,1,2,-1,0,1.8456759452819824
126,1,1,1,0,1.8549299240112305
127,1,1,-1,0,1.8382019996643066
128,1,1,-1,0,1.8270008563995361
129,1,2,1,0,1.8658559322357178
130,1,1,1,0,1.8097639083862305
131,1,2,-1,0,1.87034010887146
132,1,2,1,0,1.8854448795318604
133,2,2,-1,0,1.8449158668518066
134,2,2,1,0,1.839318037033081
135,1,2,-1,0,1.8227200508117676
136,2,1,1,1,1.897120714187622
137,2,1,-1,1,1.888153076171875
138,1,2,-1,0,1.8549299240112305
139,2,1,-1,1,1.8837840557098389
140,2,2,1,0,1.8906939029693604
141,2,1,-1,0,1.8526132106781006
142,1,1,1,0,1.8363556861877441
143,1,1,1,0,1.8230946063995361
144,1,2,-1,0,1.813331127166748
145,1,2,1,0,1.8018763065338135
146,1,1,1,0,1.9013657569885254
147,2,1,1,1,1.8588998317718506
148,2,1,1,1,1.8622448444366455
149,2,2,1,0,1.8833541870117188
150,1,1,-1,0,1.896515130996704
151,1,2,-1,0,1.8497681617736816
152,2,2,-1,0,1.8806653022766113
153,2,1,-1,1,1.7983882427215576
154,1,2,-1,0,1.8517262935638428
155,1,1,1,1,1.8012840747833252
156,1,1,1,0,1.8507130146026611
157,1,2,1,0,1.8174710273742676
158,1,1,1,0,1.8137969970703125
159,1,2,1,0,1.8143723011016846
160,1,1,-1,0,1.842365026473999
