trial,cnd,eccentricity,test_eye,response,trial_times
1,2,1,-1,1,1.902268886566162
2,1,1,-1,1,1.8881938457489014
3,1,2,1,0,1.803800106048584
4,1,1,-1,1,1.7996430397033691
5,2,1,1,0,1.8140418529510498
6,1,2,1,0,1.87388277053833
7,1,1,-1,0,1.8720588684082031
8,1,2,-1,0,1.89656400680542
9,2,1,-1,1,1.8123829364776611
10,1,2,1,0,1.8948938846588135
11,2,1,1,0,1.819545030593872
12,1,2,-1,0,1.8145320415496826
13,1,2,1,0,1.8532710075378418
14,1,1,-1,1,1.8235111236572266
15,1,1,1,0,1.8292338848114014
16,2,1,-1,1,1.813014030456543
17,2,1,1,0,1.8129050731658936
18,2,1,1,0,1.8307468891143799
19,1,2,-1,0,1.808398962020874
20,1,1,-1,1,1.876997947692871
21,2,1,-1,1,1.8251440525054932
22,1,2,-1,1,1.8204641342163086
23,2,1,1,0,1.827209234237671
24,1,1,1,0,1.8633341789245605
25,2,2,-1,1,1.869842290878296
26,1,1,-1,1,1.8445372581481934
27,2,2,1,0,1.841141939163208
28,1,1,-1,1,1.8624062538146973
29,1,1,-1,1,1.8220081329345703
30,1,1,1,0,1.8748760223388672
31,2,2,1,0,1.8277242183685303
32,1,2,1,0,1.802389144897461
33,2,1,1,0,1.8804290294647217
34,2,2,-1,1,1.8635129928588867
35,1,2,1,0,1.884110927581787
36,1,2,1,0,1.8593342304229736
37,2,2,1,0,1.8973069190979004
38,2,1,1,0,1.8859100341796875
39,1,1,-1,1,1.8424158096313477
40,1,2,-1,1,1.849985122680664
41,1,2,-1,1,1.8348329067230225
42,1,2,-1,1,1.859457015991211
43,1,2,-1,1,1.8975722789764404
44,1,2,-1,1,1.8388118743896484
45,1,1,1,0,1.8661260604858398
46,1,1,1,0,1.8119699954986572
47,1,1,-1,1,1.819201946258545
48,1,1,1,0,1.9021170139312744
49,1,2,1,0,1.8071496486663818
50,1,1,1,0,1.8320209980010986
51,2,1,1,0,1.8501002788543701
52,2,1,-1,1,1.87550687789917
53,1,2,-1,1,1.858936071395874
54,1,1,-1,1,1.8874781131744385
55,1,2,1,0,1.8318803310394287
56,1,2,1,0,1.837057113647461
57,2,1,1,1,1.8416430950164795
58,1,2,-1,1,1.8141558170318604
59,1,1,1,0,1.892017126083374
60,1,1,1,0,1.854680061340332
61,1,1,-1,1,1.8776509761810303
62,2,2,1,0,1.86452317237854
63,1,1,1,0,1.8354482650756836
64,1,1,1,1,1.8057410717010498
65,2,2,1,0,1.823744773864746
66,2,2,1,0,1.8364779949188232
67,2,1,-1,1,1.8967323303222656
68,1,1,1,1,1.8507609367370605
69,2,1,-1,1,1.8385558128356934
70,1,2,-1,1,1.8719539642333984
71,2,2,-1,1,1.8363940715789795
72,2,1,-1,1,1.8915550708770752
73,1,1,-1,1,1.8186461925506592
74,1,2,-1,1,1.8596680164337158
75,2,1,-1,1,1.875274896621704
76,2,2,-1,1,1.8791399002075195
77,1,2,-1,1,1.8540620803833008
78,2,2,1,0,1.8048548698425293
79,2,1,1,0,1.8244223594665527
80,2,2,1,0,1.831045150756836
81,1,1,1,1,1.8681738376617432
82,2,1,1,0,1.8756778240203857
83,1,2,1,0,1.8852002620697021
84,1,1,-1,1,1.8080029487609863
85,2,1,-1,1,1.8569316864013672
86,1,2,1,0,1.842392921447754
87,2,2,1,0,1.8704519271850586
88,1,1,-1,1,1.8860509395599365
89,2,1,-1,1,1.9021198749542236
90,1,1,1,0,1.9021310806274414
91,1,2,-1,1,1.8512639999389648
92,2,2,-1,1,1.8950579166412354
93,2,2,-1,1,1.8920390605926514
94,2,2,-1,1,1.730607271194458
95,1,1,1,0,1.800044059753418
96,1,2,1,0,1.893704891204834
97,1,2,1,0,1.8860151767730713
98,2,1,-1,1,1.8035790920257568
99,2,1,1,0,1.8549160957336426
100,2,1,1,1,1.7989609241485596
101,2,2,1,0,1.8540899753570557
102,1,1,1,0,1.8767471313476562
103,2,2,-1,1,1.8117952346801758
104,1,2,-1,1,1.8711192607879639
105,2,2,-1,1,1.8473641872406006
106,2,1,1,0,1.861624002456665
107,2,1,1,0,1.8798561096191406
108,2,1,-1,1,1.8252291679382324
109,2,1,-1,1,1.8661439418792725
110,1,2,1,0,1.8513319492340088
111,2,2,1,0,1.8689091205596924
112,2,2,1,0,1.897094964981079
113,2,1,-1,1,1.888612985610962
