trial,cnd,eccentricity,test_eye,response,trial_times
1,2,1,-1,1,1.9022090435028076
2,2,1,-1,1,1.9018990993499756
3,2,1,1,1,1.8874738216400146
4,1,1,-1,1,1.7944679260253906
5,1,2,-1,1,1.9016461372375488
6,2,2,1,0,1.882347822189331
7,1,1,1,1,1.7213640213012695
8,1,1,-1,1,1.9023008346557617
9,2,1,-1,1,1.9012060165405273
10,1,2,-1,0,1.9021241664886475
11,2,2,1,0,1.8056750297546387
12,1,2,1,0,1.8498320579528809
13,1,2,-1,1,1.804291009902954
14,1,1,1,0,1.8869681358337402
15,1,1,-1,0,1.8423130512237549
16,1,1,1,1,1.8495206832885742
17,2,2,1,0,1.90199875831604
18,1,1,1,1,1.9021639823913574
19,1,2,1,0,1.9010307788848877
20,1,1,1,0,1.884411096572876
21,2,1,1,1,1.902008056640625
22,2,1,1,1,1.901883840560913
23,2,2,1,0,1.9019849300384521
24,2,2,1,0,1.901190996170044
25,2,1,-1,1,1.9021120071411133
26,2,2,1,0,1.9023377895355225
27,1,1,1,0,1.902061939239502
28,2,1,-1,0,1.7320771217346191
29,1,2,1,0,1.9020581245422363
30,2,1,-1,1,1.9013330936431885
31,2,2,-1,0,1.9022817611694336
32,1,1,-1,1,1.8028061389923096
33,1,1,-1,1,1.8183727264404297
34,1,2,-1,1,1.7383747100830078
35,1,2,1,0,1.812471866607666
36,1,2,1,0,1.8697667121887207
37,2,2,-1,1,1.8966662883758545
38,1,1,-1,0,1.805298089981079
39,1,1,-1,1,1.8756701946258545
40,2,1,-1,0,1.8894000053405762
41,1,2,1,0,1.8341429233551025
42,2,1,1,1,1.8372321128845215
43,2,1,-1,1,1.852051019668579
44,2,2,1,0,1.88702392578125
45,2,2,-1,1,1.890044927597046
46,1,2,1,0,1.8073298931121826
47,1,2,1,0,1.8895838260650635
48,1,1,-1,1,1.822632074356079
49,1,2,-1,0,1.861464023590088
50,2,2,1,0,1.9020328521728516
51,2,1,-1,0,1.9021539688110352
52,1,1,-1,0,1.8432161808013916
53,1,1,-1,0,1.883754014968872
54,2,1,-1,1,1.789933681488037
55,2,1,-1,1,1.801084041595459
56,1,2,1,0,1.9013030529022217
57,2,2,1,0,1.901292085647583
58,2,2,1,0,1.9019951820373535
59,2,1,1,1,1.9019851684570312
60,2,1,-1,1,1.9020380973815918
61,1,2,1,0,1.9022111892700195
62,1,2,-1,1,1.8527677059173584
63,1,1,-1,0,1.839277982711792
64,1,2,1,0,1.9021692276000977
65,2,1,-1,1,1.7254159450531006
66,1,2,1,0,1.9015958309173584
67,2,2,-1,1,1.8629403114318848
68,1,2,1,0,1.7338871955871582
69,1,1,-1,1,1.8958358764648438
70,1,1,1,0,1.7343249320983887
71,2,1,1,1,1.7778081893920898
72,2,2,1,0,1.9020822048187256
73,2,2,-1,1,1.9019980430603027
74,1,1,1,0,1.9023120403289795
75,1,1,1,0,1.902021884918213
76,1,1,1,0,1.9020559787750244
77,1,2,-1,1,1.9011590480804443
78,1,2,-1,0,1.902083158493042
79,1,1,1,1,1.9019169807434082
80,2,1,1,1,1.9021332263946533
81,1,1,-1,1,1.8159432411193848
82,1,1,1,1,1.9021801948547363
83,2,2,-1,1,1.9019808769226074
84,1,2,-1,0,1.901026964187622
85,2,2,-1,1,1.901993989944458
86,2,2,-1,0,1.9016029834747314
87,1,1,-1,1,1.8552546501159668
88,2,1,-1,1,1.9021108150482178
89,1,2,-1,1,1.9021110534667969
90,2,2,1,0,1.9021828174591064
91,1,2,1,0,1.7131521701812744
92,2,2,1,0,1.8916800022125244
93,1,1,1,0,1.895794153213501
94,1,2,1,0,1.9020061492919922
95,1,2,-1,1,1.9020919799804688
96,2,1,-1,1,1.9016740322113037
97,2,1,1,0,1.8795530796051025
98,2,1,1,1,1.7691047191619873
99,1,2,-1,0,1.9021718502044678
100,2,2,1,0,1.813215970993042
101,1,2,-1,0,1.9014391899108887
102,2,2,-1,0,1.8263580799102783
103,1,2,1,0,1.902106761932373
104,2,2,-1,0,1.901926040649414
105,2,1,-1,1,1.8208258152008057
106,1,2,-1,1,1.9021282196044922
107,1,2,1,0,1.9020092487335205
108,2,1,1,1,1.9020698070526123
109,2,2,-1,0,1.9019761085510254
110,1,1,1,1,1.9020659923553467
111,2,1,1,1,1.8308289051055908
112,2,1,1,1,1.9010741710662842
113,2,2,-1,1,1.7177221775054932
114,2,1,1,1,1.9013609886169434
115,2,2,1,0,1.9020271301269531
116,1,1,1,0,1.8120341300964355
117,2,1,-1,1,1.8280937671661377
118,2,2,1,0,1.8587462902069092
119,1,1,-1,1,1.8952648639678955
120,1,1,1,0,1.8589041233062744
121,2,1,1,1,1.8817138671875
122,2,2,-1,1,1.8078808784484863
123,2,2,1,0,1.8043951988220215
124,1,2,-1,0,1.8525910377502441
