trial,cnd,eccentricity,test_eye,response,trial_times
1,1,2,-1,1,1.9024438858032227
2,1,2,-1,1,1.9017348289489746
3,2,1,-1,1,1.8946459293365479
4,1,1,1,0,1.7345829010009766
5,1,2,1,0,1.7986299991607666
6,1,2,-1,0,1.8819301128387451
7,1,2,-1,1,1.7582831382751465
8,2,2,-1,1,1.817803144454956
9,1,1,-1,1,1.902353048324585
10,2,1,-1,1,1.896306037902832
11,1,1,-1,1,1.901515007019043
12,1,2,-1,1,1.9022243022918701
13,2,1,1,1,1.9022188186645508
14,2,1,1,0,1.902198076248169
15,1,1,-1,1,1.9021849632263184
16,2,2,-1,1,1.8460869789123535
17,1,2,-1,0,1.7745258808135986
18,1,1,1,0,1.7592360973358154
19,2,2,1,1,1.727334976196289
20,2,1,-1,1,1.7924718856811523
21,1,1,-1,1,1.9021880626678467
22,2,2,-1,1,1.8535082340240479
23,1,2,-1,0,1.8944780826568604
24,1,2,1,1,1.8015990257263184
25,1,1,-1,1,1.8781230449676514
26,2,2,1,1,1.8449478149414062
27,2,1,1,1,1.7532758712768555
28,1,1,1,1,1.8641161918640137
29,2,2,1,1,1.9014370441436768
30,2,2,-1,1,1.8048219680786133
31,2,2,-1,1,1.7912499904632568
32,1,2,-1,1,1.8435120582580566
33,1,2,1,0,1.902298927307129
34,2,2,-1,1,1.8312618732452393
35,2,1,1,1,1.8796350955963135
36,1,1,1,0,1.7702207565307617
37,1,2,-1,0,1.878288984298706
38,2,2,1,0,1.817967176437378
39,2,1,-1,1,1.8786959648132324
40,1,1,1,0,1.8857090473175049
41,1,1,-1,0,1.793592929840088
42,2,2,1,1,1.8546369075775146
43,1,1,1,0,1.8962922096252441
44,1,2,-1,0,1.8363690376281738
45,1,2,-1,0,1.9022300243377686
46,2,1,-1,1,1.786703109741211
47,2,1,1,0,1.8030939102172852
48,2,1,-1,1,1.9023289680480957
49,2,1,1,0,1.8270282745361328
50,1,1,1,1,1.8365280628204346
51,1,1,1,0,1.7113401889801025
52,1,1,1,0,1.8545761108398438
53,1,1,1,1,1.8402087688446045
54,2,2,1,1,1.9021360874176025
55,2,2,1,1,1.8689699172973633
56,2,2,-1,1,1.8096160888671875
57,2,2,1,1,1.7200489044189453
58,1,2,-1,0,1.8117859363555908
59,1,2,1,0,1.831315040588379
60,2,2,-1,1,1.902259111404419
61,2,1,-1,1,1.9022750854492188
62,2,1,-1,1,1.8871352672576904
63,1,2,1,1,1.9022080898284912
64,1,2,1,0,1.8104989528656006
65,2,2,-1,1,1.728431224822998
66,1,2,-1,0,1.7595798969268799
67,2,2,-1,1,1.7839350700378418
68,2,2,1,0,1.7600758075714111
69,2,2,1,1,1.8051512241363525
70,2,1,-1,1,1.819908857345581
71,2,2,-1,0,1.857881784439087
72,2,1,-1,1,1.8149170875549316
73,1,2,1,0,1.8523929119110107
74,2,2,1,1,1.8124759197235107
75,2,2,-1,0,1.8436522483825684
76,2,1,1,0,1.8761541843414307
77,2,1,1,0,1.8622088432312012
78,1,2,1,0,1.8634905815124512
79,2,2,-1,1,1.836845874786377
80,2,1,-1,1,1.833404302597046
81,2,1,1,0,1.8633439540863037
82,2,1,1,1,1.8109829425811768
83,2,2,-1,1,1.8853087425231934
84,1,1,-1,1,1.7302978038787842
85,2,1,1,1,1.8356671333312988
86,2,1,-1,1,1.8839359283447266
87,2,1,1,0,1.7451460361480713
88,1,1,-1,0,1.7502601146697998
89,1,1,-1,1,1.7772531509399414
90,2,2,1,0,1.8469781875610352
91,2,2,1,0,1.8449528217315674
92,1,2,-1,0,1.8876121044158936
93,1,1,-1,1,1.7985930442810059
