trial,cnd,stimulated_eye,latency,trial_times
1,1.2,-1,0.4937281608581543,2.095472812652588
2,1.5,1,0.5432429313659668,2.37644100189209
3,1.5,1,0.5914509296417236,2.424031972885132
4,0.9,-1,0.570465087890625,1.7917687892913818
5,0.0,-1,8.319039106369019,8.720440149307251
6,0.3,-1,0.5786800384521484,1.2156720161437988
7,1.2,1,0.531851053237915,2.047899007797241
8,1.2,1,0.502708911895752,2.064054012298584
9,0.3,1,0.5781569480895996,1.2320339679718018
10,0.3,-1,0.44216227531433105,1.1279270648956299
11,0.6,1,0.43860411643981934,1.4000520706176758
12,1.2,1,0.5653557777404785,2.119736909866333
13,0.9,-1,0.5140488147735596,1.8081750869750977
14,0.9,-1,0.5385310649871826,1.7598838806152344
15,0.9,-1,0.4612700939178467,1.7439990043640137
16,0.9,1,0.43724799156188965,1.7118499279022217
17,0.3,-1,0.4765491485595703,1.1279220581054688
18,1.2,-1,0.4888608455657959,1.9921741485595703
19,0.0,-1,0.7556259632110596,1.151710033416748
20,0.0,-1,7.639096021652222,7.944415092468262
21,1.2,1,0.4196767807006836,1.9039058685302734
22,0.6,1,0.37458086013793945,1.327765941619873
23,0.9,1,0.466886043548584,1.7602460384368896
24,0.3,-1,0.4802439212799072,1.1761260032653809
25,0.6,-1,0.42891478538513184,1.3758928775787354
26,1.5,1,0.49058985710144043,2.336082935333252
27,1.2,-1,0.5525519847869873,2.080364942550659
28,1.2,1,0.6803109645843506,2.1278462409973145
29,1.5,1,0.6738331317901611,2.5760130882263184
30,0.6,1,0.5735430717468262,1.575685739517212
31,1.2,-1,0.6121292114257812,2.1118900775909424
32,0.9,1,0.508995771408081,1.727996826171875
33,1.2,-1,0.4286930561065674,1.9761669635772705
34,0.6,-1,0.45464396476745605,1.3838930130004883
35,1.2,1,0.3975229263305664,1.9118289947509766
36,0.0,-1,1.0279431343078613,1.351830005645752
37,1.5,1,0.47124695777893066,2.27992582321167
38,0.6,-1,0.43979811668395996,1.4158389568328857
39,1.2,-1,0.3929629325866699,1.9037518501281738
40,0.0,1,0.86637282371521,1.1917948722839355
41,1.2,-1,0.423602819442749,2.015955924987793
42,1.5,-1,0.9795742034912109,2.8239102363586426
43,0.9,1,0.40174174308776855,1.6397922039031982
44,0.6,-1,0.4543468952178955,1.4239091873168945
45,1.2,1,0.3590559959411621,1.9197487831115723
46,1.5,-1,0.11781191825866699,1.968026876449585
47,1.5,1,0.4749479293823242,2.30387020111084
48,1.5,-1,0.4534010887145996,2.320451259613037
49,0.3,1,0.6748218536376953,1.3598310947418213
50,0.6,-1,0.49547791481018066,1.4318690299987793
51,0.6,1,0.6676521301269531,1.5835740566253662
52,0.3,1,0.5204200744628906,1.127856969833374
53,1.5,-1,0.5095689296722412,2.406395673751831
54,1.5,-1,0.5549631118774414,2.383906841278076
55,0.3,1,0.4931938648223877,1.0557379722595215
56,1.2,1,0.43857884407043457,1.9600450992584229
57,1.5,1,0.49083590507507324,2.3439948558807373
58,0.3,-1,0.5620107650756836,1.2317917346954346
59,0.0,-1,0.5641989707946777,0.9118061065673828
60,0.9,1,0.4483351707458496,1.736328125
61,1.2,1,2.4480440616607666,1.0320501327514648
62,0.6,1,1.1739540100097656,2.1760811805725098
63,0.0,1,0.8519160747528076,1.1598069667816162
64,0.9,1,0.4700958728790283,1.6160719394683838
65,0.3,-1,0.7041149139404297,1.2240378856658936
66,1.5,-1,0.8239560127258301,2.6719512939453125
67,0.0,-1,0.6197152137756348,0.9598462581634521
68,0.6,-1,0.4522719383239746,1.2959098815917969
69,1.5,1,0.7094018459320068,2.5119659900665283
70,1.2,1,0.6043860912322998,2.1681771278381348
71,1.5,1,0.43394017219543457,2.240000009536743
72,0.3,-1,1.8218798637390137,2.4559850692749023
73,0.6,-1,0.5097708702087402,1.5119409561157227
74,0.6,1,0.46828484535217285,1.4559688568115234
75,0.0,-1,0.7157089710235596,1.0717382431030273
76,1.5,-1,0.6962528228759766,2.543990135192871
77,1.5,-1,0.5781440734863281,2.3839058876037598
78,0.6,-1,0.5403220653533936,1.5116968154907227
79,1.2,1,0.5632939338684082,2.1120667457580566
80,0.3,1,0.6498157978057861,1.3520746231079102
81,0.9,1,0.5204510688781738,1.7200639247894287
82,1.5,-1,0.591465950012207,2.4240200519561768
83,1.5,1,0.48798108100891113,2.376082181930542
84,1.2,1,0.4728848934173584,1.9760119915008545
85,1.2,-1,0.41725897789001465,1.9038801193237305
86,0.3,-1,0.5297410488128662,1.2077751159667969
87,0.6,1,0.5289499759674072,1.4317412376403809
88,0.6,-1,0.43086886405944824,1.3679802417755127
89,0.9,-1,0.6073741912841797,1.8397397994995117
90,0.0,-1,5.734846830368042,6.136210918426514
91,1.2,1,0.39546895027160645,1.8798739910125732
92,0.9,1,0.5299561023712158,1.7678537368774414
93,1.5,1,0.3949570655822754,2.2960500717163086
94,1.2,1,0.6134140491485596,2.1921160221099854
95,0.3,-1,0.5515482425689697,1.2320220470428467
96,0.6,-1,0.4501349925994873,1.446058988571167
97,0.0,1,6.521480083465576,6.872564077377319
98,0.6,-1,0.4315299987792969,1.2715849876403809
99,1.2,-1,0.6562991142272949,2.0876448154449463
100,0.0,-1,0.8964748382568359,1.207895040512085
101,0.9,-1,0.6692850589752197,1.8560431003570557
102,0.6,1,0.9128661155700684,1.8547921180725098
103,1.2,1,0.5240280628204346,2.0078930854797363
104,1.5,-1,0.48803186416625977,2.383758068084717
105,0.0,1,5.39177680015564,5.776473045349121
106,0.3,1,0.548436164855957,1.1602022647857666
107,0.3,1,0.5009868144989014,1.0398099422454834
108,0.0,-1,0.697833776473999,0.9198088645935059
109,0.6,1,0.4547898769378662,1.4559412002563477
110,0.6,1,0.49204492568969727,1.4158360958099365
111,0.9,-1,0.697983980178833,1.9360551834106445
112,0.6,-1,0.3894691467285156,1.3517413139343262
113,0.3,1,0.500424861907959,1.0798149108886719
114,0.6,-1,0.513099193572998,1.4398131370544434
115,0.0,-1,0.9963929653167725,1.3039460182189941
116,0.3,1,0.5938060283660889,1.1358752250671387
117,1.5,-1,0.6637580394744873,2.4799070358276367
118,0.6,1,0.564152717590332,1.5199859142303467
119,1.2,1,0.6915440559387207,2.111872911453247
120,0.0,1,0.9880461692810059,1.3519830703735352
121,0.9,-1,0.8064162731170654,1.9598982334136963
122,0.0,1,0.8091683387756348,1.055802822113037
123,1.5,1,0.45697617530822754,2.2799720764160156
124,1.5,-1,0.6072590351104736,2.4403979778289795
125,1.5,-1,0.5339512825012207,2.2718758583068848
126,0.9,1,0.4532511234283447,1.6158461570739746
127,0.6,-1,0.5154130458831787,1.4561748504638672
128,0.6,-1,0.8434860706329346,1.7280781269073486
129,0.6,1,0.42751288414001465,1.3839092254638672
130,0.9,-1,0.40799522399902344,1.687741994857788
131,1.5,-1,0.5767459869384766,2.4721221923828125
132,0.9,1,0.44278883934020996,1.6560447216033936
133,1.2,-1,0.533715009689331,2.103928804397583
134,1.5,1,0.6326858997344971,2.4401910305023193
135,1.5,-1,1.0578999519348145,2.960020065307617
136,0.0,1,0.7959778308868408,1.0719060897827148
137,1.5,1,0.4766850471496582,2.215830087661743
138,0.9,1,0.45368480682373047,1.6638240814208984
139,0.3,-1,0.8817639350891113,1.5518338680267334
140,1.5,1,0.5410761833190918,2.25569486618042
141,1.2,1,0.5018348693847656,2.071866750717163
142,0.9,-1,0.12794113159179688,1.423933982849121
143,1.2,-1,0.5740070343017578,2.176146984100342
144,0.9,-1,0.5277500152587891,1.6881051063537598
145,0.3,-1,0.6380758285522461,1.2157869338989258
146,0.0,-1,1.1879239082336426,1.5516810417175293
147,0.6,1,0.6603860855102539,1.5758349895477295
148,0.6,-1,0.1365337371826172,0.9918529987335205
149,1.5,1,0.49780797958374023,2.3999359607696533
150,0.3,1,0.5494668483734131,1.1039600372314453
151,0.0,-1,0.6908447742462158,0.8961379528045654
152,0.0,1,0.5808260440826416,0.919590950012207
153,1.5,-1,0.6610119342803955,2.4160618782043457
154,0.9,-1,0.7057530879974365,2.0078840255737305
155,0.3,1,0.48887205123901367,1.120177984237671
156,0.9,-1,0.43035078048706055,1.703989028930664
157,0.6,-1,0.44398021697998047,1.3919298648834229
