trial,cnd,stimulated_eye,latency,trial_times
1,0.0,-1,1.0083491802215576,1.4099922180175781
2,1.2,-1,0.9920101642608643,2.5520970821380615
3,0.6,-1,1.1840919494628905,2.152524948120117
4,0.6,1,0.736918830871582,1.6881251335144043
5,0.6,1,1.4663330554962157,2.376431941986084
6,0.9,-1,0.9957488536834717,2.263869285583496
7,0.9,1,0.8046468257904053,2.071960210800171
8,0.9,1,1.8298119068145753,3.0643742084503174
9,0.0,1,0.880047082901001,1.2158162593841553
10,0.0,-1,0.7688488960266113,1.1041791439056396
11,1.2,-1,1.1607931137084961,2.7282590866088867
12,0.0,1,0.7368829250335693,1.096311092376709
13,1.5,1,0.9802758693695068,2.8242127895355225
14,1.2,-1,0.7444129467010498,2.248325824737549
15,1.5,-1,0.9105832576751709,2.776488780975342
16,1.5,1,0.9480068683624268,2.7760579586029053
17,0.9,-1,0.9625140190124511,2.2640419006347656
18,0.3,-1,0.8606009006500244,1.4721128940582275
19,1.5,-1,0.80702805519104,2.671999931335449
20,1.5,1,0.8361330032348633,2.6401419639587402
21,0.0,-1,1.0719780921936035,1.4321980476379395
22,0.3,1,0.7565860271453857,1.400209903717041
23,0.3,1,0.6603230953216552,1.272139072418213
24,0.6,1,0.7128490447998047,1.6481411457061768
25,1.5,1,1.0202569961547852,2.848558187484741
26,0.6,-1,0.8533598423004151,1.8554980754852295
27,0.6,1,0.7448991775512696,1.6483969688415527
28,0.6,1,0.720274829864502,1.664275884628296
29,0.0,1,0.7926549911499023,1.136234998703003
30,0.6,1,0.7207931518554688,1.6401851177215576
31,1.5,1,0.7014882564544678,2.512507915496826
32,0.9,1,0.5319500923156738,1.7842447757720947
33,1.2,-1,0.7687790870666504,2.328141927719116
34,0.9,-1,1.0123122692108155,2.240173101425171
35,0.9,-1,0.799794054031372,2.072042942047119
36,0.3,1,1.540235948562622,2.160277843475342
37,0.0,-1,0.7391979694366455,1.1038761138916016
38,1.5,1,0.8476459980010986,2.7203121185302734
39,0.6,1,0.6409379482269287,1.59232497215271
40,0.6,1,1.0266050338745116,2.015993118286133
41,1.2,-1,0.9849198341369629,2.5120160579681396
42,0.9,-1,0.6280730724334717,1.8642120361328125
43,0.6,-1,0.6408833503723145,1.5521550178527832
44,0.6,-1,0.5765248775482178,1.5043091773986816
45,0.3,1,0.7879769325256347,1.471966028213501
46,1.5,1,-0.2383570671081543,1.6637160778045654
47,0.3,1,0.9442848682403564,1.6403310298919678
48,0.0,1,0.672879695892334,1.0001561641693115
49,0.0,1,0.6810400485992432,1.0082669258117676
50,0.6,1,0.7303000926971436,1.6483137607574463
51,1.5,1,0.9658260345458984,2.848529100418091
52,1.2,1,0.7126949310302735,2.2883267402648926
53,0.3,-1,0.8525981426239013,1.5042297840118408
54,0.9,1,0.756033992767334,1.9683411121368408
55,0.9,1,0.6044317245483398,1.8401989936828613
56,1.2,-1,0.744260835647583,2.288470983505249
57,0.0,1,2.3293650150299072,2.704092025756836
58,1.5,1,0.7093329429626465,2.5842249393463135
59,0.3,-1,0.4848219871520996,1.168210744857788
60,0.3,1,0.5654098510742187,1.2623422145843506
61,1.5,-1,0.6204159259796143,2.4402642250061035
62,1.5,1,0.8525183200836182,2.7445688247680664
63,0.3,-1,2.230559062957764,2.904158115386963
64,0.3,-1,0.5328020572662353,1.2162449359893799
65,0.3,-1,0.6936649799346923,1.304142951965332
66,0.6,-1,0.6429318428039551,1.6397430896759033
67,1.2,-1,0.472313928604126,2.008327007293701
68,0.0,-1,0.5528697967529297,0.9203789234161377
69,0.0,1,0.5596969127655029,0.904109001159668
70,0.9,1,0.3346391677856445,1.584348201751709
71,0.0,1,0.5777020454406738,0.9124031066894531
72,0.9,-1,0.3327139377593994,1.5680959224700928
73,0.0,-1,0.8260650634765625,1.2245922088623047
74,0.6,1,0.41658964157104494,1.3997461795806885
75,0.0,1,0.6887638568878174,1.0721590518951416
76,0.3,1,0.6976780414581298,1.3998069763183594
77,1.5,-1,-0.23501014709472656,1.647705078125
78,0.3,-1,0.5960199356079101,1.2644057273864746
79,0.0,1,0.6718981266021729,1.024259090423584
80,0.0,-1,0.5159547328948975,0.8558089733123779
81,0.0,-1,0.8117120265960693,1.2001490592956543
82,0.0,-1,0.9331240653991699,1.263573169708252
83,0.9,-1,0.4473219871520996,1.6800167560577393
84,1.2,1,0.3677239894866944,1.8961260318756104
85,0.9,-1,0.4442440032958984,1.7203009128570557
86,0.3,-1,0.7159201622009277,1.3522460460662842
87,0.6,-1,0.504254961013794,1.4482979774475098
88,1.2,1,0.3848169326782227,1.9601020812988281
89,1.2,-1,0.48967986106872563,2.007988929748535
90,0.9,-1,0.4850739002227783,1.7683541774749756
91,0.3,-1,0.7419700145721435,1.3604857921600342
92,1.5,-1,0.3884768486022949,2.256239175796509
93,1.5,1,0.940744161605835,2.8000447750091553
94,0.0,1,0.7293500900268555,1.1263148784637451
95,0.3,-1,0.5958311080932617,1.256105899810791
96,1.5,1,-0.4911222457885742,1.352229118347168
97,1.2,1,1.1005781173706055,2.6561849117279053
98,0.3,-1,0.4767448425292969,1.1359107494354248
99,1.5,-1,0.20454025268554688,2.072129011154175
